time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.100475,0.0252214,0.0481273,-0.0011927,0.854461,2.60498,0.36291,-0.0260834,-0.151,-0.353321,-0.106486,-2.01573e-07,0,-0.347646,0.0151957,0.0556406,-0.516631,-0.27103,-1.19796e-08,0,-0.26526,-0.00973445,-0.0486707,-0.151767,-0.246582,-0.0675261,0.0867821,1.60587,2.34755e-08,1.69419e-07,0.509163,-0.0881014,0.508597,2.75585,1.19542,-2.64151e-08,2.1631e-07
1,0.0888574,-0.0673953,0.096425,-0.00756872,0.872035,2.61461,0.224231,0.0973152,-0.134366,-0.363519,0.0244599,-3.46311e-07,0,0.0635488,-0.0698473,0.0805068,-1.08557,-0.459361,-6.42219e-07,0,-0.25877,0.0861824,-0.0310989,-0.00486928,-0.242596,-0.0628243,0.15527,1.65427,3.07813e-08,-8.26398e-08,0.514822,-0.101425,0.484286,2.77034,1.19307,-6.05781e-08,3.9546e-07
1.07,0.0542916,-0.0693294,0.126537,-0.0190656,0.880954,2.6181,0.10562,0.111094,-0.189453,-0.273518,0.0853919,-2.65165e-07,0,0.326959,-0.0489296,0.082916,-1.10481,-0.221348,-5.3135e-07,0,-0.22846,0.0829292,-0.0257241,0.142307,-0.219185,-0.0661917,0.2428,1.67165,-2.90179e-07,2.12498e-08,0.499215,-0.119063,0.477033,2.78441,1.18747,7.43591e-08,1.98399e-07
1.12,0.0412827,-0.0749929,0.121263,-0.0258622,0.881505,2.6205,0.0147981,0.128705,-0.20634,-0.217181,0.103799,-2.9091e-07,0,0.435506,-0.0534271,0.0694753,-0.928852,-0.109238,-6.10969e-07,0,-0.217557,0.0818523,-0.00930682,0.255348,-0.196459,-0.0517222,0.322795,1.68018,-1.10521e-07,2.22674e-07,0.477336,-0.112455,0.471047,2.78917,1.18603,-4.78987e-08,5.29523e-08
1.17,0.0394903,-0.0844865,0.100332,-0.0298069,0.876154,2.62266,-0.0874601,0.153308,-0.206811,-0.168173,0.133423,-3.94592e-07,0,0.483567,-0.0793057,0.0407798,-0.657,-0.0697707,-3.54517e-07,0,-0.214844,0.0827006,0.0145187,0.35656,-0.170955,-0.00206942,0.416554,1.69354,-1.6247e-09,2.22424e-08,0.453371,-0.100218,0.456674,2.79644,1.18813,1.67176e-08,1.98146e-07
1.2,0.0390426,-0.0925818,0.0905741,-0.0314987,0.870515,2.62237,-0.146554,0.168056,-0.204468,-0.14823,0.157087,-5.37942e-07,0,0.501197,-0.0972313,0.0220338,-0.488011,-0.061979,-1.90363e-07,0,-0.212759,0.0883254,0.0245553,0.41303,-0.153682,0.031976,0.467335,1.70326,9.96523e-09,2.187e-08,0.441182,-0.0936383,0.44915,2.79663,1.1892,-7.6986e-08,4.4252e-08
1.24,0.0543143,-0.0917276,0.0706321,-0.0313729,0.863605,2.62003,-0.235614,0.163102,-0.196723,-0.143639,0.173632,-2.1485e-07,0,0.477092,-0.107763,-0.00672322,-0.268049,-0.0789787,1.98431e-07,0,-0.226805,0.0853598,0.0423224,0.464322,-0.150835,0.116534,0.565225,1.71986,-4.79238e-08,6.18897e-08,0.420351,-0.0846242,0.444294,2.80068,1.19633,-8.65703e-08,2.64746e-07
1.29,0.0779206,-0.0852023,0.0469346,-0.0265815,0.855282,2.61358,-0.339084,0.133214,-0.17601,-0.171242,0.180724,2.28381e-07,0,0.419901,-0.105349,-0.0245919,-0.124596,-0.107886,2.48798e-07,0,-0.241038,0.0791822,0.0560517,0.499873,-0.149184,0.210894,0.673089,1.73398,-2.72029e-07,-1.09615e-07,0.397059,-0.0766568,0.4482,2.80265,1.20691,-1.45565e-07,2.55274e-07
1.32,0.0957611,-0.0733112,0.0369765,-0.0224243,0.851839,2.60791,-0.387294,0.10417,-0.147473,-0.221551,0.174554,2.91005e-07,0,0.388563,-0.0908086,-0.0317834,-0.136122,-0.131167,-1.92463e-08,0,-0.253672,0.0684742,0.053361,0.507096,-0.144788,0.248624,0.734603,1.73856,-3.44062e-07,-1.70212e-07,0.383815,-0.0775782,0.450686,2.80499,1.21226,-4.88802e-08,1.14718e-07
1.4,0.116102,0.00815969,0.0153517,-0.0140143,0.8524,2.59099,-0.312843,-0.0269245,-0.0679024,-0.596556,-0.0962639,-1.5822e-07,0,0.356046,0.013304,0.00107029,-0.351375,-0.148309,-1.71577e-07,0,-0.271853,-0.0157923,0.0462395,0.435253,-0.148285,0.262939,0.907958,1.72141,-2.57934e-07,-4.4018e-08,0.413033,-0.0892878,0.446185,2.79781,1.22467,-2.74028e-09,1.46151e-07
