time,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l,pelvis_tilt_reserve,pelvis_list_reserve,pelvis_rotation_reserve,pelvis_tx_reserve,pelvis_ty_reserve,pelvis_tz_reserve,hip_flexion_r_reserve,hip_adduction_r_reserve,hip_rotation_r_reserve,knee_angle_r_reserve,ankle_angle_r_reserve,subtalar_angle_r_reserve,mtp_angle_r_reserve,hip_flexion_l_reserve,hip_adduction_l_reserve,hip_rotation_l_reserve,knee_angle_l_reserve,ankle_angle_l_reserve,subtalar_angle_l_reserve,mtp_angle_l_reserve,lumbar_extension_reserve,lumbar_bending_reserve,lumbar_rotation_reserve,arm_flex_r_reserve,arm_add_r_reserve,arm_rot_r_reserve,elbow_flex_r_reserve,pro_sup_r_reserve,wrist_flex_r_reserve,wrist_dev_r_reserve,arm_flex_l_reserve,arm_add_l_reserve,arm_rot_l_reserve,elbow_flex_l_reserve,pro_sup_l_reserve,wrist_flex_l_reserve,wrist_dev_l_reserve
0.9,0.262747,1.25311,48.643,0.280083,0.405284,1.18878,2.1982,6.57137,19.4138,0.784556,0.335406,240.046,176.52,172.838,134.783,136.285,0.326736,45.8144,41.274,31.8873,67.9475,285.802,1.12738,1.36882,174.993,34.913,53.6992,1.3321,158.923,166.957,199.887,21.1262,148.319,353.642,1456.85,305.338,273.704,651.192,0.0327411,0.0338818,0.0422473,0.0839236,18.2765,0.0828934,0.212213,4.07277,0.111053,0.141089,0.308752,0.202484,101.77,98.9961,0.684273,0.107352,839.575,536.411,468.824,373.712,337.646,0.0696172,194.787,136.052,2.50925,14.1929,565.848,2.99099,4.41051,292.25,65.6665,26.2178,0.309624,150.26,182.708,177.05,348.665,399.593,1073.72,3180.83,632.719,566.665,1460.38,0.0164546,0.016977,0.0170443,0.0353846,118.889,194.604,414.334,0.149676,44.0025,0.344896,0.0872279,-3.53594,-89.6574,94.3291,24.6111,-31.7679,-5.13911,-2.9458,8.93603,-9.41859,1.13849,1.71348,49.2225,3.2106,-3.02038,16.6329,-8.28123,-4.02443,-1.94678,101.754,6.09926,1.65461,0.255776,5.43057,3.38753,-1.20272,-0.0544758,1.674,-0.0524762,0.0112236,-0.26712,2.2186,-0.14982,-0.49258,1.26549,-0.0404523,-0.0274479,-0.184589
1,770.797,375.586,226.849,217.147,217.104,192.333,0.201056,0.108951,0.126923,2.37381,170.854,0.0296979,0.0300938,0.0313062,0.0359972,0.0634008,287.449,0.0624355,0.0380798,152.596,94.0377,0.043837,4.01024,1.99352,0.0674704,0.300158,72.1504,547.731,61.8222,66.8143,102.796,3.67681,1.59208,1.11194,0.18324,0.204907,0.266057,0.311066,213.424,332.5,61.4744,120.091,1.11024,505.415,71.8593,0.368377,150.381,112.995,37.4699,0.575119,0.181675,0.212465,4.75535,59.1793,0.0918049,0.0820655,0.0718377,0.0817491,0.129539,148.368,0.174442,0.0826927,0.607295,0.481466,0.0621639,130.358,96.6706,0.0777899,0.158266,0.296228,279.104,34.8876,37.6133,48.8269,0.12723,0.108579,0.109953,0.0792121,0.111398,0.114275,14.52,208.938,402.292,130.57,272.941,21.2097,187.543,255.49,0.408295,17.3171,0.534451,0.785059,36.8505,-11.2918,-32.6227,25.7277,-70.1556,7.43505,0.254451,-30.5183,4.94277,1.53077,1.07231,-16.1956,-0.602931,3.96716,-12.5826,15.2311,0.897454,9.7115,-21.535,-1.38461,2.46563,-0.819933,1.23685,1.4131,0.323401,0.0264057,0.89889,-0.0172097,0.0674806,-0.130774,1.08046,0.382972,-0.119311,0.562981,-0.0259568,-0.0238882,-0.0696459
1.07,121.327,60.0286,38.6769,42.2589,41.8043,35.4877,1.36725,1.02709,1.00932,4.67606,29.0522,0.638798,0.729215,0.74627,0.854597,1.11889,52.1981,1.1189,0.849236,31.376,28.7268,0.607437,7.54361,0.224349,0.86409,2.83467,15.0144,165.561,57.8445,60.1636,73.0174,171.798,94.6132,288.877,394.991,95.7753,85.1508,99.5583,0.377858,0.246277,0.797432,0.996644,8.29749,0.33541,6.11934,79.6229,1.9057,3.31468,7.76214,12.8299,6.58113,26.6985,16.6143,4.32349,36.8806,21.51,32.9105,18.0278,7.88979,3.08506,3.01417,9.11354,32.9572,48.3738,60.2157,34.0792,41.9126,92.2176,40.3335,66.4284,47.1927,18.8765,19.1207,23.7201,61.2155,52.8009,114.93,401.739,101.48,88.1889,206.129,0.482981,0.452867,0.372465,1.84381,13.4963,53.8863,241.157,7.48424,4.26819,1.58353,40.914,8.9346,-13.263,6.57757,24.8842,-67.0251,-13.7079,1.91953,-7.83416,2.32378,1.30584,-1.35466,14.084,0.974645,5.16204,3.81173,-6.84618,-0.47707,0.588066,13.872,1.00509,1.71821,0.0871077,-1.96304,0.478419,0.499629,0.0601827,0.607207,-0.00573031,0.0634399,-0.082968,1.77177,0.734521,-0.203353,0.095811,-0.0272299,-0.0627244,-0.0595756
1.12,180.984,83.4177,41.8251,68.7575,65.1632,51.4776,0.774902,0.461322,0.537772,9.01159,72.5492,0.088289,0.0938317,0.103898,0.155741,0.349784,106.998,0.431464,0.197286,20.6123,13.5872,0.0901874,22.6788,0.781967,0.426468,1.40258,14.835,184.855,26.9233,28.5792,40.4712,206.329,116.136,331.611,350.42,60.5418,58.1271,29.3747,0.742177,0.741604,0.595751,0.549424,0.96511,40.4145,36.8727,34.3837,44.4917,39.1918,27.0319,7.3212,2.25703,4.33633,33.5638,28.1929,0.907069,0.287119,0.106488,0.123383,0.273494,40.2607,0.950022,0.813417,11.7316,8.39138,0.095891,43.1048,43.3645,0.0713246,2.64987,17.4858,38.9385,4.55007,4.1703,5.10336,15.7674,4.84043,36.2382,196.511,0.0996807,1.10969,102.663,56.8195,58.469,25.6316,51.7471,9.86202,44.0036,223.815,4.40415,3.56985,1.19695,31.597,15.6752,12.4748,-4.80921,33.0105,-19.5897,-13.4025,2.08549,-13.3169,1.38121,-1.58689,-4.52686,5.08598,0.68171,4.26992,-8.71932,8.29909,-1.93881,3.26916,-14.8849,-0.278411,0.685971,-0.514425,-1.12535,-0.296779,0.0778381,0.101561,0.306217,0.0117722,0.058258,-0.0309205,1.9116,0.129288,-0.318857,0.279304,-0.0263915,-0.054625,-0.0818759
1.17,235.043,107.575,47.6082,101.232,93.7564,70.6571,0.726623,0.321531,0.440556,20.936,112.178,0.12252,0.103711,0.100698,0.0900148,0.184049,160.195,0.228792,0.100007,19.131,10.9129,0.15918,34.5917,6.00537,0.294017,1.21365,15.663,193.314,3.79394,3.93327,11.0749,274.729,173.511,392.833,336.102,50.2701,55.5117,0.305333,2.66403,4.87819,0.479268,0.28404,0.424732,67.0775,46.8479,31.7481,45.6122,40.5726,28.7207,36.5009,23.5112,24.1493,51.6728,20.2011,1.00023,0.806117,0.974256,1.09467,1.88172,23.5634,1.29742,2.0992,19.0735,14.0585,1.12599,28.4827,27.437,1.12379,2.31345,12.0934,0.218559,1.79667,1.5417,1.8179,21.0594,8.33881,26.5109,159.811,1.16106,1.79485,81.4465,57.0791,68.2913,24.6389,51.1636,8.37146,45.9325,208.442,10.4117,3.24002,2.99805,24.9393,1.77274,-2.70411,3.47331,1.00666,18.3624,-15.0856,3.6832,-20.5252,2.17514,-4.21081,-11.1836,1.27214,0.605068,-1.09705,-3.61118,4.15935,-3.97457,0.910248,-4.42318,-0.248223,0.332781,0.420138,-0.619003,-0.747649,-0.298667,0.0880188,0.131758,0.0140145,0.0554975,0.00685271,2.1087,-0.2092,-0.310124,0.20466,-0.0288157,-0.0608568,-0.0562552
1.2,280.871,90.7388,11.8483,107.535,92.6509,57.8012,0.256289,0.170589,0.203012,50.2378,115.098,0.121503,0.130541,0.146663,0.19158,0.202567,176.345,0.201528,0.156863,1.37662,1.6666,0.138326,84.922,49.6801,0.229425,0.398397,3.44974,205.851,0.832489,0.81387,0.861566,450.455,293.261,577.651,358.969,67.1949,75.2359,0.415181,0.266746,0.0168494,0.256467,0.235939,0.303691,36.0235,44.3447,57.2427,4.66622,8.15313,15.8794,138.489,79.4345,119.405,70.6575,2.23809,0.436699,1.07209,2.79905,6.18672,28.4893,2.17595,0.820228,4.03116,60.6208,68.1406,47.6957,0.465524,0.512504,6.53487,4.28774,24.9057,0.293491,0.718329,0.644985,0.701017,36.6616,18.7744,19.4474,126.985,5.20066,5.00212,67.3464,5.27394,22.3251,4.14085,22.5247,6.94414,41.6632,202.752,11.7474,1.17434,0.618714,25.8061,-14.2734,-12.5656,13.6742,-21.1911,10.0639,-0.337535,3.546,-15.7824,2.23361,-2.48492,-5.15312,8.14412,0.797702,-1.3903,-1.20285,0.0250196,-1.79661,0.822481,0.627279,-0.0771681,1.05629,-0.342663,-1.73692,-1.15051,-1.78534,-0.0463621,0.0438945,0.0164727,0.0158456,0.00731866,2.18422,-0.145608,-0.300222,0.393684,-0.0317819,-0.0511948,-0.0789778
1.24,239.33,20.0185,0.435355,88.6233,65.2052,20.8827,0.310924,0.221467,0.241581,55.196,115.299,0.191884,0.174333,0.180344,0.189231,0.229302,167.52,0.403245,0.17983,0.525105,0.611678,0.158121,154.728,130.885,0.357514,0.541823,0.874022,245.164,0.928055,0.907056,0.949267,551.32,304.668,769.278,415.173,84.3178,87.1088,0.620614,0.326013,0.625023,0.265219,0.250538,0.368556,347.559,189.617,97.6231,101.732,97.3345,80.8843,224.564,63.1768,142.843,91.6847,16.8352,0.127792,0.215119,0.216143,0.362103,2.71918,17.3042,0.265876,0.286419,142.034,141.285,0.288118,0.368323,0.348614,0.176664,0.482893,11.0318,0.255573,0.45686,0.425498,0.453191,14.9929,3.82297,0.49075,0.12259,0.392326,0.47313,0.0754345,123.438,207.29,52.0447,94.6303,4.4389,48.2274,207.433,26.1369,0.404132,0.655409,15.2742,-22.1316,44.3628,11.1281,-44.7228,-8.31273,2.17241,5.82274,-10.938,4.73785,-3.4784,-8.72012,13.5332,0.960437,-5.63291,-13.8545,11.8302,-4.03066,2.20495,-15.2849,-0.523467,2.00086,-1.16695,-2.42323,-1.31082,-1.20012,-0.0757734,-0.0971247,-0.00347422,0.0262665,0.0555148,2.86919,-0.108649,-0.341963,0.332062,-0.0336903,-0.0542766,-0.0784455
1.29,157.507,1.13878,0.163979,70.2773,23.954,0.239553,0.19344,0.155634,0.150775,40.5663,106.784,0.398867,0.324158,0.304027,0.287241,0.24662,180.54,0.594686,0.273748,0.165091,0.225364,0.163817,278.371,259.012,0.281352,0.303321,0.236477,392.46,0.042134,0.0274808,0.0327005,611.327,314.619,923.291,410.874,70.942,77.8125,0.377466,0.395209,0.445423,0.300888,0.275714,0.299332,296.257,228.415,227.953,69.9373,89.3426,115.437,204.433,6.25648,86.0498,156.784,87.555,0.166034,0.105726,0.106201,0.0819387,0.17675,110.689,0.19428,0.14362,179.517,166.625,0.102372,0.526303,0.496116,0.341418,3.62701,111.45,0.100318,0.224143,0.216365,0.229402,38.0494,1.15006,0.344559,0.38886,0.212071,0.233465,1.37846,269.686,445.805,102.45,182.347,3.57741,32.2495,176.225,25.3724,0.370998,0.720288,27.3452,-9.77265,60.1315,36.6648,-75.9975,11.8953,4.2817,8.10431,-11.8258,9.47304,-2.23917,-7.03203,9.63474,0.819313,-2.20078,-14.639,-1.40706,-9.75102,2.79426,-21.1632,-0.984705,0.768283,-0.549712,-1.61412,-0.709241,-1.43555,-0.278572,0.134761,-0.0327197,-0.0135206,0.0303897,3.10089,-0.134074,-0.449694,0.423113,-0.036713,-0.0692149,-0.0999863
1.32,143.653,0.52881,0.290092,69.7577,19.0042,0.703135,0.363532,0.253095,0.268486,42.6658,110.293,0.367099,0.211908,0.202794,0.199861,0.251,185.234,1.02467,0.170412,0.326667,0.386997,0.121416,321.356,308.338,0.339726,0.423764,0.334994,417.746,3.13383,4.40448,3.83145,544.975,248.695,1018.66,321.794,56.3794,61.7334,0.619876,0.788645,1.08793,0.407042,0.347659,0.458096,0.0550407,0.175303,146.783,0.0557294,0.0756921,0.270474,109.398,113.17,178.545,39.8436,0.124382,421.743,248.329,262.728,190.172,71.4866,0.0921106,121.064,117.471,1.06709,53.8146,424.525,19.7606,69.9136,396.825,132.236,173.435,0.919928,1.63316,1.57827,1.67006,81.5378,136.852,70.7446,1232.01,238.306,225.11,676.05,0.0383117,0.0393965,0.0504396,0.100103,39.5263,64.5165,121.453,7.54801,1.56877,2.13316,8.98985,9.07594,-114.42,27.7343,-79.8633,-6.8021,34.3455,9.26275,-10.4638,11.1958,-1.88112,-6.90034,7.88152,0.622473,11.5243,12.412,-25.0801,-0.183492,3.64877,39.258,2.35162,0.783952,0.26622,-1.17237,-0.806769,-1.94897,-0.357181,0.0943689,-0.0352424,-0.0274474,0.0383623,3.40791,0.0817445,-0.511052,0.522778,-0.0316538,-0.0657987,-0.120036
1.4,1318.28,461.234,58.1489,389.96,343.442,236.619,0.196949,0.0919544,0.114742,269.701,350.3,0.0321502,0.0318108,0.0310968,0.03313,0.0511487,554.742,0.0629214,0.0380393,27.7745,0.464799,0.0350599,114.364,51.1361,0.0619285,0.128915,0.894799,520.999,0.247107,0.240241,0.240267,202.427,1.38188,0.497697,0.0717064,0.0714455,0.0866361,0.0980304,909.722,1968.63,304.516,478.782,0.214011,872.819,453.272,293.096,224.749,228.673,195.317,0.712233,0.276145,0.510402,2.88896,115.07,0.0557533,0.0620214,0.066238,0.080824,0.191604,198.477,0.10304,0.0687473,285.324,257.675,0.120937,0.346001,0.301563,0.132059,0.394693,87.9489,220.968,76.193,85.9589,105.625,0.186547,0.162341,0.179523,0.101593,0.105597,0.119258,0.33639,554.298,810.315,176.388,434.71,3.99508,290.211,212.681,57.986,0.236763,0.482723,0.893353,-7.89203,-71.8998,81.9892,32.6154,-29.0979,16.0948,6.12945,-54.3497,16.0365,-9.73995,-2.88649,-79.1465,-2.35267,-6.88677,-27.997,8.1145,1.74969,13.034,-38.7196,-2.17163,3.98724,-0.909339,-1.70873,-0.853386,-3.20522,-0.603116,-0.084324,-0.0190946,-0.0659539,0.0918838,2.09836,0.716237,-0.198285,0.69095,-0.0272491,-0.0271278,-0.0968615
1.49,0.159005,0.36601,133.772,0.244653,0.58352,4.86474,0.596599,0.638851,0.994679,4.7316,11.949,265.98,136.378,130.004,75.0647,1.63708,2.29568,70.7252,49.0917,5.21397,3.42475,88.1762,177.074,200.874,229.207,80.784,141.534,257.416,62.4802,68.224,74.0696,0.033155,18.6242,60.2475,846.604,178.531,154.925,394.971,0.158375,0.100445,0.155948,0.245582,38.4961,0.264434,16.0343,69.4073,0.904286,1.59007,9.12744,2.63546,0.226584,0.316639,0.965124,7.38591,8.91735,11.5518,14.9298,9.84392,1.99515,3.66168,9.71103,2.92645,37.019,46.7147,30.8551,7.23343,9.59106,53.169,23.2046,48.2902,226.802,191.372,216.464,265.579,2.49979,14.968,117.856,573.695,117.341,101.187,279.019,0.153941,0.142464,0.253375,0.842686,17.4814,198.4,275.851,60.8657,0.478875,0.465773,1.43132,41.7855,-1.45371,-22.1977,33.8224,-76.4829,-4.11828,6.02079,5.30147,-16.1118,1.38073,1.34632,30.5248,1.79485,0.322647,0.105117,-4.79486,2.42705,1.11478,21.412,1.14001,2.50147,1.01134,-3.49387,-0.107617,-2.74013,-0.766604,0.258772,-0.029075,-0.0972554,0.0228866,1.41708,0.977272,-0.0548616,0.454945,-0.0274177,-0.0259563,-0.0708959
