time,ground_pelvis_on_pelvis_in_ground_fx,ground_pelvis_on_pelvis_in_ground_fy,ground_pelvis_on_pelvis_in_ground_fz,ground_pelvis_on_pelvis_in_ground_mx,ground_pelvis_on_pelvis_in_ground_my,ground_pelvis_on_pelvis_in_ground_mz,hip_r_on_femur_r_in_ground_fx,hip_r_on_femur_r_in_ground_fy,hip_r_on_femur_r_in_ground_fz,hip_r_on_femur_r_in_ground_mx,hip_r_on_femur_r_in_ground_my,hip_r_on_femur_r_in_ground_mz,knee_r_on_tibia_r_in_ground_fx,knee_r_on_tibia_r_in_ground_fy,knee_r_on_tibia_r_in_ground_fz,knee_r_on_tibia_r_in_ground_mx,knee_r_on_tibia_r_in_ground_my,knee_r_on_tibia_r_in_ground_mz,ankle_r_on_talus_r_in_ground_fx,ankle_r_on_talus_r_in_ground_fy,ankle_r_on_talus_r_in_ground_fz,ankle_r_on_talus_r_in_ground_mx,ankle_r_on_talus_r_in_ground_my,ankle_r_on_talus_r_in_ground_mz,subtalar_r_on_calcn_r_in_ground_fx,subtalar_r_on_calcn_r_in_ground_fy,subtalar_r_on_calcn_r_in_ground_fz,subtalar_r_on_calcn_r_in_ground_mx,subtalar_r_on_calcn_r_in_ground_my,subtalar_r_on_calcn_r_in_ground_mz,mtp_r_on_toes_r_in_ground_fx,mtp_r_on_toes_r_in_ground_fy,mtp_r_on_toes_r_in_ground_fz,mtp_r_on_toes_r_in_ground_mx,mtp_r_on_toes_r_in_ground_my,mtp_r_on_toes_r_in_ground_mz,hip_l_on_femur_l_in_ground_fx,hip_l_on_femur_l_in_ground_fy,hip_l_on_femur_l_in_ground_fz,hip_l_on_femur_l_in_ground_mx,hip_l_on_femur_l_in_ground_my,hip_l_on_femur_l_in_ground_mz,knee_l_on_tibia_l_in_ground_fx,knee_l_on_tibia_l_in_ground_fy,knee_l_on_tibia_l_in_ground_fz,knee_l_on_tibia_l_in_ground_mx,knee_l_on_tibia_l_in_ground_my,knee_l_on_tibia_l_in_ground_mz,ankle_l_on_talus_l_in_ground_fx,ankle_l_on_talus_l_in_ground_fy,ankle_l_on_talus_l_in_ground_fz,ankle_l_on_talus_l_in_ground_mx,ankle_l_on_talus_l_in_ground_my,ankle_l_on_talus_l_in_ground_mz,subtalar_l_on_calcn_l_in_ground_fx,subtalar_l_on_calcn_l_in_ground_fy,subtalar_l_on_calcn_l_in_ground_fz,subtalar_l_on_calcn_l_in_ground_mx,subtalar_l_on_calcn_l_in_ground_my,subtalar_l_on_calcn_l_in_ground_mz,mtp_l_on_toes_l_in_ground_fx,mtp_l_on_toes_l_in_ground_fy,mtp_l_on_toes_l_in_ground_fz,mtp_l_on_toes_l_in_ground_mx,mtp_l_on_toes_l_in_ground_my,mtp_l_on_toes_l_in_ground_mz,back_on_torso_in_ground_fx,back_on_torso_in_ground_fy,back_on_torso_in_ground_fz,back_on_torso_in_ground_mx,back_on_torso_in_ground_my,back_on_torso_in_ground_mz,acromial_r_on_humerus_r_in_ground_fx,acromial_r_on_humerus_r_in_ground_fy,acromial_r_on_humerus_r_in_ground_fz,acromial_r_on_humerus_r_in_ground_mx,acromial_r_on_humerus_r_in_ground_my,acromial_r_on_humerus_r_in_ground_mz,elbow_r_on_ulna_r_in_ground_fx,elbow_r_on_ulna_r_in_ground_fy,elbow_r_on_ulna_r_in_ground_fz,elbow_r_on_ulna_r_in_ground_mx,elbow_r_on_ulna_r_in_ground_my,elbow_r_on_ulna_r_in_ground_mz,radioulnar_r_on_radius_r_in_ground_fx,radioulnar_r_on_radius_r_in_ground_fy,radioulnar_r_on_radius_r_in_ground_fz,radioulnar_r_on_radius_r_in_ground_mx,radioulnar_r_on_radius_r_in_ground_my,radioulnar_r_on_radius_r_in_ground_mz,radius_hand_r_on_hand_r_in_ground_fx,radius_hand_r_on_hand_r_in_ground_fy,radius_hand_r_on_hand_r_in_ground_fz,radius_hand_r_on_hand_r_in_ground_mx,radius_hand_r_on_hand_r_in_ground_my,radius_hand_r_on_hand_r_in_ground_mz,acromial_l_on_humerus_l_in_ground_fx,acromial_l_on_humerus_l_in_ground_fy,acromial_l_on_humerus_l_in_ground_fz,acromial_l_on_humerus_l_in_ground_mx,acromial_l_on_humerus_l_in_ground_my,acromial_l_on_humerus_l_in_ground_mz,elbow_l_on_ulna_l_in_ground_fx,elbow_l_on_ulna_l_in_ground_fy,elbow_l_on_ulna_l_in_ground_fz,elbow_l_on_ulna_l_in_ground_mx,elbow_l_on_ulna_l_in_ground_my,elbow_l_on_ulna_l_in_ground_mz,radioulnar_l_on_radius_l_in_ground_fx,radioulnar_l_on_radius_l_in_ground_fy,radioulnar_l_on_radius_l_in_ground_fz,radioulnar_l_on_radius_l_in_ground_mx,radioulnar_l_on_radius_l_in_ground_my,radioulnar_l_on_radius_l_in_ground_mz,radius_hand_l_on_hand_l_in_ground_fx,radius_hand_l_on_hand_l_in_ground_fy,radius_hand_l_on_hand_l_in_ground_fz,radius_hand_l_on_hand_l_in_ground_mx,radius_hand_l_on_hand_l_in_ground_my,radius_hand_l_on_hand_l_in_ground_mz
0.9,-2.84217e-14,2.27374e-13,-3.19744e-14,-1.42109e-14,-5.68434e-14,-1.24345e-14,599.16,-1756.05,777.178,-5.14062e-14,7.1474e-14,3.20125e-15,488.37,-1231.9,-46.9449,77.2327,20.3188,10.0853,1076.29,-3633.04,118.21,58.9022,3.83303,12.025,1076.86,-3633.69,116.817,60.1617,-2.41525,-190.621,557.193,-98.5116,164.292,-1.56136,-3.39947,2.25331,-658.704,-2314.91,-2142.35,4.63674e-13,-3.13448e-13,-1.75207e-14,-633.228,-1306.64,78.8235,-197.409,64.522,3.34872,-4507.3,-6306.42,-373.16,-111.283,5.11718,22.0019,-4511.28,-6308.47,-373.33,-49.6258,-13.4137,-407.962,485.336,-1191.09,-192.455,8.88232,2.10179,5.48597,-84.674,829.082,146.821,5.70393e-14,-2.16942e-13,-5.21546e-14,5.87229,27.9225,-3.19005,1.04394e-15,-3.59243e-16,-1.07611e-15,4.01966,11.9265,-4.1973,0.207426,-0.076965,-0.0357646,2.2587,7.61102,-2.94299,0.360049,-0.11484,-0.0400384,0.580041,3.30885,-1.60014,0.075984,-0.0342461,-0.0308053,-3.76977,6.33458,1.78607,-4.83013e-16,9.65946e-17,-4.19101e-16,-0.703879,2.64723,0.673022,0.131828,-0.0194369,0.0989932,-0.423537,1.63394,0.602035,0.115334,-0.00968376,0.0306383,-0.0809956,0.528119,0.728365,0.0405226,0.00140443,0.00057574
1,0,2.41585e-13,-2.84217e-14,0,-3.55271e-15,-7.10543e-15,104.824,-3427.87,963.834,-8.59044e-15,4.43549e-16,-3.46821e-15,333.094,-1728.95,-83.975,-66.7888,-3.40933,0.290462,434.402,-1196,-8.4447,-19.7005,1.29189,-2.23076,434.51,-1197,-9.01233,-25.5439,-0.432732,-72.8637,115.179,-27.1392,19.7447,0.364711,1.7521,-0.630326,-384.77,-1424.87,-305.03,-9.75774e-15,2.85695e-15,-2.628e-14,-28.5523,-585.811,23.7008,30.6512,-12.4951,1.14938,-594.238,-851.792,102.346,18.6502,-8.07408,-4.15915,-596.942,-849.44,101.872,22.6063,-18.0743,-63.8068,-14.7421,-295.793,-22.9942,-3.41166,-0.439521,-2.47842,82.5536,842.275,22.3925,2.54347e-14,-4.55574e-15,-3.51939e-13,7.57758,48.6622,-8.65534,2.87654e-17,1.83503e-16,-8.87634e-17,2.23285,22.9314,-6.52085,0.145538,-0.0279501,-0.0321464,1.06392,14.7858,-4.48321,0.474176,-0.0431457,-0.0403946,-0.0139253,6.61917,-2.30188,0.0987997,-0.0213429,-0.0436968,-8.76621,31.3314,2.22893,-1.1938e-16,-9.73345e-17,1.75916e-15,-2.74911,11.6377,2.29302,-0.107845,0.0405631,-0.0601248,-0.573022,6.98555,2.02799,-0.0492432,0.152822,-0.343313,1.2007,2.88816,1.37491,0.00578696,0.0668675,-0.121853
1.07,0,1.42109e-14,-8.21565e-15,-1.33227e-15,-8.88178e-16,-1.77636e-15,6.82398,-952.037,200.159,3.43538e-15,2.00872e-16,1.57157e-14,49.3953,-1108,-38.0539,3.08035,4.27307,0.910929,19.8579,-1660.62,22.8109,19.2524,-3.13143,2.76084,20.1015,-1661.57,23.0618,16.0091,-4.21934,-75.0578,177.31,-35.0996,49.9992,-0.474656,-1.09904,0.987067,151.29,-425.491,-400.189,1.00923e-14,-2.77158e-16,2.38866e-14,-29.6376,-260.108,-21.3665,-18.2521,3.16284,2.59993,-563.445,-869.45,-35.4219,-13.4185,3.19725,3.36726,-564.069,-869.219,-34.3258,-8.9037,2.57179,-53.8582,86.3512,-178.299,-41.9864,1.29107,0.359677,0.76341,-32.1412,536.211,-16.0988,3.29025e-14,-9.9403e-15,-4.13183e-14,-0.486928,25.6183,-4.97914,-1.8248e-16,-6.11573e-17,-5.37452e-16,-1.07755,13.4055,-2.88243,-0.0547911,-0.000466305,0.0146099,-1.11021,8.88486,-1.8677,0.145155,0.0179852,-0.0328854,-1.10493,4.1953,-0.789164,0.023992,-0.00191262,-0.041939,-4.84933,15.6003,1.24681,1.14423e-16,4.22943e-17,-2.02101e-16,-1.07863,6.12639,1.45416,-0.0357388,0.0165484,-0.0167157,-0.168293,3.70019,1.15533,-0.024771,0.0697175,-0.153806,0.569005,1.5115,0.7117,0.00172199,0.0298037,-0.0540798
1.12,0,8.52651e-14,4.44089e-15,1.77636e-15,6.66134e-16,-7.10543e-15,-134.018,-1127.7,257.946,1.25786e-14,2.02579e-15,-6.27659e-15,-61.8082,-1150.6,-43.7598,-8.25335,2.45229,0.19038,-100.781,-1536.26,17.9518,7.88569,-3.92286,0.908156,-100.476,-1537.28,18.6262,7.07988,-4.6492,-69.0116,112.609,-15.3778,36.114,-0.247214,-0.759085,1.26079,-23.1282,-372.601,-126.628,-3.49823e-14,-5.44506e-15,-2.69242e-15,24.6261,-151.446,4.45024,9.4601,-1.2323,0.194884,-84.4777,-529.895,-2.34944,14.5594,-4.64927,-3.24962,-85.6145,-530.756,-2.62371,16.191,-4.77365,-33.1734,40.0657,-45.155,-11.5653,-0.326373,-0.437697,-0.678697,35.6984,506.453,-39.0854,-5.30669e-14,9.42443e-15,-2.89861e-14,-1.94424,26.1361,-4.83849,-2.15202e-16,1.60425e-17,1.5373e-16,-3.4668,13.4222,-2.16793,-0.0695476,-0.0135901,0.0217043,-2.76643,8.87328,-1.35807,0.127165,0.0410453,-0.0430829,-1.9909,4.11261,-0.489232,0.0179,0.00302509,-0.0488475,-4.28026,18.6901,0.790506,-3.96963e-17,6.27794e-18,2.42611e-16,-1.11611,7.10855,1.4307,-0.120547,0.0356412,-0.0633866,0.00718131,4.25395,1.15722,-0.0893632,0.101049,-0.224642,0.849205,1.77943,0.593432,-0.0153166,0.0408453,-0.0752323
1.17,0,0,3.55271e-15,0,1.11022e-16,-3.55271e-15,-253.337,-1364.04,312.993,8.78396e-15,-7.96782e-16,-7.1849e-15,-207.225,-1300.33,-53.9725,-18.1829,2.58459,-0.349452,-229.336,-1657.56,7.61842,1.33474,-4.13889,-0.492922,-228.788,-1658.62,8.61347,2.90939,-4.52564,-74.0363,102.751,0.159769,39.7663,-0.189148,-1.04078,2.1406,6.52271,-367.102,-144.982,1.11754e-15,4.6906e-16,6.40106e-15,34.5297,-158.69,-13.019,7.32974,-3.21612,0.503026,83.9235,-463.103,-24.4912,6.81601,-4.25469,-0.917479,84.0947,-464.477,-24.4797,7.22481,-2.8103,-27.2416,53.1085,-22.0443,-16.2038,-0.233308,-0.449756,-0.296331,-5.27407,449.726,-15.4318,-4.05093e-14,2.05672e-15,2.8887e-15,-3.62788,20.9636,-2.95728,-2.88911e-16,-1.64239e-16,-3.81204e-17,-4.31998,10.3591,-1.21752,-0.0200172,-0.00312641,0.0067586,-3.46815,6.76853,-0.720443,0.115744,0.0652383,-0.0835883,-2.42594,2.97325,-0.144849,0.0117891,0.0071871,-0.0591767,-3.38217,13.6862,0.678444,-1.32156e-17,-7.29064e-17,-4.31922e-16,-0.713037,5.3481,1.03936,-0.0455941,0.0177125,-0.0224304,0.00626456,3.22137,0.850258,-0.0344642,0.0592126,-0.141639,0.565557,1.31485,0.511534,-0.00220714,0.024802,-0.0491881
1.2,0,3.62377e-13,3.55271e-15,2.22045e-15,1.24345e-14,-2.13163e-14,-360.699,-1470.64,274.777,1.61729e-14,4.97395e-15,2.07564e-14,-364.427,-1691.78,-69.0783,-12.6744,5.98655,1.7114,-455.51,-2236.57,-36.1826,9.74526,-2.65689,2.35758,-455.717,-2237.69,-35.8318,11.7933,-1.41186,-92.8394,131.199,-24.8279,52.6818,-0.467223,-1.17772,1.39202,308.491,-550.39,-209.324,2.07478e-14,3.39504e-15,-1.03299e-14,134.487,-409.677,-37.6955,-1.60445,0.400472,2.95095,66.0894,-312.658,-24.2912,-2.03538,1.42425,0.183671,67.3313,-313.446,-23.9898,-2.27552,2.7016,-16.5366,33.1058,-7.69245,-10.3296,-0.0157999,-0.164304,-0.148158,-103.435,430.271,1.91476,7.26963e-15,-4.5592e-15,-2.37026e-16,-5.50763,19.1627,-2.24248,-1.4007e-15,-3.12366e-16,1.64271e-15,-4.31673,9.11592,-0.776495,-0.0314385,-0.0083649,0.0122796,-3.545,5.82027,-0.339094,0.0741763,0.0572369,-0.101902,-2.52584,2.31874,0.142364,-0.00137488,0.00455537,-0.0676945,-4.29505,11.8479,0.989022,-1.99277e-16,-7.48665e-17,3.41684e-16,-0.486089,5.01208,1.17205,0.0533621,-0.00370985,0.0314534,-0.0534505,3.07596,0.924927,0.0366735,0.0257552,-0.0721758,0.336245,1.21189,0.686307,0.0168185,0.0126478,-0.0285976
1.24,0,-4.50084e-13,2.84217e-14,7.10543e-15,7.99361e-15,1.42109e-14,-444.706,-1275.12,221.879,7.90509e-14,-8.57262e-15,-1.73033e-14,-490.32,-1780.78,-72.1993,-4.82624,8.16667,2.51273,-705.167,-2588.55,-49.7838,13.6283,-1.27795,4.26561,-705.819,-2590.98,-49.0005,17.7254,-0.0785106,-106.013,155.971,-31.4328,69.7667,-0.607714,-1.31352,1.9767,210.296,-1511.39,-367.568,3.90978e-15,3.40127e-15,-4.46591e-14,204.434,-538.565,-40.0784,41.879,-0.279682,-3.23037,310.014,-355.813,-26.8295,32.0215,-8.4517,-4.22775,311.58,-355.359,-26.8911,31.7614,-6.64667,-31.5093,91.4945,-5.0791,-29.4726,-0.0363602,-1.2238,-0.720423,-125.44,403.384,-90.4442,1.42664e-13,-1.49732e-14,5.75595e-15,-3.77255,6.08841,-2.37071,-2.79993e-15,-1.29147e-15,6.66095e-17,-1.84081,3.76964,0.302645,-0.107434,-0.0742909,0.0645727,-1.55779,2.58433,0.409524,-0.0450275,-0.043012,0.00584279,-1.31066,1.0236,0.472594,-0.0220847,-0.0115958,-0.0268927,-5.46894,17.1549,-0.211417,-4.76591e-16,-4.49019e-16,6.17245e-16,-0.403717,7.33227,1.54086,-0.0359067,0.0163543,-0.0174783,0.203051,4.48258,1.17931,-0.041132,0.0637688,-0.159791,0.65347,1.85215,0.662939,-0.00400514,0.0252481,-0.0525494
1.29,0,1.98952e-13,-3.90799e-14,-2.84217e-14,5.32907e-15,-2.13163e-14,-695.791,-1429.04,200.844,-1.01243e-14,-2.19175e-14,-8.91958e-15,-690.776,-1973.33,-76.8972,-1.4217,11.2506,1.7947,-1065.62,-2729.53,-45.7898,6.69207,4.74878,2.87096,-1066.91,-2732.17,-43.907,10.8567,5.3364,-116.015,131.323,-40.0346,61.8137,-0.669096,-1.15591,1.59864,309.914,-1810.86,-511.036,4.93317e-15,1.14484e-14,1.49726e-14,238.215,-679.787,-46.871,48.6375,22.7078,-3.38135,766.508,-650.498,-45.1584,27.987,3.68655,-4.96806,766.909,-649.504,-43.3215,28.0988,8.16253,-63.5791,177.904,10.8331,-46.0417,0.214547,-2.63993,-1.13257,-59.5359,442.456,-162.319,-1.12249e-13,1.84392e-14,-2.21387e-15,-3.26627,6.68653,-3.22596,-5.04068e-15,-2.78227e-15,2.0442e-15,-1.98116,3.11606,0.716616,-0.0967354,-0.0932,0.0787882,-1.47157,2.08328,0.681486,-0.0436241,-0.0602431,0.0257971,-1.05435,0.679354,0.567574,-0.0209807,-0.0135404,-0.0184809,-6.92448,29.9387,-1.01904,1.45467e-15,-5.72664e-17,2.49622e-16,-0.800424,12.1951,2.1149,-0.178743,0.0555366,-0.09908,0.478998,7.37264,1.70461,-0.146401,0.142333,-0.348552,1.37692,3.08549,0.837985,-0.0269621,0.0548388,-0.111718
1.32,-2.84217e-14,-3.69482e-13,4.88498e-14,-7.10543e-14,-5.32907e-15,4.26326e-14,-749.659,-1885.72,38.6538,-2.53539e-13,1.13917e-13,-1.38745e-14,-806.562,-1945.28,-33.1609,-16.488,18.4466,-0.535883,-1234.68,-2484,-9.34533,3.18446,5.33995,1.51063,-1234.89,-2483.94,-8.47706,4.94827,5.28542,-110.505,103.299,-39.265,54.1491,-0.66125,-1.14256,1.52841,1129.97,-1748.43,-1869.12,-1.23959e-13,-5.55783e-14,-1.74058e-14,218.669,-745.59,-37.7835,-125.62,-10.7924,14.7604,1405.18,-2336.7,-241.976,-84.8607,15.063,8.79977,1406.05,-2338.68,-240.612,-87.4892,29.3477,-139.709,475.19,19.4868,-126.358,0.865039,3.12836,1.44807,-134.479,372.288,239.696,-5.11682e-13,1.36347e-14,-2.27759e-13,-10.4338,32.5084,0.0729764,3.68876e-15,2.75774e-15,-4.88592e-16,-7.27712,9.69566,-0.762463,0.0834277,0.131149,-0.0896955,-5.83366,4.81534,0.15752,0.0205068,0.184369,-0.368081,-3.40017,0.50982,0.99103,-0.0452035,0.00717571,-0.147963,-0.812954,-6.66239,3.79649,2.54798e-15,7.125e-16,-1.33279e-15,-0.196679,-2.57419,-0.0564671,0.365523,-0.0840871,0.218205,-0.685574,-1.4527,0.019485,0.293025,-0.120996,0.256129,-0.815688,-0.81,0.694557,0.0831439,-0.0385989,0.0656067
1.4,2.84217e-14,-3.41061e-13,1.42109e-14,-1.42109e-14,-3.19744e-14,1.77636e-14,-1209.13,-4123.8,1070.98,-1.68547e-13,1.27688e-13,4.23467e-14,-956.661,-1805.01,-47.9005,-148.186,34.2525,0.445791,-987.715,-3815.59,-125.028,-76.5963,29.5701,-18.6213,-989.115,-3813.7,-121.445,-92.9273,41.5798,-249.116,234.406,-408.449,108.494,5.78457,2.76902,-1.83502,475.926,-3255.47,-1223.82,2.30956e-13,2.94272e-14,4.99846e-14,414.009,-1278.77,43.2213,91.079,14.9998,-0.256061,1267.87,-2170.77,91.1101,50.3324,-8.97105,-3.0033,1265.64,-2172.93,92.3521,69.5878,-3.57727,-147.058,421.378,-105.267,-63.4385,-0.902331,-6.1936,-3.45794,-171.09,810.785,99.4309,-1.79363e-13,4.73683e-14,1.53551e-13,-8.80496,29.1916,-1.64469,1.49095e-15,1.3218e-15,-2.5471e-15,-4.74598,7.73504,-0.400004,-0.00470287,0.0315897,-0.00785333,-3.84903,3.5018,0.521676,-0.087434,0.0420571,-0.281018,-2.21973,-0.350527,1.1959,-0.0733479,-0.0194116,-0.131966,-6.28724,15.2525,3.34451,2.93778e-16,-1.51727e-18,-2.16301e-16,-0.961519,6.3732,1.56481,0.242591,-0.0384851,0.146428,-0.447196,3.94532,1.33131,0.196063,-0.0115621,-0.000138742,0.161753,1.42509,1.37363,0.0672411,0.00362333,-0.016672
