time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0,0.0380566,-0.0757769,0.0631385,-0.0325651,0.869041,2.59486,0.276736,0.104431,-0.0887654,-0.315213,0.00391442,1.15256e-07,0,0.0193436,-0.0824643,0.131219,-0.985091,-0.437009,2.40805e-07,0,-0.242637,0.0866263,-0.00600067,0.0273908,-0.235842,-0.00144093,0.181099,1.61195,5.87616e-08,-5.83658e-07,0.534725,-0.0861143,0.497235,2.71489,1.60941,-7.11869e-07,7.99375e-07
0.01,0.042847,-0.0697938,0.0560983,-0.0333918,0.871044,2.59648,0.257731,0.0974851,-0.115571,-0.319014,0.00687124,-5.38049e-07,0,0.0541364,-0.0782098,0.10448,-1.03059,-0.432989,-6.07089e-07,0,-0.249199,0.0772863,0.000510241,0.0492931,-0.235378,0.00432165,0.188831,1.61766,-1.24263e-07,1.6599e-07,0.538815,-0.0830876,0.498318,2.71555,1.59628,1.13444e-07,1.12692e-07
0.02,0.0437948,-0.0681609,0.0523932,-0.0350623,0.873834,2.59919,0.241794,0.0998964,-0.12614,-0.318356,0.00905116,3.56236e-07,0,0.0822908,-0.0728946,0.103203,-1.0443,-0.427374,-7.29332e-07,0,-0.255485,0.0713077,0.0122892,0.069752,-0.22977,0.00722903,0.198704,1.62013,4.00365e-07,-6.18001e-08,0.53887,-0.0843129,0.498727,2.71593,1.59112,5.08722e-07,9.83938e-07
0.03,0.0455361,-0.0639695,0.0497753,-0.0357386,0.875328,2.5997,0.219222,0.0945158,-0.139738,-0.311742,0.0144095,-1.12585e-06,0,0.119601,-0.0646484,0.091359,-1.08399,-0.410406,-5.12534e-07,0,-0.255382,0.0670235,0.0139287,0.0903452,-0.233044,0.0101324,0.208318,1.62374,4.20838e-07,2.07996e-07,0.545262,-0.0864463,0.49981,2.71673,1.57937,1.28563e-07,7.03309e-07
0.04,0.0451584,-0.0627626,0.0493522,-0.0379425,0.877785,2.6021,0.203332,0.0976013,-0.147827,-0.308328,0.0171862,2.02539e-07,0,0.149191,-0.0601352,0.0918904,-1.08618,-0.401975,-3.13692e-07,0,-0.260171,0.0622298,0.023021,0.11121,-0.229487,0.0119087,0.219187,1.62535,6.64111e-07,-2.50955e-07,0.545228,-0.0885128,0.500111,2.71559,1.57475,1.60095e-07,-4.62194e-07
0.05,0.0431531,-0.0600469,0.0457386,-0.0384016,0.878801,2.60271,0.179619,0.0945246,-0.161585,-0.29223,0.0237907,7.21189e-07,0,0.185816,-0.0523163,0.0847176,-1.11407,-0.381267,-6.35661e-07,0,-0.255931,0.0589677,0.0218008,0.134316,-0.230498,0.0138534,0.23254,1.62805,1.78331e-07,-5.21045e-07,0.549504,-0.091732,0.500901,2.71591,1.56396,2.22652e-07,5.88972e-07
0.06,0.0311878,-0.0585209,0.068032,-0.0400848,0.879002,2.60353,0.163371,0.0939276,-0.181838,-0.266027,0.0440261,-3.38202e-08,0,0.243355,-0.0528619,0.0827591,-1.13413,-0.302588,4.16423e-08,0,-0.243701,0.0586216,0.00418919,0.148588,-0.225865,0.0187338,0.251016,1.63499,4.55773e-07,-1.59082e-07,0.556363,-0.102575,0.503262,2.72242,1.52866,1.94851e-07,1.79926e-07
0.07,0.0294315,-0.0624957,0.0581797,-0.0417922,0.880542,2.60479,0.150022,0.0994536,-0.189732,-0.26576,0.047321,-1.99325e-07,0,0.266283,-0.0457142,0.092383,-1.12389,-0.287994,-6.03023e-07,0,-0.243894,0.0612828,0.0124858,0.175977,-0.22497,0.0198507,0.266626,1.63662,-5.83877e-08,2.90825e-09,0.5523,-0.102998,0.505313,2.72053,1.52126,-1.51151e-07,2.13396e-07
0.08,0.0206994,-0.063178,0.0700756,-0.0426673,0.880612,2.60589,0.131103,0.102574,-0.207719,-0.240489,0.0627225,-1.92154e-07,0,0.312191,-0.0484733,0.0834834,-1.1303,-0.208759,1.64091e-07,0,-0.233682,0.0610002,0.0025145,0.188381,-0.221008,0.0232709,0.291041,1.64241,-5.54458e-07,1.22472e-07,0.544954,-0.101401,0.510394,2.72929,1.48493,3.6377e-09,7.05943e-07
0.09,0.0197697,-0.0659019,0.0634454,-0.0446645,0.881838,2.60663,0.117759,0.105877,-0.21211,-0.241485,0.0646667,-1.92085e-07,0,0.334024,-0.0441542,0.0885867,-1.11003,-0.198688,-7.74661e-07,0,-0.235226,0.0640614,0.0106043,0.214814,-0.221839,0.0238549,0.306407,1.64355,-6.71239e-08,-1.04437e-08,0.543362,-0.102883,0.51131,2.72551,1.47931,-2.4352e-07,2.62211e-07
0.1,0.0181875,-0.0659554,0.0606099,-0.0463431,0.882575,2.60771,0.101694,0.107735,-0.216188,-0.236362,0.0669162,-1.78046e-07,0,0.358851,-0.0422085,0.0866265,-1.0906,-0.184869,-4.44944e-07,0,-0.235029,0.0630658,0.0150671,0.237731,-0.219371,0.0249048,0.323168,1.64492,-2.34417e-07,3.97461e-07,0.542482,-0.102873,0.512341,2.72401,1.47259,7.72729e-07,-3.9445e-09
0.11,0.0140524,-0.0652678,0.0586672,-0.0472553,0.883152,2.60883,0.0839119,0.110358,-0.217263,-0.223174,0.0713246,6.67228e-08,0,0.383493,-0.0406325,0.0784697,-1.06282,-0.157194,-1.46839e-07,0,-0.231212,0.0617735,0.0159071,0.253798,-0.211744,0.027628,0.346845,1.64761,7.93254e-07,2.19343e-07,0.539428,-0.103689,0.513286,2.72752,1.45914,8.46687e-07,-2.08511e-07
