time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,-3.53594,-89.6574,94.3291,24.6111,-31.7679,-5.13911,-28.1839,73.3544,-23.1624,20.1525,-16.0527,95.9043,0.0876016,3.34205,204.705,-18.4319,-7.5384,-77.4861,209.08,0.114865,19.8588,-12.5258,4.87236,3.38753,-1.20272,-0.0544758,1.674,-0.0524762,0.0112236,-0.26712,2.2186,-0.14982,-0.49258,1.26549,-0.0404523,-0.0274479,-0.184589
1,36.8505,-11.2918,-32.6227,25.7277,-70.1556,7.43505,-2.71372,-104.342,14.8476,42.1667,4.14102,-33.1156,0.0161972,20.9425,-44.5807,27.9801,15.0971,17.0438,-42.4429,0.139093,16.338,-4.04219,1.6301,1.4131,0.323401,0.0264057,0.89889,-0.0172097,0.0674806,-0.130774,1.08046,0.382972,-0.119311,0.562981,-0.0259568,-0.0238882,-0.0696459
1.07,8.9346,-13.263,6.57757,24.8842,-67.0251,-13.7079,2.40188,-21.2483,2.58659,13.2763,-25.2245,27.3542,0.0190706,-1.37379,12.2415,-16.031,-1.19635,-8.26881,28.2473,0.0354972,8.11436,-7.58299,-5.4018,0.478419,0.499629,0.0601827,0.607207,-0.00573031,0.0634399,-0.082968,1.77177,0.734521,-0.203353,0.095811,-0.0272299,-0.0627244,-0.0595756
1.12,15.6752,12.4748,-4.80921,33.0105,-19.5897,-13.4025,5.6624,-34.5094,2.76151,5.95442,-34.5354,16.0342,0.0290183,7.99866,-16.0237,10.1186,-2.08497,4.75196,-13.8685,0.0392631,7.13294,-7.81054,-4.13134,-0.296779,0.0778381,0.101561,0.306217,0.0117722,0.058258,-0.0309205,1.9116,0.129288,-0.318857,0.279304,-0.0263915,-0.054625,-0.0818759
1.17,1.77274,-2.70411,3.47331,1.00666,18.3624,-15.0856,8.41947,-49.1421,3.54101,-2.45305,-49.4654,11.9621,0.0218855,-3.86115,-9.43017,6.93573,-9.63033,1.94353,-4.60249,0.0476985,6.4766,-5.214,-3.44968,-0.747649,-0.298667,0.0880188,0.131758,0.0140145,0.0554975,0.00685271,2.1087,-0.2092,-0.310124,0.20466,-0.0288157,-0.0608568,-0.0562552
1.2,-14.2734,-12.5656,13.6742,-21.1911,10.0639,-0.337535,14.03,-45.138,6.31177,-7.74488,-62.8297,21.9125,0.0104183,-24.0762,1.68672,-2.9364,-18.2916,-0.208593,3.18513,0.0229287,7.00791,-5.71508,-4.82317,-1.15051,-1.78534,-0.0463621,0.0438945,0.0164727,0.0158456,0.00731866,2.18422,-0.145608,-0.300222,0.393684,-0.0317819,-0.0511948,-0.0789778
1.24,-22.1316,44.3628,11.1281,-44.7228,-8.31273,2.17241,25.7525,-35.5727,9.74327,-9.40191,-78.7186,29.8854,0.0105932,-38.2861,-33.1625,21.3569,-22.0267,3.81582,-26.0866,-0.0170018,8.39015,-4.46892,-5.73911,-1.31082,-1.20012,-0.0757734,-0.0971247,-0.00347422,0.0262665,0.0555148,2.86919,-0.108649,-0.341963,0.332062,-0.0336903,-0.0542766,-0.0784455
1.29,-9.77265,60.1315,36.6648,-75.9975,11.8953,4.2817,43.0099,-33.5018,14.6437,-1.71138,-85.276,26.4558,-0.00335419,-32.9502,-46.4799,-0.667603,-22.9731,4.97918,-44.1089,-0.0318147,4.73455,-4.00489,-5.30322,-0.709241,-1.43555,-0.278572,0.134761,-0.0327197,-0.0135206,0.0303897,3.10089,-0.134074,-0.449694,0.423113,-0.036713,-0.0692149,-0.0999863
1.32,9.07594,-114.42,27.7343,-79.8633,-6.8021,34.3455,47.8313,-31.8889,16.2857,3.48747,-82.5298,22.5811,-0.0287869,-28.3356,119.107,-55.6103,-21.1203,-0.684637,80.0802,0.00525738,5.82777,-1.09168,-2.3638,-0.806769,-1.94897,-0.357181,0.0943689,-0.0352424,-0.0274474,0.0383623,3.40791,0.0817445,-0.511052,0.522778,-0.0316538,-0.0657987,-0.120036
1.4,-7.89203,-71.8998,81.9892,32.6154,-29.0979,16.0948,10.1705,-165.176,19.4801,4.13631,-3.77603,-166.765,0.0999556,-32.4172,-101.33,23.3021,27.0171,22.3746,-83.3184,0.0775398,17.9772,7.47868,-3.37223,-0.853386,-3.20522,-0.603116,-0.084324,-0.0190946,-0.0659539,0.0918838,2.09836,0.716237,-0.198285,0.69095,-0.0272491,-0.0271278,-0.0968615
1.49,41.7855,-1.45371,-22.1977,33.8224,-76.4829,-4.11828,27.6026,49.7911,-32.2938,14.9709,-0.651867,57.9968,0.163222,1.23178,-0.123214,-12.1968,45.7208,-1.39867,39.7063,0.0276242,15.4302,2.76966,-7.25932,-0.107617,-2.74013,-0.766604,0.258772,-0.029075,-0.0972554,0.0228866,1.41708,0.977272,-0.0548616,0.454945,-0.0274177,-0.0259563,-0.0708959
1.56,10.8335,-15.5229,23.9647,30.41,-57.7032,14.1598,0.221863,-30.3886,23.4283,2.85129,3.67633,-30.2818,0.0425216,-0.0188794,-48.8706,-3.3824,8.94702,-21.4495,-6.90809,0.0162393,11.421,3.86108,2.33811,0.101141,-2.17608,-0.519934,0.376236,-0.0322449,-0.0562096,-0.0168358,1.38458,0.355299,-0.245953,0.409659,-0.0131016,-0.0325539,-0.0704342
1.62,14.4581,13.3832,7.78399,43.4422,-15.3454,20.2832,5.19469,5.3036,-6.23615,-1.73512,-1.02523,9.31375,0.03876,3.65694,-29.7113,-6.7281,-3.04858,-42.0714,5.91411,0.0267491,9.05548,7.67791,4.59856,1.26315,-0.5557,-0.14141,0.941832,-0.0305621,0.0249723,-0.0869934,1.29016,0.222578,-0.188972,0.44457,-0.0115127,-0.0173984,-0.0589769
1.67,10.8924,-8.49693,-0.233021,13.2196,18.4779,27.7112,-3.9561,-4.45747,-3.15185,-9.20894,-0.173564,3.7425,0.0407334,14.6253,-24.7324,-3.75161,-7.10673,-54.2305,18.1681,0.0178469,10.1203,7.76025,4.60429,1.73259,0.0233433,0.118283,1.36387,-0.00831367,0.103259,-0.155129,1.55177,0.563163,-0.143982,0.396,-0.0141279,-0.021234,-0.0551444
1.7,-7.73239,-8.15864,-1.35561,-25.0176,12.0892,22.1144,-22.1646,-7.33419,4.79709,-16.5191,1.65506,-2.28759,0.0265076,17.3814,-33.6122,-1.61323,-11.4719,-60.5108,14.8782,0.0113446,10.1336,7.1929,5.76643,2.45678,-0.884541,0.021085,1.59853,-0.00918311,0.0746973,-0.215085,1.76039,0.662848,-0.213595,0.383871,-0.0162193,-0.0382226,-0.06516
1.74,-17.5615,61.2213,-11.1883,-30.2349,-0.695254,1.40508,-42.238,50.6753,-27.7894,-41.2789,-18.3409,31.5836,-0.0160419,30.206,-39.6806,0.513348,-10.1696,-67.8408,10.9052,0.00805318,10.0557,7.27242,6.09029,3.6198,-1.76633,-0.124739,1.79222,-0.0321086,0.00587823,-0.258851,2.13834,0.655305,-0.294187,0.411367,-0.0226347,-0.0554506,-0.0800663
1.79,-6.47329,16.7635,21.0816,-47.7706,27.4035,-9.94642,-39.1591,42.7211,12.0766,-35.9647,-17.9207,37.3565,-0.0216247,40.5612,-29.6357,4.49845,-7.97387,-80.1269,12.7039,0.00602999,9.24826,5.61284,5.51545,4.7967,-1.52331,-0.14867,2.06865,-0.0601686,-0.0171757,-0.293873,2.28501,0.618731,-0.30425,0.467208,-0.0341054,-0.0742901,-0.0851143
1.82,56.9086,60.1571,-68.0165,-54.4593,-4.26338,-20.4971,-26.5524,-147.579,70.0882,24.8375,57.6214,-105.498,0.0164213,101.663,-277.325,-18.2546,65.8656,24.5747,-221.228,-0.0192771,10.3174,0.339101,3.66951,5.14578,-1.20748,-0.131428,2.23194,-0.0666729,-0.0143703,-0.320596,2.56726,0.568741,-0.321223,0.495617,-0.038567,-0.080613,-0.0915378
1.93,29.1921,34.3008,47.8351,36.7536,-64.4025,32.8875,-19.4208,55.1299,-11.2899,31.5334,-20.237,92.1093,0.0750703,21.7631,65.5747,-25.2043,4.3053,-16.2979,54.6067,0.203784,27.9901,-12.4641,1.88245,2.42922,-0.700962,-0.075437,1.4895,-0.0530771,-0.00323923,-0.256613,1.49395,-0.621636,-0.577641,1.28489,-0.0316108,-0.0470134,-0.191015
2,25.3124,-16.2921,-23.6202,15.5568,-69.3727,-0.537684,-7.83011,-95.41,17.9449,39.2447,4.69806,-28.1672,0.0253646,18.9626,-38.453,25.0943,13.5063,14.2893,-36.9916,0.139784,13.7763,-6.88994,0.848833,1.11238,0.414039,-0.00233769,0.820959,-0.0253752,0.0550964,-0.125143,0.219346,-0.295375,-0.342825,0.700988,-0.0335455,-0.0852211,-0.0937076
