time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,-0.209068,-0.0219119,1.33196,55.8597,161.222,2.99003,0,0.840466,0
1,0.0270206,-0.0219119,-0.163361,-7.03481,-14.1641,0.107269,0,-0.164613,0
1.07,-0.0123455,-0.0219119,0.0767784,4.39178,10.6335,0.370498,0,0.0505854,0
1.12,-0.00169678,-0.0219119,0.00236185,-0.97646,-5.44216,-0.612487,0,0.052818,0
1.17,0.00553919,-0.0219119,-0.0342047,-1.25455,-2.41042,0.0982031,0,-0.0424184,0
1.2,0.00112064,-0.0219119,-0.00542271,0.423672,1.95578,0.264491,0,-0.0209911,0
1.24,-0.00574847,-0.0219119,-0.387902,-0.4348,-13.7658,1.23711,0,-0.28793,0
1.29,-0.000838821,-0.0219119,0.348211,10.8424,-19.5757,-2.31544,0,0.364082,0
1.32,0.0541828,-0.0219119,1.1827,-0.954638,92.2203,-9.77154,0,2.69826,0
1.4,0.14831,-0.0219119,2.66697,-115.074,570.109,16.1272,0,-3.96543,0
1.49,0.0371679,-0.0219119,2.4318,-81.6617,619.511,43.0937,0,-11.5205,0
1.56,-0.0100193,-0.0219119,2.52928,-29.5846,454.886,34.7914,0,-7.26537,0
1.62,-0.0470134,-0.0219119,2.49683,-26.3322,447.92,36.1162,0,-6.37735,0
1.67,-0.110546,-0.0219119,2.47534,-3.67026,503.642,35.6198,0,-3.41,0
1.7,-0.147753,-0.0219119,2.48914,19.9162,540.008,33.5049,0,-0.131691,0
1.74,-0.198414,-0.0219119,2.50102,48.0392,585.318,34.1175,0,3.15794,0
1.79,-0.259677,-0.0219119,2.49552,99.9862,645.645,41.8804,0,6.92953,0
1.82,-0.36448,-0.0219119,2.9,131.115,621.362,38.6764,0,7.91582,0
1.93,-0.0876283,-0.0219119,0.51584,13.7581,23.364,-1.38998,0,0.279244,0
2,0.0262895,-0.0219119,-0.161875,-6.29797,-12.2064,-0.0492278,0,-0.236991,0
2.06,-0.00945883,-0.0219119,0.064251,4.41973,12.2774,0.782855,0,0.266582,0
2.11,-0.00519355,-0.0219119,0.024285,-0.200678,-3.68684,-0.572918,0,-0.0684788,0
2.15,0.00533799,-0.0219119,-0.0369168,-1.92659,-5.22335,-0.277845,0,-0.0939403,0
2.18,0.00429381,-0.0219119,-0.0259078,-0.50374,-0.282691,0.154711,0,0.00844781,0
2.22,-0.00158576,-0.0219119,0.0105582,0.961086,2.53254,0.183784,0,0.0608002,0
2.25,-0.0142263,-0.0219119,-0.339326,1.22332,-31.5497,2.91104,0,-1.19416,0
2.33,0.0610195,-0.0219119,1.48013,-14.4778,166.338,-15.9643,0,5.96907,0
2.44,0.0685827,-0.0219119,2.61631,-110.893,638.059,23.1178,0,-3.10272,0
2.55,-0.0601398,-0.0219119,2.53219,-18.6238,462.566,30.293,0,-4.06505,0
2.6,-0.0832453,-0.0219119,2.53709,-21.787,450.496,29.3832,0,-3.71076,0
2.64,-0.112662,-0.0219119,2.49939,-17.7256,485.932,33.2452,0,-4.6347,0
2.67,-0.149116,-0.0219119,2.4965,-0.0451614,528.759,31.5016,0,-3.03457,0
2.7,-0.188013,-0.0219119,2.51032,24.7311,567.556,27.2531,0,0.128909,0
2.74,-0.239925,-0.0219119,2.5228,53.281,608.183,29.0988,0,2.25096,0
2.79,-0.305865,-0.0219119,2.51915,108.483,651.25,35.0194,0,3.96017,0
2.83,-0.424687,-0.0219119,2.86992,134.409,562.672,25.3183,0,4.32111,0
2.9,-0.230013,-0.0219119,1.32547,50.6383,139.11,0.457301,0,1.52045,0
2.97,0.0143721,-0.0219119,-0.102762,-9.23218,-27.9553,-1.43781,0,-0.281422,0
3.05,-0.00562395,-0.0219119,0.0402505,4.22759,12.8103,0.752981,0,0.123464,0
3.11,-0.00570573,-0.0219119,0.0242069,-0.402236,-3.97913,-0.685435,0,0.0175201,0
3.15,0.00604358,-0.0219119,-0.0371617,-1.91509,-4.87333,-0.0316612,0,-0.0716908,0
3.18,0.00480615,-0.0219119,-0.0259689,-0.403777,-0.0260721,0.284861,0,-0.0235171,0
3.22,0.000613258,-0.0219119,-0.390824,-0.493162,-13.2108,1.34992,0,-0.415881,0
3.26,-0.0151582,-0.0219119,0.122683,9.90083,-35.0223,-0.657201,0,0.426605,0
3.3,0.0377755,-0.0219119,1.17968,-2.55477,98.0362,-9.03211,0,2.43938,0
3.38,0.125532,-0.0219119,2.65503,-127.683,602.391,21.3816,0,-8.3906,0
3.49,-0.000896965,-0.0219119,2.43044,-63.1733,544.002,44.6865,0,-12.7845,0
3.55,-0.0376753,-0.0219119,2.52645,-30.1141,432.042,35.7518,0,-8.20002,0
3.59,-0.066659,-0.0219119,2.50187,-25.5155,437.402,37.81,0,-7.31938,0
3.63,-0.107978,-0.0219119,2.4705,-12.1684,484.803,39.2174,0,-5.40616,0
3.66,-0.144477,-0.0219119,2.47595,8.40317,528.198,36.6418,0,-2.29945,0
3.7,-0.194895,-0.0219119,2.49408,36.8511,575.782,34.9315,0,1.99527,0
3.73,-0.231235,-0.0219119,2.49818,59.0902,612.559,38.9283,0,4.24471,0
3.78,-0.290424,-0.0219119,2.49284,119.053,637.09,43.6222,0,8.4873,0
3.84,-0.319058,-0.0219119,2.14721,101.881,353.632,20.9531,0,6.2246,0
3.89,-0.125228,-0.0219119,0.760037,29.7634,68.2624,1.75998,0,1.59933,0
3.94,0.0137119,-0.0219119,-0.101678,-8.81803,-29.6899,-2.16812,0,-0.649934,0
4,0.00814393,-0.0219119,-0.0403744,0.467995,7.29744,1.02991,0,0.105767,0
4.05,-0.0126387,-0.0219119,0.0749342,3.83532,7.69034,0.200646,0,0.237903,0
4.09,-0.00147234,-0.0219119,0.00252467,-0.884518,-5.16247,-0.546647,0,-0.0831797,0
4.13,0.00596704,-0.0219119,-0.037992,-1.835,-4.27222,-0.161444,0,-0.104873,0
4.16,0.00272888,-0.0219119,-0.0157546,-0.148015,0.752117,0.176021,0,0.0132313,0
4.2,-0.00247618,-0.0219119,0.0147062,1.02431,2.32068,0.125194,0,0.0681567,0
4.24,-0.0131513,-0.0219119,-0.0814243,7.92872,-38.9046,1.26943,0,-0.995945,0
4.28,0.0419657,-0.0219119,0.897773,-2.44648,77.9768,-10.7337,0,4.00905,0
4.34,0.13859,-0.0219119,2.40301,-88.0489,429.445,-4.18869,0,3.19895,0
4.39,0.123558,-0.0219119,2.69207,-119.33,613.657,18.5442,0,-3.15618,0
4.49,0.00434381,-0.0219119,2.46423,-37.3237,514.826,38.1058,0,-7.28852,0
4.55,-0.0232135,-0.0219119,2.53809,-28.2291,478.419,34.2233,0,-6.34137,0
4.59,-0.0625879,-0.0219119,2.50288,-20.1441,489.622,31.429,0,-5.05524,0
4.63,-0.119062,-0.0219119,2.48345,3.11147,505.875,30.8229,0,-3.71407,0
4.66,-0.160399,-0.0219119,2.49447,25.9171,517.65,29.5065,0,-0.921881,0
4.7,-0.213468,-0.0219119,2.5105,52.9449,552.698,30.268,0,2.23928,0
4.73,-0.251528,-0.0219119,2.51243,83.5789,605.46,32.056,0,3.46916,0
4.77,-0.299564,-0.0219119,2.50926,134.858,628.833,29.3921,0,6.02979,0
4.82,-0.357923,-0.0219119,2.39508,118.029,402.318,13.265,0,5.35267,0
4.92,-0.00252158,-0.0219119,-0.0102596,-7.70962,-28.756,-1.68496,0,-0.138493,0
4.99,0.00848668,-0.0219119,-0.0401626,1.6212,9.97367,0.816132,0,-0.0307938,0
5.03,-0.0126737,-0.0219119,0.0761437,4.43351,9.66036,0.208938,0,0.169498,0
5.07,-0.00528199,-0.0219119,0.0240418,-0.368712,-4.34764,-0.424252,0,0.0438324,0
5.11,0.0056889,-0.0219119,-0.0370603,-2.08728,-5.25239,-0.146528,0,-0.0738071,0
5.15,0.00284357,-0.0219119,-0.0157372,0.113253,1.36606,0.170122,0,-0.0182683,0
5.19,-0.0225529,-0.0219119,-0.33372,0.794255,-25.6885,1.56567,0,-0.539889,0
5.23,0.00393023,-0.0219119,0.353653,14.745,-17.5803,-3.74088,0,1.99006,0
5.26,0.0623982,-0.0219119,1.17431,-1.31066,107.811,-9.73325,0,3.2174,0
5.33,0.19079,-0.0219119,2.58909,-120.634,547.51,21.0839,0,-12.3992,0
5.46,0.0271383,-0.0219119,2.43735,-36.2072,500.757,46.4434,0,-12.3662,0
5.51,-0.00135932,-0.0219119,2.51583,-18.4,430.59,37.7961,0,-7.83587,0
5.55,-0.0219757,-0.0219119,2.49091,-21.6147,438.51,42.3199,0,-9.11322,0
5.59,-0.0553283,-0.0219119,2.45875,-9.49349,487.412,47.4784,0,-8.03958,0
5.63,-0.10094,-0.0219119,2.46777,21.3226,550.247,46.5769,0,-2.79483,0
5.67,-0.150314,-0.0219119,2.48454,53.6364,612.925,46.1406,0,2.76473,0
5.72,-0.211367,-0.0219119,2.4849,110.517,653.063,48.1358,0,8.97205,0
5.8,-0.233872,-0.0219119,1.86991,79.8795,261.683,16.2546,0,6.95131,0
5.99,-0.0100484,-0.0219119,0.0751598,3.93772,9.06418,0.567485,0,0.351813,0
6.08,0.00491447,-0.0219119,-0.0376589,-1.54617,-3.36493,-0.157351,0,-0.144417,0
6.12,0.000964553,-0.0219119,-0.00528049,0.470958,2.09234,0.243087,0,0.0290403,0
6.15,-0.0271768,-0.0219119,-0.336752,1.99251,-34.4384,1.60211,0,-0.392208,0
6.2,0.0336943,-0.0219119,0.617574,9.57818,28.6859,-3.9904,0,1.13301,0
6.25,0.178765,-0.0219119,1.99012,-54.6573,322.057,-4.14828,0,0.310858,0
6.34,0.174126,-0.0219119,2.59931,-113.002,654.095,35.818,0,-10.7968,0
6.39,0.0853621,-0.0219119,2.42917,-54.8183,558.005,43.6613,0,-10.3651,0
6.45,0.0503973,-0.0219119,2.51555,-17.7457,441.936,36.4722,0,-6.16219,0
6.51,0.0176062,-0.0219119,2.5113,-19.126,439.405,35.9482,0,-5.38709,0
6.55,-0.0276712,-0.0219119,2.48111,-3.6931,486.243,34.2733,0,-3.2801,0
6.58,-0.0660228,-0.0219119,2.48746,18.99,529.457,31.5007,0,-0.589318,0
6.62,-0.114719,-0.0219119,2.5075,49.3313,594.401,33.1224,0,1.55441,0
6.67,-0.182226,-0.0219119,2.5071,111.825,659.012,37.5135,0,5.79446,0
6.71,-0.269262,-0.0219119,2.74542,136.574,554.901,28.5248,0,7.37134,0
6.86,0.0205115,-0.0219119,-0.172231,-9.72084,-23.2647,-0.568071,0,-0.695582,0
6.94,-0.0092426,-0.0219119,0.0758278,4.72504,11.2085,0.314996,0,0.344516,0
7.01,0.00294454,-0.0219119,-0.0295784,-2.17068,-6.69239,-0.347361,0,-0.14651,0
7.05,0.00324709,-0.0219119,-0.0258451,-0.79528,-0.692982,0.137556,0,-0.0605275,0
7.09,-0.0148677,-0.0219119,-0.389776,0.0513156,-14.4098,0.204844,0,0.40161,0
7.14,0.0107442,-0.0219119,0.354416,11.7502,-17.8462,-1.73784,0,0.695673,0
7.17,0.0997347,-0.0219119,1.17228,-4.03463,107.562,-5.67659,0,1.32128,0
7.29,0.222911,-0.0219119,2.56317,-128.595,669.439,52.9905,0,-25.1053,0
7.43,0.0926881,-0.0219119,2.51008,-27.1819,443.358,36.436,0,-10.1231,0
7.48,0.0444094,-0.0219119,2.46626,-18.9997,465.084,35.9338,0,-7.55168,0
7.53,-0.0192973,-0.0219119,2.46134,10.7231,521.309,40.3869,0,-4.65014,0
7.56,-0.0581324,-0.0219119,2.47602,31.3712,552.068,39.7023,0,-1.22839,0
7.6,-0.112572,-0.0219119,2.48304,61.3483,600.232,39.4231,0,3.51398,0
7.71,-0.224189,-0.0219119,2.12487,94.8952,330.101,18.2167,0,9.27997,0
7.77,-0.0652452,-0.0219119,0.507166,14.1328,22.9998,0.157397,0,1.31073,0
7.83,0.0198139,-0.0219119,-0.170025,-8.29649,-19.8673,-1.13754,0,-0.784066,0
7.9,-0.00699653,-0.0219119,0.0636003,4.37656,12.1047,0.785993,0,0.435041,0
7.95,-0.00408577,-0.0219119,0.0236731,-0.144241,-3.65255,-0.348248,0,-0.0290185,0
8,0.00426746,-0.0219119,-0.0375475,-1.60153,-3.66017,-0.206643,0,-0.140811,0
8.03,0.00206421,-0.0219119,-0.0155032,0.0179501,1.10246,0.123987,0,0.0124405,0
8.06,-0.00706212,-0.0219119,-0.384124,0.540451,-13.2512,0.176516,0,0.121785,0
8.1,-0.0165156,-0.0219119,0.121046,10.4797,-38.8512,-2.03079,0,1.63279,0
8.14,0.0719715,-0.0219119,1.15509,-3.60012,107.41,-3.41712,0,1.66711,0
8.21,0.230999,-0.0219119,2.55429,-124.65,584.55,33.0807,0,-26.1614,0
8.32,0.079981,-0.0219119,2.37424,-51.8906,520.323,54.2253,0,-19.7728,0
8.37,0.0476013,-0.0219119,2.45899,-14.1538,403.524,42.6396,0,-10.875,0
8.42,0.0152753,-0.0219119,2.46214,-13.4408,409.527,41.3998,0,-8.85935,0
8.45,-0.0107347,-0.0219119,2.43021,-10.6652,447.068,46.6232,0,-8.68853,0
8.48,-0.0433881,-0.0219119,2.41676,3.15599,495.109,54.5822,0,-7.27841,0
8.52,-0.0885588,-0.0219119,2.43149,31.9371,566.631,58.7975,0,-1.36798,0
8.56,-0.132649,-0.0219119,2.44588,62.2663,644.658,58.3144,0,4.95985,0
8.64,-0.277341,-0.0219119,2.79264,133.671,576.261,42.3827,0,16.0564,0
8.75,-0.0421915,-0.0219119,0.295665,2.6359,-10.6678,-2.49064,0,0.491788,0
8.83,0.0125054,-0.0219119,-0.0860373,-0.334662,6.68568,1.00716,0,-0.081842,0
8.88,-0.00942644,-0.0219119,0.0744679,3.82558,7.39592,0.491344,0,0.43915,0
8.91,-0.00678063,-0.0219119,0.0450154,0.548272,-2.62119,-0.457865,0,0.0987185,0
8.96,0.00417615,-0.0219119,-0.0362289,-1.82541,-4.07074,-0.2931,0,-0.202212,0
9,0.00218144,-0.0219119,-0.015495,0.198013,1.74389,0.241463,0,0.0129515,0
9.04,-0.0260921,-0.0219119,-0.227546,5.64836,-39.6158,0.862285,0,0.0308501,0
9.08,0.0309492,-0.0219119,0.617596,10.5297,21.4342,-4.75093,0,2.81421,0
9.19,0.222447,-0.0219119,2.66884,-127.33,614.161,19.4955,0,-10.5615,0
