time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,0.164751,-0.0232875,2.83425,-129.388,598.107,-16.7549,0,3.37866,0
1,0.0394747,-0.0215117,2.59981,-71.5281,588.057,-50.1724,0,3.99804,0
1.07,-0.0226441,-0.0222082,2.72727,-22.4329,471.461,-39.4773,0,-0.595257,0
1.12,-0.0643462,-0.0218191,2.70267,-12.9464,455.877,-44.6276,0,-1.63588,0
1.17,-0.107872,-0.0218616,2.68706,5.2108,500.449,-46.4225,0,-4.64831,0
1.2,-0.140088,-0.0219684,2.70218,23.7395,548.074,-43.4676,0,-7.61236,0
1.24,-0.183976,-0.0219796,2.71309,47.3407,605.832,-42.4229,0,-10.228,0
1.29,-0.24983,-0.0219161,2.70624,97.0782,650.579,-47.6415,0,-15.2171,0
1.32,-0.286111,-0.0219119,2.70282,128.817,608.782,-43.557,0,-17.0257,0
1.4,-0.225604,-0.0165272,1.7288,56.8425,171.176,-9.00236,0,-1.10597,0
1.49,0.0218769,0.000894302,-0.166678,-8.54366,-20.2748,1.0394,0,0.644499,0
1.56,-0.00572824,-3.52915e-05,0.0433128,4.30643,10.8942,-0.782305,0,-0.601944,0
1.62,-0.0039746,-0.000400211,0.0257044,-0.872426,-3.85819,0.485266,0,0.398387,0
1.67,0.00535499,0.000323434,-0.0409409,-1.24574,-2.57063,0.0555457,0,-0.0199109,0
1.7,0.00220319,0.000225947,-0.016862,0.36237,1.28085,-0.177104,0,-0.186928,0
1.74,-0.025392,0.00202673,-0.410527,-0.604766,-18.2199,-1.96559,0,0.451153,0
1.79,0.0203504,-0.00790436,0.370704,12.3927,-11.7165,4.28382,0,-0.342838,0
1.82,0.0795795,-0.0151968,1.23996,-6.71124,119.647,12.9031,0,-3.85238,0
1.93,0.121236,-0.0222637,2.7905,-126.041,643.214,-34.0758,0,-2.57578,0
2,0.027421,-0.0215117,2.58346,-66.2274,570.024,-45.4176,0,-0.460423,0
2.06,-0.0254697,-0.022245,2.70764,-32.7644,490.777,-43.0007,0,-0.884719,0
2.11,-0.0676695,-0.0218793,2.70146,-21.309,467.714,-42.6485,0,-1.26019,0
2.15,-0.109554,-0.0217895,2.67595,-5.5125,475.467,-41.8422,0,-2.5013,0
2.18,-0.143367,-0.0219034,2.68361,12.9187,500.424,-40.532,0,-5.02779,0
2.22,-0.188694,-0.0219921,2.70172,39.8667,553.595,-38.7874,0,-9.32183,0
2.25,-0.222145,-0.0219658,2.70248,58.2008,604.824,-40.8257,0,-11.3228,0
2.33,-0.389586,-0.0219119,3.11876,131.981,613.99,-33.5504,0,-12.2519,0
2.44,-0.0853838,-0.00665859,0.548913,8.79583,12.5942,1.35309,0,1.58353,0
2.55,-4.4481e-05,0.000351855,0.00476271,3.46014,12.0295,-0.780397,0,-0.539057,0
2.6,-0.0110538,-0.000656731,0.0682477,1.48847,0.705895,0.319369,0,0.180147,0
2.64,0.00206064,-2.11239e-05,-0.0174906,-1.82521,-6.02553,0.337592,0,0.211641,0
2.67,0.00602584,0.000323434,-0.0407081,-1.29538,-2.66733,-0.0120408,0,-0.0178519,0
2.7,0.00257779,0.000225947,-0.0167429,0.271296,1.55798,-0.17487,0,-0.134022,0
2.74,-0.0160826,0.000657166,-0.35578,0.249647,-24.178,-2.15804,0,0.764708,0
2.79,0.0175355,-0.0104361,0.655993,11.4699,10.4355,6.16083,0,-1.22558,0
2.83,0.0718004,-0.0192105,1.84396,-21.1296,206.646,11.273,0,-4.22673,0
2.9,0.113214,-0.0230414,2.84786,-118.598,570.994,-23.2093,0,0.324861,0
2.97,0.0168208,-0.0212552,2.60501,-80.7241,603.923,-51.127,0,3.28236,0
3.05,-0.066177,-0.022245,2.71911,-10.2124,481.654,-49.2382,0,-2.34866,0
3.11,-0.108516,-0.0218191,2.70291,-5.69562,454.974,-46.4458,0,-4.01676,0
3.15,-0.147438,-0.0218211,2.68483,7.37412,489.029,-46.6375,0,-6.08264,0
3.18,-0.18051,-0.0219404,2.69741,25.7614,538.776,-45.1526,0,-8.60946,0
3.22,-0.228028,-0.0219892,2.71336,53.1313,611.865,-46.1357,0,-11.7891,0
3.26,-0.278013,-0.0219363,2.71068,95.024,670.583,-52.4985,0,-15.8937,0
3.3,-0.3913,-0.0219119,3.1362,137.381,628.34,-48.6797,0,-15.5633,0
3.38,-0.199931,-0.0165272,1.41534,51.0522,142.344,-9.71525,0,-1.51065,0
3.49,0.0203913,0.0015082,-0.139889,-3.23844,-2.90905,-0.150465,0,-0.350597,0
3.55,-0.0122184,-0.000350342,0.0816883,4.05003,8.56953,-0.618955,0,-0.23297,0
3.59,-0.00404544,-0.000559519,0.0256213,-0.447716,-3.68413,0.483388,0,0.305668,0
3.63,0.00561122,0.000141667,-0.0397807,-1.93464,-4.65046,0.362959,0,0.128796,0
3.66,0.00387513,0.000333128,-0.0276641,-0.408283,-0.057404,-0.0776243,0,-0.104421,0
3.7,-0.00185284,0.00310665,0.0114453,0.989333,2.32194,-0.19585,0,-0.105333,0
3.73,-0.015549,-0.0011303,-0.240362,5.27582,-39.0506,-1.08322,0,0.612383,0
3.78,0.0483267,-0.0128919,0.940884,4.44783,55.9174,7.20944,0,-1.4645,0
3.84,0.149551,-0.0227385,2.50877,-85.7691,415.767,0.377306,0,-6.09975,0
3.89,0.140829,-0.0226722,2.82114,-139.14,630.103,-29.9234,0,-3.87527,0
3.94,0.067039,-0.0212476,2.6131,-105.155,636.794,-47.9558,0,-2.25968,0
4,-0.0130016,-0.0220536,2.63975,-34.4619,521.476,-45.562,0,-2.68462,0
4.05,-0.0602136,-0.0221378,2.71772,-16.138,460.096,-42.8874,0,-2.20391,0
4.09,-0.0869482,-0.0218191,2.69096,-12.3256,442.342,-42.2814,0,-1.83889,0
4.13,-0.118459,-0.0218211,2.6744,2.33137,464.471,-43.0281,0,-2.70507,0
4.16,-0.148123,-0.0219404,2.68835,22.0302,512.603,-43.4571,0,-5.21801,0
4.2,-0.194433,-0.0219892,2.70562,50.3224,593.178,-44.6189,0,-9.33208,0
