time,ground_pelvis_on_pelvis_in_ground_fx,ground_pelvis_on_pelvis_in_ground_fy,ground_pelvis_on_pelvis_in_ground_fz,ground_pelvis_on_pelvis_in_ground_mx,ground_pelvis_on_pelvis_in_ground_my,ground_pelvis_on_pelvis_in_ground_mz,hip_r_on_femur_r_in_ground_fx,hip_r_on_femur_r_in_ground_fy,hip_r_on_femur_r_in_ground_fz,hip_r_on_femur_r_in_ground_mx,hip_r_on_femur_r_in_ground_my,hip_r_on_femur_r_in_ground_mz,knee_r_on_tibia_r_in_ground_fx,knee_r_on_tibia_r_in_ground_fy,knee_r_on_tibia_r_in_ground_fz,knee_r_on_tibia_r_in_ground_mx,knee_r_on_tibia_r_in_ground_my,knee_r_on_tibia_r_in_ground_mz,ankle_r_on_talus_r_in_ground_fx,ankle_r_on_talus_r_in_ground_fy,ankle_r_on_talus_r_in_ground_fz,ankle_r_on_talus_r_in_ground_mx,ankle_r_on_talus_r_in_ground_my,ankle_r_on_talus_r_in_ground_mz,subtalar_r_on_calcn_r_in_ground_fx,subtalar_r_on_calcn_r_in_ground_fy,subtalar_r_on_calcn_r_in_ground_fz,subtalar_r_on_calcn_r_in_ground_mx,subtalar_r_on_calcn_r_in_ground_my,subtalar_r_on_calcn_r_in_ground_mz,mtp_r_on_toes_r_in_ground_fx,mtp_r_on_toes_r_in_ground_fy,mtp_r_on_toes_r_in_ground_fz,mtp_r_on_toes_r_in_ground_mx,mtp_r_on_toes_r_in_ground_my,mtp_r_on_toes_r_in_ground_mz,hip_l_on_femur_l_in_ground_fx,hip_l_on_femur_l_in_ground_fy,hip_l_on_femur_l_in_ground_fz,hip_l_on_femur_l_in_ground_mx,hip_l_on_femur_l_in_ground_my,hip_l_on_femur_l_in_ground_mz,knee_l_on_tibia_l_in_ground_fx,knee_l_on_tibia_l_in_ground_fy,knee_l_on_tibia_l_in_ground_fz,knee_l_on_tibia_l_in_ground_mx,knee_l_on_tibia_l_in_ground_my,knee_l_on_tibia_l_in_ground_mz,ankle_l_on_talus_l_in_ground_fx,ankle_l_on_talus_l_in_ground_fy,ankle_l_on_talus_l_in_ground_fz,ankle_l_on_talus_l_in_ground_mx,ankle_l_on_talus_l_in_ground_my,ankle_l_on_talus_l_in_ground_mz,subtalar_l_on_calcn_l_in_ground_fx,subtalar_l_on_calcn_l_in_ground_fy,subtalar_l_on_calcn_l_in_ground_fz,subtalar_l_on_calcn_l_in_ground_mx,subtalar_l_on_calcn_l_in_ground_my,subtalar_l_on_calcn_l_in_ground_mz,mtp_l_on_toes_l_in_ground_fx,mtp_l_on_toes_l_in_ground_fy,mtp_l_on_toes_l_in_ground_fz,mtp_l_on_toes_l_in_ground_mx,mtp_l_on_toes_l_in_ground_my,mtp_l_on_toes_l_in_ground_mz,back_on_torso_in_ground_fx,back_on_torso_in_ground_fy,back_on_torso_in_ground_fz,back_on_torso_in_ground_mx,back_on_torso_in_ground_my,back_on_torso_in_ground_mz,acromial_r_on_humerus_r_in_ground_fx,acromial_r_on_humerus_r_in_ground_fy,acromial_r_on_humerus_r_in_ground_fz,acromial_r_on_humerus_r_in_ground_mx,acromial_r_on_humerus_r_in_ground_my,acromial_r_on_humerus_r_in_ground_mz,elbow_r_on_ulna_r_in_ground_fx,elbow_r_on_ulna_r_in_ground_fy,elbow_r_on_ulna_r_in_ground_fz,elbow_r_on_ulna_r_in_ground_mx,elbow_r_on_ulna_r_in_ground_my,elbow_r_on_ulna_r_in_ground_mz,radioulnar_r_on_radius_r_in_ground_fx,radioulnar_r_on_radius_r_in_ground_fy,radioulnar_r_on_radius_r_in_ground_fz,radioulnar_r_on_radius_r_in_ground_mx,radioulnar_r_on_radius_r_in_ground_my,radioulnar_r_on_radius_r_in_ground_mz,radius_hand_r_on_hand_r_in_ground_fx,radius_hand_r_on_hand_r_in_ground_fy,radius_hand_r_on_hand_r_in_ground_fz,radius_hand_r_on_hand_r_in_ground_mx,radius_hand_r_on_hand_r_in_ground_my,radius_hand_r_on_hand_r_in_ground_mz,acromial_l_on_humerus_l_in_ground_fx,acromial_l_on_humerus_l_in_ground_fy,acromial_l_on_humerus_l_in_ground_fz,acromial_l_on_humerus_l_in_ground_mx,acromial_l_on_humerus_l_in_ground_my,acromial_l_on_humerus_l_in_ground_mz,elbow_l_on_ulna_l_in_ground_fx,elbow_l_on_ulna_l_in_ground_fy,elbow_l_on_ulna_l_in_ground_fz,elbow_l_on_ulna_l_in_ground_mx,elbow_l_on_ulna_l_in_ground_my,elbow_l_on_ulna_l_in_ground_mz,radioulnar_l_on_radius_l_in_ground_fx,radioulnar_l_on_radius_l_in_ground_fy,radioulnar_l_on_radius_l_in_ground_fz,radioulnar_l_on_radius_l_in_ground_mx,radioulnar_l_on_radius_l_in_ground_my,radioulnar_l_on_radius_l_in_ground_mz,radius_hand_l_on_hand_l_in_ground_fx,radius_hand_l_on_hand_l_in_ground_fy,radius_hand_l_on_hand_l_in_ground_fz,radius_hand_l_on_hand_l_in_ground_mx,radius_hand_l_on_hand_l_in_ground_my,radius_hand_l_on_hand_l_in_ground_mz
0.9,-9.9476e-14,8.52651e-14,5.32907e-14,1.42109e-14,8.88178e-15,7.10543e-15,-531.246,-1714.34,69.9746,-1.20423e-13,2.40186e-14,-2.39479e-14,-529.748,-1797.5,-6.5482,-15.0795,15.1028,-1.00042,-816.259,-2500.86,30.2437,9.54229,2.39902,3.84788,-815.989,-2500.69,30.5976,17.8175,-1.31329,-103.647,137.404,-42.3631,75.5247,-0.74773,-1.2043,1.4548,698.324,-1417.27,-1671.21,-2.82729e-13,-4.6988e-14,-3.19794e-14,71.683,-486.222,-39.2255,-107.63,-1.06324,12.7134,917.95,-2553.34,-269.381,-71.6426,15.1252,10.8652,918.137,-2555.47,-267.742,-73.7267,30.0845,-135.089,421.661,-43.7065,-124.267,1.13623,2.73178,1.54021,-107.902,414.275,144.918,5.84914e-13,-1.6725e-14,-2.4209e-13,-11.9698,28.8113,-0.965632,6.84391e-16,-6.12463e-16,-8.76375e-16,-7.2077,9.26231,-0.866457,0.0634971,0.0915252,-0.108249,-5.41886,4.86488,0.210933,-0.00531957,0.111272,-0.329556,-2.97021,0.937163,1.04075,-0.051714,-0.00628501,-0.116486,-2.06486,-4.61826,3.75639,1.53391e-15,-1.81483e-16,1.4109e-16,-0.645863,-1.5956,-1.57771,0.375875,-0.0415405,-0.067006,-0.520841,-1.04426,-1.04199,0.264469,-0.0166813,-0.0435414,-0.0610172,-0.377492,-0.790144,0.0608422,-0.00980205,0.0019835
0.96,1.42109e-14,2.55795e-13,-1.77636e-14,2.13163e-14,2.66454e-15,-1.77636e-14,-526.281,-1027.34,400.96,7.88233e-14,-1.84838e-14,-1.5467e-14,-262.489,-1013.2,-19.5952,37.374,0.523083,6.25469,-837.841,-2119.97,52.8309,22.3059,1.05329,7.46412,-839.034,-2121.92,53.9055,24.2538,-2.23242,-96.278,184.021,-103.385,86.6582,-1.00887,-0.854335,1.46876,10.8408,-1557.05,-371.995,3.91364e-14,2.31246e-14,-2.08948e-15,239.261,-795.169,-3.47813,40.0418,2.76709,-4.13455,404.949,-996.994,-46.3235,18.8504,-2.94184,-3.23901,404.107,-997.152,-45.4022,20.1797,0.424775,-63.4049,229.018,-64.3818,-62.1178,-0.488946,-2.36384,-2.06978,32.9772,612.817,-145.979,7.54072e-15,-8.09409e-17,-7.83735e-15,-7.03656,23.2093,-4.92007,-1.31189e-15,-7.52103e-16,-1.94284e-16,-5.81935,7.80046,0.403215,-0.0281807,-0.0212025,0.0321117,-4.16046,4.47332,0.736064,-0.0160165,0.0263501,-0.122903,-2.23356,1.186,0.934157,-0.0363941,-0.00887368,-0.0629338,18.0293,39.2974,0.656267,-1.74488e-15,-3.39917e-16,1.62246e-15,5.43229,15.2942,3.70197,-0.590466,0.0840668,0.117352,2.26104,9.5657,2.4741,-0.319768,0.0775084,-0.206991,-0.998937,4.05669,1.65256,-0.0886577,0.0396569,-0.136337
1.02,-3.55271e-15,-1.98952e-13,-4.26326e-14,0,1.24345e-14,1.77636e-14,-607.568,-2582.06,604.941,-1.58901e-13,-1.64792e-14,2.72998e-14,-335.234,-1085.25,-13.9769,-88.8446,12.8017,-3.82162,-200.68,-2203.76,-11.7344,-42.5974,12.9367,-12.0099,-201.908,-2202.46,-11.2107,-47.0721,14.1189,-140.973,204.499,-246.348,92.5872,3.54018,2.76047,-1.78961,126.378,-1522.63,-625.316,-5.44989e-14,-3.38505e-14,-3.42141e-14,200.903,-995.002,18.3004,26.7046,2.5206,-3.09337,301.974,-993.427,-26.2828,8.47831,1.11032,-1.7987,301.149,-995.648,-26.2113,11.097,3.53148,-58.6291,147.479,-45.1288,-32.8508,-0.320105,-1.65668,-1.44506,-100.392,398.127,107.813,-2.69952e-15,-1.65432e-14,1.42683e-13,-7.82916,27.469,-1.51398,3.82061e-15,5.83059e-16,-8.9741e-16,-5.58075,9.68229,-0.874594,0.0543345,0.0634763,-0.063794,-4.57686,5.40312,0.0591204,0.0310275,0.103241,-0.28123,-2.8997,1.33754,0.841017,-0.0390121,0.00269318,-0.113297,0.514843,1.68039,3.26371,-4.67546e-15,5.72281e-16,-1.04411e-15,0.276608,0.991765,-0.750338,0.220607,-0.00473057,-0.0363497,-0.126319,0.623876,-0.467021,0.167571,0.0125131,-0.072147,-0.241268,0.39838,-0.370913,0.0360688,0.00147514,-0.021127
1.09,3.55271e-15,-1.59872e-14,7.10543e-15,0,0,-5.32907e-15,9.66691,-765.015,667.67,-2.25335e-14,3.30026e-15,1.98019e-14,17.6568,-239.943,17.7003,32.8433,-6.94788,4.19389,-603.253,-881.847,63.509,22.0566,0.11126,6.76004,-603.783,-881.699,62.8575,20.2472,-2.78888,-50.7986,117.607,-207.824,73.8071,-1.64827,-0.486251,1.03069,51.8781,-932.64,-165.147,2.25517e-15,5.29704e-16,-1.30186e-14,200.611,-1128.32,23.5033,-8.70242,-0.997118,-1.07539,160.923,-1211.9,-76.9766,-22.2137,6.71,2.68485,161.262,-1212.78,-76.6847,-20.7049,10.9181,-59.6211,131.773,-28.884,-36.0987,0.407064,0.799059,0.525849,29.1437,484.964,-3.72283,-1.01377e-14,1.54892e-15,-3.57111e-14,-4.49612,30.7214,-3.41004,2.91218e-16,1.07268e-16,-7.72835e-16,-5.90554,12.4393,-0.904252,0.0544731,0.0385402,-0.045872,-4.78013,7.60616,-0.212261,0.126299,0.11116,-0.233192,-3.12295,2.78163,0.439848,-0.0044083,0.0134942,-0.100534,9.9579,27.4951,3.8338,-8.7331e-17,2.22128e-17,-4.09351e-16,1.71995,11.1376,2.15995,-0.198871,0.00361777,0.0219703,0.0361799,6.80275,1.33676,-0.0478691,0.0454866,-0.213469,-1.5179,2.78583,0.679992,-0.0191143,0.0227753,-0.114478
1.15,3.55271e-15,-2.84217e-14,-2.57572e-14,1.77636e-15,0,-1.77636e-15,-98.6987,-607.433,161.428,-2.30984e-14,1.42609e-15,1.06295e-14,53.3178,-319.213,1.83644,-15.7782,3.1244,-1.23743,-73.9017,-329.829,-4.20704,-11.9339,4.25648,-4.13337,-75.3694,-329.608,-4.26691,-11.629,4.43059,-23.4861,26.7626,-49.4535,14.4091,0.677364,0.517307,-0.682306,-98.5593,-1915.47,-527.711,1.22167e-14,5.87199e-17,-1.2737e-14,65.7736,-1239.54,39.1169,32.0514,0.819433,-2.69979,121.302,-790.473,-22.7945,10.1581,1.64863,-2.1061,121.298,-791.364,-23.0162,12.3388,3.21164,-43.6439,42.1066,-10.5829,-8.7965,-0.109746,-0.394056,-0.214762,19.4437,566.198,-3.80586,1.6082e-14,-4.90645e-16,-3.49944e-14,-2.90921,32.3162,-3.77831,-2.52354e-16,-1.62538e-16,-2.38364e-16,-4.82705,14.3401,-1.71679,0.0597104,0.023169,-0.0401304,-3.95857,9.08382,-0.917499,0.194401,0.0883116,-0.194041,-2.70774,3.76606,-0.0971157,0.0199692,0.0116265,-0.0870765,7.97649,30.0792,5.06195,1.53978e-16,-1.77574e-17,-4.29612e-16,0.417226,11.9468,2.68187,-0.219771,-0.0209409,0.00779912,-0.858603,7.16423,1.56301,-0.0429282,0.0490415,-0.238108,-2.06221,2.73604,0.653944,-0.0144767,0.0258025,-0.12799
1.2,1.42109e-14,-8.52651e-14,-1.42109e-14,-7.21645e-16,2.66454e-15,3.55271e-15,-54.4534,-543.454,165.763,9.66491e-15,3.43501e-15,6.29762e-15,75.6931,-264.025,26.3313,-6.3522,4.43593,-0.163872,-7.3681,-276.897,12.6347,3.52995,1.0558,1.41954,-8.24832,-277.129,11.7468,4.49236,0.326465,-14.4958,37.5434,-32.2989,18.5877,0.431878,0.402377,-0.157833,-163.035,-1719.86,-475.332,-6.40123e-15,2.98135e-16,-1.13261e-15,-3.41907,-1147.85,12.1916,17.4795,0.995924,-2.40763,75.6851,-707.141,-36.196,-11.8485,4.43518,1.20287,76.5254,-707.851,-36.0318,-10.4593,6.36891,-35.748,27.6399,15.3782,-9.42766,-0.270729,0.207677,1.31467,24.5844,505.824,-3.44861,-4.27641e-15,7.78063e-15,-3.3766e-17,-1.08334,27.1698,-3.27541,-1.98592e-16,-7.20603e-17,-9.93143e-17,-2.95344,12.8824,-2.05595,0.0644635,0.0103153,-0.0365988,-2.45045,8.34576,-1.32599,0.216317,0.0531993,-0.12852,-1.7489,3.72633,-0.532338,0.0368802,0.00647963,-0.0589373,4.76918,26.2235,5.02599,-2.08861e-16,-8.74316e-17,2.83667e-16,-0.939389,10.405,2.56718,-0.193252,-0.04007,-0.00485002,-1.53279,6.17141,1.44482,-0.0310241,0.0430263,-0.209288,-2.11047,2.23923,0.522398,-0.00875429,0.0237228,-0.11216
1.23,7.10543e-15,2.84217e-14,-3.55271e-15,-3.33067e-16,-4.44089e-16,-3.55271e-15,14.3399,-411.407,159.576,5.82485e-16,-1.94428e-15,1.02712e-15,66.5502,-232.52,32.032,0.723381,1.48248,1.5574,-17.9335,-202.449,15.3118,8.4453,-1.8581,3.0831,-18.3097,-203.027,14.1785,9.60857,-2.76527,-7.85199,44.2074,-25.0129,22.7432,0.00735362,0.0241576,0.152635,-176.492,-1460.83,-351.838,-3.48877e-15,-1.24176e-16,1.4885e-15,-49.2857,-1181.59,9.46868,9.71255,1.83339,-1.60592,-22.8911,-911.433,-42.754,-15.4599,7.54827,1.34237,-21.829,-912.239,-42.669,-13.7446,9.43577,-42.2397,72.6016,8.05789,-21.8673,-0.0785482,0.718281,1.87988,20.6843,485.034,13.8571,-2.71688e-15,2.36304e-17,-2.61967e-15,-0.283027,25.2357,-3.02674,3.89707e-16,9.31147e-18,2.15961e-17,-2.03366,12.1684,-2.25996,0.0744598,0.00376091,-0.0384791,-1.70563,7.91916,-1.53809,0.229449,0.0345349,-0.101146,-1.25471,3.6008,-0.740853,0.0448453,0.0028075,-0.0461683,2.90329,23.2409,4.81627,1.39746e-16,-2.74354e-17,-9.03572e-17,-1.48371,9.09464,2.3365,-0.166789,-0.0458661,-0.0102659,-1.75695,5.34417,1.28641,-0.0224941,0.0398338,-0.188039,-2.03478,1.86429,0.420012,-0.0055408,0.0221863,-0.100435
1.27,0,-8.52651e-14,7.10543e-15,2.22045e-16,-1.11022e-15,4.44089e-15,10.8305,-227.191,81.2751,1.99615e-15,7.24967e-16,3.22972e-16,60.7631,-204.633,19.6747,0.0593193,-0.162863,1.62552,-7.4345,-151.228,9.33917,2.72788,-1.45512,0.828258,-7.35876,-152.456,8.70137,3.86571,-1.97062,-6.52507,31.8535,-10.968,16.1193,-0.0248495,-0.0443446,-0.00817259,-229.616,-1548.22,-344.481,5.93182e-15,-8.50039e-16,1.65433e-15,-146.226,-1441.95,18.3534,13.6325,4.02454,-0.348986,-143.223,-1390.83,-23.9425,-8.88086,9.94958,-0.132665,-142.389,-1391.68,-24.0084,-5.64599,10.6649,-62.5971,87.2344,-2.43953,-24.34,0.0993402,0.804925,1.55704,18.558,456.784,22.0835,2.30549e-15,-2.91827e-15,1.39647e-14,0.67565,26.1065,-3.24119,-1.49764e-16,-1.51095e-17,9.90109e-17,-1.05156,12.4596,-2.68278,0.0814665,-0.00606565,-0.0374603,-0.931296,8.06947,-1.86484,0.249534,0.0111413,-0.0744317,-0.751361,3.645,-0.975251,0.0529966,-0.00261194,-0.034667,1.3835,23.652,5.24526,-2.12041e-16,-1.05981e-16,2.31283e-16,-2.29095,8.84772,2.40072,-0.164778,-0.0607143,-0.0185651,-2.22428,5.10498,1.27298,-0.0193713,0.0404276,-0.191171,-2.20517,1.6267,0.342739,-0.00332253,0.0235269,-0.102184
1.31,-7.10543e-15,-7.10543e-15,8.88178e-15,8.88178e-16,0,1.24345e-14,21.7279,-396.294,122.093,-4.89898e-15,2.46376e-15,-1.10809e-14,55.5864,-235.163,18.2859,-7.86597,1.09394,-0.344368,24.4764,-141.276,12.3169,-3.00055,0.866687,-0.982373,25.229,-142.382,11.8632,-1.62275,0.489296,-8.02916,32.1782,-6.79068,16.4738,0.083642,0.192049,-0.242924,-299.483,-1703.58,-411.993,-9.73486e-15,-2.13257e-15,-8.50523e-15,-258.144,-1697.91,25.5076,19.6996,5.1768,0.0864669,-250.414,-1767.55,-6.64836,-5.67715,11.5496,-0.879904,-249.885,-1768.65,-6.72464,-1.84967,11.2827,-78.4972,77.0318,0.899798,-21.4568,0.102324,0.847563,1.53946,-31.1092,436.855,23.1937,-8.99485e-16,4.28737e-15,-4.88711e-14,0.889909,21.8526,-2.97066,1.91914e-17,-1.86595e-17,-6.85321e-17,0.0452801,10.3915,-2.41111,0.0352487,-0.00714353,-0.0142743,-0.119329,6.71775,-1.64425,0.181518,-0.00658706,-0.0348566,-0.266315,3.01754,-0.834469,0.0387869,-0.00541382,-0.0213091,-0.540547,19.7363,4.67713,-2.2417e-16,-7.89282e-17,9.56457e-16,-2.27452,6.98056,1.97771,-0.130008,-0.058436,-0.0218035,-2.07393,3.92363,0.996138,-0.0115359,0.0366844,-0.167103,-1.9384,1.09827,0.188711,-0.000256436,0.021744,-0.0891975
1.35,1.42109e-14,-1.06581e-13,7.10543e-15,-1.38778e-15,0,0,103.468,-538.45,165.136,2.19016e-14,7.0755e-15,-2.04531e-14,85.8612,-316.413,21.3467,-6.47627,-0.0199205,-0.38768,43.3132,-148.832,13.1378,-1.16129,0.62821,-0.254778,44.5046,-149.35,12.704,0.333357,0.379699,-7.72927,31.3831,-1.92819,15.8494,0.0354439,0.20787,-0.20495,-336.068,-1646.62,-383.863,4.91322e-15,-2.33395e-15,-1.52323e-14,-338.9,-1716.71,20.4012,19.9512,4.34098,-0.0558058,-332.932,-1840.36,-15.9977,-7.43702,12.4265,-0.346433,-331.997,-1841.63,-16.2388,-4.87936,12.5267,-80.8465,92.1667,12.3852,-30.4603,0.0495341,1.14047,2.62783,-74.6108,398.83,3.96899,-6.55576e-15,-4.34664e-15,9.65752e-14,0.588944,15.6002,-2.66125,6.21892e-16,-1.32918e-16,3.7351e-16,0.704874,7.4354,-1.67743,-0.04091,0.00603811,0.0162582,0.372171,4.82277,-1.08267,0.0710856,-0.00545508,0.00106288,0.0403942,2.16912,-0.474807,0.0138899,-0.00307766,-0.0100114,-1.78888,16.1175,3.694,1.45613e-15,2.93378e-16,-7.54304e-17,-1.97847,5.293,1.63208,-0.112337,-0.0611912,-0.0248188,-1.75179,2.88545,0.780404,-0.0143468,0.0252585,-0.144895,-1.61833,0.652681,0.0927955,-0.000154085,0.0182077,-0.0773766
