time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,3.80601,-109.081,25.9179,-12.2885,-23.3508,17.2622,31.1939,-32.524,14.0795,1.47875,-70.8448,28.1567,0.0121508,-20.8211,99.9412,-47.5715,-14.0925,-10.8249,80.9394,0.0397614,-1.27768,-5.37593,-8.88586,-0.187537,-1.51944,-0.0393656,-0.143304,-0.00724895,-0.0348297,0.0748351,2.26366,-2.16566,-0.162947,-1.9514,-0.056017,-0.124315,-0.208265
0.96,16.0725,62.5755,-3.57053,-9.78142,-43.7574,16.488,41.1217,21.0171,7.56704,14.008,-45.6405,42.5678,0.0200625,-12.2651,-38.826,8.14492,17.0429,16.4596,-29.4563,0.0484953,1.42319,-0.33841,-7.29827,0.430952,-1.93077,-0.27161,0.106096,-0.0173843,-0.0426144,0.015789,1.55755,-2.46388,-0.229701,-1.76913,-0.0562141,-0.147568,-0.186554
1.02,-3.10896,-77.9406,32.4264,33.4666,-13.8234,0.361226,6.98135,-95.2976,12.9376,8.45853,10.508,-94.6663,0.0850916,-11.0409,-46.4765,2.52068,26.0031,12.768,-18.772,0.0347936,1.13304,2.86132,-6.19637,0.999006,-2.42992,-0.445675,0.147433,-0.0223914,-0.0653965,-0.0134713,0.92323,-2.32445,-0.229889,-1.34847,-0.0438256,-0.129357,-0.124287
1.09,17.6422,8.84109,-6.153,24.1036,-35.8054,6.11081,19.2167,35.4884,-19.4421,5.67494,-4.38512,38.2831,0.10296,1.01392,-11.8347,-5.00016,28.1171,1.3282,23.9431,0.0223176,3.28061,7.14588,-1.60604,1.59564,-2.41823,-0.392096,0.491304,-0.0356602,-0.028789,-0.0654648,0.542534,-0.922586,-0.102834,-1.16123,-0.034683,-0.0619307,-0.107
1.15,18.6688,6.43449,13.1282,3.59835,-46.4173,14.4787,8.84451,-18.5754,11.4379,7.74847,5.01602,-19.4767,0.0576083,5.74001,-58.3122,2.21734,25.3921,0.54928,-15.0761,0.0292945,9.0562,9.73564,2.22759,1.86411,-1.64824,-0.239607,0.714448,-0.0271116,0.0111209,-0.0936648,-0.0220481,-0.24319,-0.0403294,-1.1001,-0.0360749,-0.0400016,-0.105458
1.2,9.98083,-4.90891,8.27571,12.0644,-18.9457,12.3986,4.64444,-6.53127,2.90141,-0.290988,0.861094,-0.839568,0.0342835,10.1042,-35.152,-1.39213,17.617,-12.8115,6.45762,0.0301122,3.92865,5.54675,3.36641,2.4154,-1.31152,-0.175958,0.825171,-0.0211063,0.0226643,-0.113101,-0.592504,-0.163716,0.0118655,-0.858307,-0.0272093,-0.018349,-0.0767985
1.23,7.17048,-2.26359,4.88593,18.2893,-5.98542,12.1465,2.85771,1.1537,-4.27121,-4.49914,-1.87568,8.27981,0.0332662,13.2352,-28.786,-2.78751,12.279,-23.9982,13.5884,0.0277161,0.505809,5.49285,4.0302,2.45338,-0.966739,-0.10769,0.890491,-0.0171361,0.0449889,-0.121476,-0.906946,-0.0243793,0.0567912,-0.718839,-0.0214345,-0.00132781,-0.060473
1.27,11.7771,1.91593,5.95614,15.73,4.73871,14.7807,0.457199,-3.0244,-1.03139,-7.55633,-0.472685,3.25121,0.0356802,17.3257,-37.843,-5.04927,6.33178,-38.3432,8.88576,0.0230035,2.16055,9.23918,4.31781,2.43686,-0.69209,-0.057216,0.977703,-0.0179886,0.0645409,-0.139715,-1.1832,-0.0331569,0.0761004,-0.61188,-0.0169768,0.00796086,-0.0422482
1.31,2.06936,0.12255,7.61798,-8.44033,-0.293738,12.6794,-11.8607,-8.73747,4.62613,-11.6785,1.7124,-2.14083,0.0269483,19.4436,-44.8815,-7.10512,0.200062,-52.6411,5.7194,0.0209901,3.18497,8.35033,6.11036,2.81346,-0.698183,-0.0301158,1.02921,-0.0198437,0.057738,-0.150053,-1.24735,-0.00783192,0.062439,-0.612274,-0.0217411,0.00654024,-0.0405645
1.35,-9.32365,4.21975,3.1261,-19.7247,-26.9618,-1.8789,-28.3342,-1.46443,2.58496,-18.71,0.361787,-0.463521,-0.000505593,23.1852,-42.8251,-6.17558,-3.53743,-63.3952,9.73061,0.0198348,4.43999,6.30676,5.3415,3.54138,-1.11258,-0.0672811,1.16801,-0.0342285,0.0312629,-0.183987,-1.30712,-0.735156,0.00915404,-0.536582,-0.0154605,-0.00138161,-0.0203995
