time,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l,pelvis_tilt_reserve,pelvis_list_reserve,pelvis_rotation_reserve,pelvis_tx_reserve,pelvis_ty_reserve,pelvis_tz_reserve,hip_flexion_r_reserve,hip_adduction_r_reserve,hip_rotation_r_reserve,knee_angle_r_reserve,ankle_angle_r_reserve,subtalar_angle_r_reserve,mtp_angle_r_reserve,hip_flexion_l_reserve,hip_adduction_l_reserve,hip_rotation_l_reserve,knee_angle_l_reserve,ankle_angle_l_reserve,subtalar_angle_l_reserve,mtp_angle_l_reserve,lumbar_extension_reserve,lumbar_bending_reserve,lumbar_rotation_reserve,arm_flex_r_reserve,arm_add_r_reserve,arm_rot_r_reserve,elbow_flex_r_reserve,pro_sup_r_reserve,wrist_flex_r_reserve,wrist_dev_r_reserve,arm_flex_l_reserve,arm_add_l_reserve,arm_rot_l_reserve,elbow_flex_l_reserve,pro_sup_l_reserve,wrist_flex_l_reserve,wrist_dev_l_reserve
0.9,213.701,0.832143,0.367273,69.5768,42.8869,1.25471,0.422252,0.277972,0.295237,22.8545,97.1868,0.277267,0.219545,0.209359,0.215233,0.274275,152.193,0.553068,0.206274,0.447598,0.554904,0.159093,207.644,188.822,0.325592,0.448766,0.429712,330.926,1.46077,1.45568,1.54597,499.429,216.561,826.742,413.143,79.577,80.4392,1.11194,0.360782,0.415795,0.344497,0.348373,0.579403,0.143244,0.408765,157.368,0.17115,0.231302,0.629992,26.1292,49.3548,116.238,12.188,0.823911,386.646,242.31,242.951,166.841,59.7118,0.387349,93.7771,105.118,21.22,50.9895,308.035,31.0096,78.3422,327.665,107.704,157.85,4.02907,3.72412,3.59883,3.7723,74.7523,109.105,243.457,1219.18,213.702,179.759,606.49,0.103236,0.105794,0.143378,0.292141,55.9782,4.00532,124.776,54.4673,2.21188,0.734036,84.7444,3.80601,-109.081,25.9179,-12.2885,-23.3508,17.2622,6.43451,-10.2706,8.89359,-0.836696,-4.53327,12.3701,0.897315,3.21396,9.7048,-21.8146,-1.45107,-0.23426,42.0584,1.90367,2.39642,-2.24838,-2.39172,-0.187537,-1.51944,-0.0393656,-0.143304,-0.00724895,-0.0348297,0.0748351,2.26366,-2.16566,-0.162947,-1.9514,-0.056017,-0.124315,-0.208265
0.96,0.315269,0.206346,0.236993,2.24068,0.66931,0.273152,0.278979,0.325902,0.330087,2.90713,21.3464,195.965,77.5892,57.5798,32.4396,1.82239,41.8568,46.398,3.80315,0.229585,0.290921,0.945079,248.256,249.871,5.48771,1.48728,0.389149,267.818,44.7562,46.8746,58.655,229.038,129.417,682.78,611.319,121.794,108.512,157.31,0.123243,0.129057,0.184098,0.235749,0.0258297,342.681,172.501,91.7087,94.6886,89.7435,69.2545,4.28435,1.08546,1.84571,7.85227,42.7085,0.0681683,0.0856933,0.0992874,0.103656,0.46906,75.6144,0.175207,0.241285,98.1164,89.1004,0.141187,0.399768,0.340604,0.162742,1.0934,28.1969,116.673,69.0119,76.6087,89.7788,0.174499,0.148747,0.118302,0.102726,0.145101,0.159044,20.6248,185.832,215.592,98.0354,217.849,26.9846,28.8912,146.327,58.6191,0.749831,0.81332,38.0586,16.0725,62.5755,-3.57053,-9.78142,-43.7574,16.488,6.906,2.67325,5.28544,0.446685,-2.55072,22.0715,1.30474,-3.02998,-10.4994,3.22016,-0.227691,7.2785,-14.6139,-1.22718,0.573562,0.0967643,-2.42171,0.430952,-1.93077,-0.27161,0.106096,-0.0173843,-0.0426144,0.015789,1.55755,-2.46388,-0.229701,-1.76913,-0.0562141,-0.147568,-0.186554
1.02,731.368,272.252,76.7824,211.698,192.722,142.78,0.189973,0.0881082,0.0894921,131.382,223.579,0.0603367,0.0573474,0.0547416,0.0575642,0.0726854,323.648,0.116306,0.0713959,29.5354,1.13925,0.048992,83.0585,44.5693,0.122577,0.261302,3.24592,379.236,0.437259,0.419191,0.416844,0.135068,0.0815424,0.308228,0.115591,0.120121,0.144145,0.23829,554.916,1109.03,175.958,329.137,1.06425,343.098,195.978,146.242,86.8223,92.726,92.9921,0.758364,0.354497,0.551457,0.788826,49.6075,0.122641,0.128466,0.132024,0.149287,0.27792,97.2462,0.220482,0.139818,123.765,106.394,0.201073,0.431992,0.570898,0.275674,0.733553,50.0761,185.493,78.6246,88.4631,113.812,0.362033,0.328578,0.370657,0.411933,0.423748,0.428162,69.7778,97.4315,186.69,55.1454,139.557,18.4618,31.0927,102.281,60.9603,2.23503,0.0273618,42.7845,-3.10896,-77.9406,32.4264,33.4666,-13.8234,0.361226,3.12378,-28.6541,6.72647,-5.67704,2.82619,-43.7079,-1.60559,-0.544111,-13.6034,2.30113,2.42049,4.95036,-9.50207,-0.785796,2.11171,1.99702,-1.66038,0.999006,-2.42992,-0.445675,0.147433,-0.0223914,-0.0653965,-0.0134713,0.92323,-2.32445,-0.229889,-1.34847,-0.0438256,-0.129357,-0.124287
1.09,0.141275,3.01954,69.0926,0.580736,1.27359,6.24921,2.46253,3.8429,4.07172,6.56282,7.08714,164.879,88.9616,87.3147,53.6823,6.00282,0.189893,40.9069,47.4602,2.13287,3.4879,69.451,111.973,123.28,144.539,48.2935,80.0209,153.956,7.22949,7.39776,7.44492,5.7245,42.4236,86.4657,501.181,124.799,105.268,219.382,0.159963,0.0804941,0.255324,0.184768,21.2606,47.1411,39.8384,51.3279,11.3752,14.0748,18.7235,1.76498,1.3748,1.87019,3.11463,14.1646,0.333622,0.4753,0.532327,0.908102,1.49853,34.8136,2.94613,0.690609,24.0421,22.9021,0.538158,7.44673,7.64663,3.8702,5.39947,26.3005,178.053,107.237,119.719,150.104,2.64392,5.77315,41.6548,292.777,68.7604,57.8869,176.996,0.238724,0.204482,0.494659,1.3659,14.6629,103.314,43.455,46.1868,1.3261,2.90502,2.7108,17.6422,8.84109,-6.153,24.1036,-35.8054,6.11081,7.90157,4.9834,-9.50196,2.32922,-0.745687,21.9848,1.26135,-1.65018,-3.65207,-2.66669,1.26302,0.052371,14.1004,0.635833,0.633406,0.979751,-0.539187,1.59564,-2.41823,-0.392096,0.491304,-0.0356602,-0.028789,-0.0654648,0.542534,-0.922586,-0.102834,-1.16123,-0.034683,-0.0619307,-0.107
1.15,132.258,44.8341,5.01611,69.1876,51.8894,27.8744,1.90624,1.63205,1.82141,6.33641,39.0399,0.336695,0.23917,0.325105,0.310961,1.72014,63.5282,1.61285,0.276618,4.12944,3.27971,0.262462,65.0874,60.5629,0.270113,1.28202,3.31387,157.225,19.9965,21.1671,21.9564,3.3702,3.2416,2.64222,31.6436,0.267119,0.554624,0.02502,115.698,82.3576,30.4685,55.5008,0.50387,335.993,185.859,119.97,113.033,115.15,105.33,1.06967,0.619266,0.865741,7.70088,94.3554,0.217613,0.179742,0.186876,0.253278,0.518123,163.842,0.584961,0.22951,63.1446,28.6587,0.287584,14.9319,8.95634,0.739376,2.0469,47.6701,284.163,45.3361,51.8542,79.6139,4.95128,5.10925,11.16,7.54223,0.989665,2.04273,0.280844,74.1335,109.133,19.056,37.2118,4.95686,209.013,38.0594,19.2041,1.27921,4.01579,1.18429,18.6688,6.43449,13.1282,3.59835,-46.4173,14.4787,0.100018,-5.87145,6.35399,0.809616,3.64107,-13.5569,-0.225187,5.08818,-21.0326,2.01463,1.7885,0.677635,-9.72393,-0.174426,1.74331,2.04465,1.06453,1.86411,-1.64824,-0.239607,0.714448,-0.0271116,0.0111209,-0.0936648,-0.0220481,-0.24319,-0.0403294,-1.1001,-0.0360749,-0.0400016,-0.105458
1.2,120.771,40.8301,6.72162,54.5369,41.6512,23.8185,7.21805,8.17223,6.58652,12.1758,30.5127,1.67231,1.71946,2.07195,1.96933,3.35203,48.1848,2.57384,6.59672,5.62222,4.89113,3.11155,60.5567,56.528,1.83496,2.4025,4.6979,139.977,12.5401,13.2373,14.4365,6.02583,5.96051,3.81744,34.7896,1.52321,1.76461,1.65198,95.6529,71.5533,20.2056,47.7616,1.12656,311.897,163.174,104.266,95.0504,96.1626,87.6006,1.08944,0.805891,0.869359,11.1494,86.3308,2.06979,1.39554,1.07189,0.75801,0.656385,146.148,1.93716,1.18522,45.0863,14.7279,0.49847,26.7105,19.7903,1.78248,3.02656,40.808,278.622,36.4375,42.3133,70.0328,23.944,24.9327,31.6986,20.0614,5.03682,8.17135,0.552287,52.9764,92.2089,0.0435549,11.3286,0.0921095,199.777,34.2332,15.8749,6.92298,9.40645,3.59678,9.98083,-4.90891,8.27571,12.0644,-18.9457,12.3986,-2.22261,2.79425,-1.73794,-5.05961,0.141495,3.75798,-0.198861,7.50773,-2.3283,-1.06075,-3.16553,-8.56932,9.5254,0.0440868,-2.31375,-1.24785,1.75991,2.4154,-1.31152,-0.175958,0.825171,-0.0211063,0.0226643,-0.113101,-0.592504,-0.163716,0.0118655,-0.858307,-0.0272093,-0.018349,-0.0767985
1.23,71.5363,24.6309,13.9397,18.1154,15.5231,13.4329,22.0425,19.9005,19.1847,25.1476,20.3321,7.51306,6.1887,7.3185,4.12255,2.5586,27.1536,5.42641,13.5229,6.62514,6.86419,7.7015,54.4059,52.2051,19.4989,10.1193,13.6236,105.433,2.54618,2.4022,2.7661,16.7687,17.2714,9.72884,57.5735,16.3876,13.4654,14.7,32.7526,22.9098,2.70469,22.0928,3.87271,249.989,119.658,81.0848,61.9034,63.6469,60.3422,0.593276,0.418162,0.53142,13.5629,74.5197,0.350453,0.176019,0.213815,0.307365,0.445783,115.013,0.0243876,0.163516,16.7573,1.0668,0.357886,51.0399,44.5551,1.79446,5.97393,36.0853,271.696,24.5978,29.2114,55.0512,95.6963,87.8832,107.7,68.9923,34.2515,38.0178,0.374979,1.13098,39.2813,0.282387,0.0923981,0.148921,179.177,21.0626,16.7054,21.2255,29.2919,8.22721,7.17048,-2.26359,4.88593,18.2893,-5.98542,12.1465,-0.600963,3.28632,-5.16221,-4.42909,-0.694354,8.18618,0.0639947,6.06804,-2.97807,-2.46378,-3.05916,-10.1306,11.0814,0.427451,-2.28541,-0.409519,1.40676,2.45338,-0.966739,-0.10769,0.890491,-0.0171361,0.0449889,-0.121476,-0.906946,-0.0243793,0.0567912,-0.718839,-0.0214345,-0.00132781,-0.060473
1.27,35.6906,11.3445,12.2903,2.89838,3.54458,5.44321,44.3747,26.6009,31.7607,44.9693,13.251,2.0883,0.811379,0.493359,0.16436,0.55112,13.2708,3.98196,11.9648,2.35363,2.82301,0.0444816,43.4405,42.2873,11.8575,6.29879,11.6314,44.4688,0.634763,0.626121,0.588221,23.9374,19.8896,5.16943,55.1111,10.8169,8.71818,27.0699,1.42305,0.488117,2.42248,12.9264,6.55796,211.005,107.983,87.9776,58.1476,62.7189,64.2785,0.180787,0.120625,0.1552,18.0269,96.6635,0.0831454,0.0752946,0.0740045,0.0734133,0.0980749,130.173,0.362674,0.0903589,4.37591,0.734555,0.0730311,86.4249,79.1079,0.401372,6.21697,52.444,291.407,2.46764,3.85371,24.3348,243.087,189.527,269.37,115.035,39.9425,49.8193,0.177805,0.91666,21.7507,0.187117,0.189777,0.179936,165.719,7.79471,8.69186,14.2456,38.8418,0.242379,11.7771,1.91593,5.95614,15.73,4.73871,14.7807,0.0801594,-3.21367,-0.999961,-2.54384,0.199718,1.66311,0.0395909,5.12078,-11.7615,-3.55618,-1.00139,-7.3225,3.21429,0.517528,-0.343218,2.55786,1.0396,2.43686,-0.69209,-0.057216,0.977703,-0.0179886,0.0645409,-0.139715,-1.1832,-0.0331569,0.0761004,-0.61188,-0.0169768,0.00796086,-0.0422482
1.31,92.9605,51.2667,33.8074,30.2305,29.6199,26.7463,74.4354,28.4844,49.5056,57.598,21.0569,0.500232,0.488892,0.444878,0.583254,0.957207,20.5595,0.60899,0.522304,36.0324,28.0315,1.60156,3.30503,0.217778,0.409716,1.25481,14.3013,0.00611233,0.923708,0.907743,0.886179,21.955,13.3107,3.04081,26.2218,1.94831,2.33273,25.4127,11.8263,10.437,10.0823,27.3679,7.42985,218.504,123.5,106.708,72.8732,78.3906,80.2255,0.386891,0.315967,0.353297,30.5448,122.667,0.27252,0.264114,0.276114,0.287665,0.318614,159.103,0.320606,0.263318,6.43124,1.26623,0.30659,110.246,101.609,0.591236,6.94726,67.3964,305.811,1.70717,1.46367,1.34746,370.989,264.663,409.806,127.453,30.8401,46.9024,0.213993,9.90793,49.0756,0.446001,0.281009,0.246723,172.688,5.64474,2.64086,9.47404,50.2849,0.653673,2.06936,0.12255,7.61798,-8.44033,-0.293738,12.6794,-1.96915,-3.41157,2.4538,-3.15442,0.823297,-2.06629,-0.134005,5.35413,-14.8094,-4.31347,-2.17856,-7.84364,-0.369184,0.44583,0.671682,0.930139,2.26918,2.81346,-0.698183,-0.0301158,1.02921,-0.0198437,0.057738,-0.150053,-1.24735,-0.00783192,0.062439,-0.612274,-0.0217411,0.00654024,-0.0405645
1.35,97.4282,61.3502,46.1649,28.862,30.2705,30.7194,103.089,55.2455,78.3287,65.5775,7.37303,0.303596,0.384578,1.49503,4.45325,15.9573,0.0939729,0.515074,2.24266,54.5846,47.7745,25.2891,0.173581,0.252395,1.23618,1.58421,19.6114,0.353495,0.502233,0.496849,0.492428,28.9657,19.705,3.64761,24.6794,2.73881,2.97695,24.4289,11.3669,10.8827,8.75015,25.4898,6.68662,213.256,116.702,100.658,70.9401,74.9142,75.146,0.346961,0.240169,0.283619,35.6756,124.455,0.194682,0.174335,0.1762,0.17574,0.202791,158.239,0.36041,0.193165,0.576041,0.681439,0.156067,118.684,109.957,0.67176,6.64161,63.8689,303.143,0.577223,0.580289,0.625712,404.694,288.899,444.693,135.786,36.3786,53.7067,0.151055,7.99049,48.8054,0.265099,0.162062,0.157781,171.864,8.85196,0.944473,10.6591,44.0076,0.784175,-9.32365,4.21975,3.1261,-19.7247,-26.9618,-1.8789,-9.80364,0.0775422,1.52477,-6.95947,0.268522,-0.450226,-0.139358,8.02327,-13.5091,-3.39176,-4.27025,-15.0177,2.85662,0.514127,1.33712,-0.400444,1.60691,3.54138,-1.11258,-0.0672811,1.16801,-0.0342285,0.0312629,-0.183987,-1.30712,-0.735156,0.00915404,-0.536582,-0.0154605,-0.00138161,-0.0203995
