time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,20.7918,-37.0355,29.4197,27.3193,-109.614,1.38131,-0.78883,-39.0299,32.7953,7.18749,6.5861,-39.093,0.0258029,6.04958,-40.5833,-6.53412,8.6808,-40.4881,9.0484,0.00739431,13.8322,3.53611,2.79785,-0.618883,-2.33948,-0.521596,0.803699,-0.0328488,-0.0264145,-0.10076,1.16543,0.0520019,-0.261049,0.396239,-0.00728295,-0.0338395,-0.0583013
0.94,10.7499,6.08581,19.0889,34.4161,-75.1957,15.7161,-2.4435,-11.2334,14.281,0.186015,2.22727,-9.63593,0.0385819,4.77856,-42.2926,-6.25723,-1.11062,-40.2644,-5.69438,0.0189544,6.59636,5.73458,5.84681,0.795428,-0.808173,-0.184315,1.14267,-0.035914,0.0286898,-0.140251,1.08729,0.0450641,-0.247507,0.337421,-0.00579524,-0.0294608,-0.0520426
0.98,17.9877,19.5971,-1.67467,27.6688,0.684696,17.5934,-4.24917,5.809,-12.966,-10.5033,-2.3524,14.0356,0.0667048,13.9463,-30.3924,-4.15669,-0.631996,-39.4611,5.1127,0.0155597,11.1415,6.43934,4.61834,2.76566,-0.128933,-0.257376,1.64627,-0.054891,0.0155664,-0.207197,0.829482,0.2563,-0.097376,0.431925,-0.0106395,-0.00535954,-0.0534149
1.03,-3.12016,10.0185,-6.69114,-22.2029,56.2979,-10.177,-40.2841,4.54875,-2.91195,-27.7635,0.49494,-0.346425,0.0296493,34.0993,-27.6507,-0.393947,-0.133869,-44.9048,13.9692,0.000281129,15.1215,6.12869,4.21027,3.88036,-0.724389,-0.213694,2.16108,-0.0518444,0.0362252,-0.30015,1.02049,0.180348,-0.190877,0.526764,-0.0196218,-0.0334776,-0.0692269
1.08,-25.7417,126.72,4.82335,-29.3246,11.1733,-6.13523,-60.6393,128.744,-47.2931,-66.118,-44.5601,88.7538,-0.0499865,42.8944,-29.3717,3.47764,-11.1501,-71.4418,8.64786,0.00843681,7.0578,5.70934,5.31858,4.63402,-2.32365,-0.26341,2.3393,-0.0579668,-0.00971402,-0.351467,1.63032,0.270013,-0.328957,0.469282,-0.0324426,-0.0887733,-0.0792857
1.18,24.1459,-268.765,38.6229,-20.3008,-10.7294,-53.4818,-32.1082,-142.904,50.7849,49.2759,70.4633,-118.816,0.0851366,29.097,122.365,8.36316,-4.73735,-89.1962,133.513,0.0792919,13.7756,-6.82586,7.33431,5.10273,-1.33072,-0.102381,2.51664,-0.0609256,0.0128086,-0.374885,0.57526,-0.636879,-0.45064,0.691127,-0.0515899,-0.154334,-0.0824833
1.29,39.543,39.57,-49.4242,35.1725,-89.5736,28.1375,-13.0545,-91.4661,14.8373,52.5334,-8.84372,-18.2634,0.0330408,26.3656,-73.2489,43.4612,21.0765,32.7562,-76.1281,0.163273,25.0316,-9.33428,0.880336,0.0693986,0.013845,0.0573396,1.03924,-0.0137134,0.0948763,-0.185521,-1.09714,-0.559159,-0.0925602,1.47405,-0.029401,0.00500602,-0.128441
1.35,17.3843,-52.2988,11.2105,20.848,-110.768,3.56389,-1.19131,-64.1241,7.41328,20.6236,-17.2109,-1.38923,0.0106024,-5.66185,16.7806,-19.7124,2.33483,-12.6453,41.4624,0.0417176,17.8975,-1.49153,-1.01846,-1.12457,0.694621,0.188273,0.623741,-0.00271823,0.114044,-0.104553,0.361364,0.408425,0.00271243,1.58602,-0.0257602,0.062948,-0.190774
1.4,12.233,12.622,3.89936,40.1396,-60.7535,-14.1353,3.11764,-22.5663,1.70607,3.20562,-29.2784,22.2706,0.0185993,2.59246,-7.68352,-3.47177,-3.50224,0.946862,0.0605339,0.0337193,7.48561,0.63952,-2.21713,-1.07842,-0.359922,0.0793393,0.570883,-0.00528116,0.0659413,-0.0830782,1.16711,0.220161,-0.0375173,1.20941,-0.0254822,0.0487039,-0.166956
1.46,-6.34227,11.0069,0.196115,15.906,53.7832,-4.74814,9.61313,-43.8709,2.61355,-5.13549,-40.4878,8.81839,0.0211723,-9.89518,-14.2814,12.6562,-13.2356,1.97531,-8.88453,0.0490959,4.60478,3.94269,-4.16779,-2.13582,-0.468334,0.271003,0.264024,0.00610982,0.0998768,0.0161765,1.55162,-0.547792,0.0559586,1.13767,-0.0192504,0.0817366,-0.132484
1.51,-29.2,38.3816,17.5449,-27.0206,54.9662,0.219719,25.0459,-43.606,5.27119,-9.24484,-64.1113,16.1287,0.00877024,-43.2951,-35.2853,17.7133,-28.8245,1.04489,-25.4873,-0.00740798,7.88037,3.10118,-5.69001,-2.57773,-1.73416,-0.102978,-0.161189,0.00150864,0.0216533,0.115009,1.2778,-1.17239,-0.0125536,1.79237,-0.0274274,0.114233,-0.199226
