time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,-1.81556,5.86507,13.6616,0.321459,-3.68869,-0.43749,-32.342,-11.5415,-9.52648,86.6014,-54.4236,0.000108647,0,9.88215,7.18595,0.0925164,-12.161,-19.4491,0.000115691,0,2.23024,-3.15581,-7.84948,-9.20485,-3.4825,-13.4292,8.46018,0.0637821,9.156e-05,2.58062e-05,5.98778,-2.91089,-5.27665,-2.81258,0.457805,-6.90577e-05,0.000191628
0.94,-0.0868517,11.3335,14.8415,0.983473,-4.55289,-0.430778,-34.4476,-20.8208,-9.57418,64.1493,-37.3749,0.000235492,0,5.41392,13.039,12.2246,-10.8428,-4.63563,0.00021714,0,0.529106,-8.63124,-8.88456,-5.86195,3.51098,-13.2123,7.25107,-5.00125,1.63472e-05,-0.000263899,5.53753,-3.78333,-4.47196,-0.440141,-1.34837,8.77145e-05,1.42138e-05
0.98,9.98532,-0.112322,8.63288,1.75736,-3.6272,0.344426,-41.1682,-6.55939,-8.75383,25.5704,-11.7125,-5.54615e-05,0,-11.3882,-2.69602,20.0482,-5.42872,-6.98359,-0.000124518,0,-8.64646,1.37804,-5.50432,6.61677,7.34933,-13.5402,-2.13919,-2.70171,5.27041e-05,-1.84032e-05,-1.33822,-2.10758,-0.234448,1.77241,-1.92355,0.000180108,-0.000161291
1.03,9.54454,-12.0241,11.1076,1.60038,-1.72177,0.584266,-25.0018,9.71487,-14.8305,-62.3201,-0.55454,-0.000111175,0,3.91034,-25.267,16.3091,-29.6648,-15.6018,-4.75774e-05,0,-8.69203,15.2057,-7.49076,9.99198,0.210947,0.121046,12.3279,2.29748,-2.30775e-05,0.000104818,-5.15888,-3.09958,-5.33779,2.0864,-2.56929,6.25664e-05,-7.31543e-05
1.08,2.02121,-8.97336,2.50572,1.94206,0.502774,0.82327,-0.597879,12.0019,5.16557,-114.92,3.00444,-7.73677e-05,0,26.1881,-17.9842,9.40704,-44.8837,-12.292,-6.51835e-05,0,0.343338,10.6962,2.26078,6.87962,-4.35908,11.2703,24.6098,2.17744,-9.8123e-05,0.000184844,-9.10242,-0.49771,-5.05553,2.26341,-0.739591,-2.1234e-05,-9.31742e-05
1.18,-8.45763,-11.4583,-15.19,-3.46762,3.63667,0.0728256,2.89386,18.9284,19.3922,16.6931,16.2826,0.000220041,0,68.5739,6.81604,-16.3216,-56.1453,-6.01363,-0.000127313,0,5.43321,7.87407,20.7162,27.8509,-1.56795,6.60384,14.3238,5.71448,0.00022458,-9.20162e-05,-10.0887,1.44325,-10.5125,-9.59764,-1.93274,-0.00022274,-0.000152197
1.29,-0.361973,19.4886,5.17685,-0.6027,0.797056,-0.408913,-23.3856,-23.2176,-14.2339,34.4218,-5.69131,-2.17828e-05,0,-27.027,17.5781,8.16698,113.519,62.5278,0.000100473,0,0.332504,-21.473,-13.3783,-7.09144,8.23453,2.38984,35.3526,-2.88904,-0.000127265,5.91626e-05,-21.2763,-5.46049,-2.97964,0.263613,7.61018,0.000118096,0.000103753
1.35,1.51637,2.15506,-2.66765,1.24444,-3.23633,-0.308748,-1.58173,-3.65812,-0.415774,1.14878,-17.0284,-9.32125e-05,0,-37.0821,-7.61377,0.478759,92.1381,-44.1156,0.000180718,0,2.26634,-2.81901,1.69371,-16.4897,1.94621,-1.07519,28.2379,-7.55584,0.000218231,-0.000193924,-2.22916,12.2153,1.47436,4.23167,1.23348,-2.45358e-05,-5.49716e-05
1.4,5.22417,-3.87295,-8.8709,1.19234,-4.71919,-0.756849,0.604915,3.09102,3.03196,-12.8271,0.0043647,-5.63034e-05,0,-29.0667,-14.948,-14.3864,40.3679,-44.5401,-1.26843e-05,0,-3.82272,5.02249,11.0782,-10.926,-7.35807,2.43451,19.8305,-4.20687,-0.00018678,-2.02494e-05,11.7428,13.804,7.48016,1.5308,-4.09523,-6.03189e-05,-0.000218403
1.46,6.09111,2.30524,-7.2935,1.32234,-2.53476,-1.00875,2.04403,-9.21668,7.39749,-22.4909,3.82242,6.88617e-06,0,-21.774,-2.63599,-10.4325,-17.7575,-7.977,-6.90135e-05,0,-6.00422,-0.955921,7.04147,-3.46419,-2.95435,1.61699,-10.4349,-1.28873,-2.75192e-05,0.00015316,18.6161,2.08487,18.9806,-5.43749,-1.18438,0.000141388,-0.000148203
1.51,2.16971,5.76647,2.98831,1.92019,0.163585,-1.96785,12.8706,-16.313,6.90356,-29.3856,-13.4413,0.00011646,0,-7.37158,12.3077,4.5644,-83.1364,3.64255,8.44567e-05,0,0.635739,-3.37225,-5.29059,-9.10583,-1.10176,-1.17204,-30.2619,1.24903,-4.20774e-05,-0.000121642,16.1052,-4.30818,19.1315,-4.73989,3.07192,0.000156303,-0.000114198
1.54,1.16101,8.07235,9.5147,2.20009,1.74939,-2.15807,18.1481,-13.993,7.62482,-32.8364,-23.5052,-9.88899e-05,0,-1.95608,19.087,4.48839,-95.7274,2.45042,0.000124646,0,2.79061,-5.74657,-13.8136,-16.5527,-0.257863,-0.472831,-33.9698,1.61449,0.000294685,-0.000188198,15.4305,-5.70095,15.0641,-2.83317,3.82861,5.5268e-05,-5.63704e-05
1.58,-0.053055,13.5953,12.7323,1.22752,4.20753,-1.67345,33.2942,-8.99773,4.54239,-44.6679,-44.054,-0.000193595,0,3.05061,23.7051,0.766539,-74.7053,-2.10488,-0.000120004,0,0.937528,-11.9061,-17.9692,-21.6708,0.731145,-1.27262,-37.9909,0.487249,-0.00011987,3.46882e-05,16.7055,-8.12804,7.059,-2.89902,4.35172,-0.000232451,-0.000128778
1.63,-8.09242,12.6886,5.7377,-1.64085,4.5308,0.0601361,62.4867,-1.23592,-0.656204,-57.2261,-76.259,-0.000341115,0,-7.52796,18.6893,13.4476,10.0683,25.2573,-0.000179447,0,4.33716,-12.7984,-12.4759,-9.29885,3.51725,-1.63342,-47.5763,0.37555,-6.57876e-05,0.000121851,17.7877,-8.9673,0.924332,-1.60886,6.15933,-0.000117647,0.000150836
1.85,4.57996,3.71697,14.8956,0.765425,-2.86856,0.101159,-36.4076,-11.6854,-16.2296,70.2062,-54.6786,-8.59107e-05,0,0.943404,4.62884,13.4683,-12.4681,-4.30613,1.61077e-05,0,-6.10172,-1.95584,-7.65004,-0.835187,5.2731,-24.3489,-3.69942,-10.8529,-4.4492e-05,-2.13027e-05,3.47646,-2.08939,9.28302,0.507237,0.971369,7.13816e-05,-0.000115684
