time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0,0.0550452,0.113116,-0.0823381,-0.127282,0.878341,2.58235,0.275626,-0.111088,0.0616234,-1.20177,-0.0735439,-8.65898e-07,0,0.118196,0.129699,-0.101103,-0.252516,0.031458,1.12953e-08,0,-0.287178,-0.151025,0.0583876,0.0616456,-0.225535,0.113932,0.903019,1.64807,2.89183e-07,-1.86898e-08,0.457364,-0.152177,0.405797,2.78724,1.65843,-9.3108e-08,2.91199e-07
0.01,0.0568996,0.113166,-0.082762,-0.129187,0.88045,2.58138,0.306699,-0.103924,0.0612387,-1.1912,-0.072158,-1.49654e-06,0,0.0979427,0.132521,-0.103654,-0.25784,0.0314719,-1.13172e-07,0,-0.295033,-0.150671,0.0486068,0.0469766,-0.229519,0.113382,0.894761,1.6476,1.22391e-07,-1.19714e-08,0.45793,-0.152265,0.406686,2.78606,1.65766,-4.63588e-08,1.64674e-07
0.02,0.0488882,0.109134,-0.0732801,-0.12921,0.880937,2.57957,0.348734,-0.0945505,0.0533044,-1.19477,-0.063798,-4.4257e-07,0,0.0704981,0.130705,-0.116246,-0.224993,0.0325765,-4.63501e-07,0,-0.287762,-0.141951,0.0445731,0.0241603,-0.239021,0.110512,0.867416,1.64574,4.1228e-07,2.14816e-08,0.462736,-0.152325,0.412189,2.78631,1.65196,-2.38295e-07,5.6403e-07
0.03,0.0506092,0.108472,-0.0770126,-0.131507,0.881929,2.57912,0.380361,-0.0893621,0.0511903,-1.1786,-0.0618879,-4.87159e-07,0,0.0508901,0.131093,-0.117831,-0.22967,0.0327286,6.44383e-08,0,-0.295237,-0.142948,0.0354828,0.0116715,-0.241471,0.110107,0.859806,1.64534,4.41979e-08,6.51327e-08,0.463229,-0.152039,0.412836,2.78462,1.65118,-5.57768e-08,2.09617e-07
0.04,0.0250368,0.0977338,-0.0820601,-0.131031,0.880908,2.57908,0.434606,-0.0772249,0.0321538,-1.15529,-0.0279769,-5.30925e-07,0,0.0248555,0.122683,-0.119266,-0.162843,0.0381892,7.9966e-07,0,-0.265259,-0.132828,0.0504862,0.00166672,-0.235319,0.103194,0.800606,1.6413,5.89e-07,4.16151e-07,0.458768,-0.145324,0.427955,2.77623,1.63217,9.57083e-08,3.05854e-08
0.05,0.0227756,0.0987595,-0.0812543,-0.132358,0.880639,2.57748,0.460207,-0.073158,0.0330267,-1.12153,-0.0222992,-6.04578e-07,0,0.0079183,0.127697,-0.122873,-0.162282,0.0395558,3.92683e-08,0,-0.26463,-0.133134,0.0393615,-0.0109325,-0.246567,0.0982827,0.785446,1.64026,-1.36537e-07,2.39957e-07,0.462438,-0.144457,0.428218,2.77832,1.62862,1.8664e-07,3.81515e-07
0.06,0.0252256,0.0984271,-0.0818585,-0.13468,0.87986,2.57701,0.489916,-0.0685512,0.0317337,-1.10342,-0.0206757,-9.01419e-07,0,-0.0107246,0.129548,-0.125176,-0.167584,0.0399006,-1.2336e-07,0,-0.272706,-0.133523,0.0303017,-0.0254161,-0.248188,0.0981547,0.777085,1.63986,1.69417e-07,-1.33849e-07,0.463014,-0.14431,0.428063,2.77762,1.6279,-5.17323e-07,1.0026e-07
0.07,0.0141277,0.101444,-0.0734238,-0.134184,0.878724,2.57596,0.509303,-0.074384,0.017918,-1.03993,-0.0130227,-5.15213e-07,0,-0.0287702,0.134415,-0.137574,-0.146262,0.0446147,3.26801e-09,0,-0.260371,-0.134649,0.0267776,-0.0475184,-0.253418,0.0945268,0.750459,1.63835,-1.19959e-07,1.0437e-07,0.470943,-0.143886,0.425213,2.78056,1.62286,-1.14255e-07,1.685e-07
0.08,0.00770272,0.101865,-0.0703363,-0.134205,0.876923,2.57483,0.532442,-0.0782305,0.00264217,-0.993122,-0.00368642,-6.58911e-07,0,-0.0498576,0.138354,-0.145798,-0.130048,0.049602,1.51749e-07,0,-0.253127,-0.133648,0.0191328,-0.0624089,-0.256218,0.0890278,0.72378,1.63654,1.65941e-07,2.3027e-07,0.473438,-0.143525,0.423985,2.7766,1.61689,-9.08061e-08,3.60629e-07
0.09,0.00323652,0.0952754,-0.0557965,-0.133711,0.875322,2.57378,0.551582,-0.0836732,-0.0351381,-0.949163,0.0385795,-4.44803e-07,0,-0.0838785,0.134561,-0.138002,-0.0930886,0.0682188,6.38066e-07,0,-0.249396,-0.124558,0.00553362,-0.0567711,-0.238773,0.0651861,0.643567,1.6312,-2.13005e-07,7.90853e-07,0.459242,-0.141539,0.426266,2.7695,1.58909,1.5466e-07,-1.53151e-07
