time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,-0.00780876,-3.52915e-05,0.0426629,5.19406,14.2267,-0.247236,0,-0.401046,0
0.94,-0.0128185,-0.000656731,0.0682296,2.97494,3.88784,-0.0210651,0,-0.0317208,0
0.98,0.00273813,-2.11239e-05,-0.0172232,-2.23494,-6.92627,0.15468,0,0.193858,0
1.03,0.00478588,0.000296288,-0.0275646,-0.743349,-0.650937,0.0342417,0,-0.0243579,0
1.08,-0.0151275,0.000657166,-0.241189,7.78528,-44.6184,-2.95026,0,0.750632,0
1.18,0.112393,-0.0207429,2.32851,-92.4546,451.21,9.52094,0,-4.02124,0
1.29,0.0538729,-0.021348,2.62314,-137.371,714.387,-60.3551,0,4.97305,0
1.35,-0.0330067,-0.0218908,2.64416,-41.1684,483.594,-48.2688,0,1.4754,0
1.4,-0.0877491,-0.0222082,2.71497,-12.2879,384.602,-41.0183,0,-1.14974,0
1.46,-0.157555,-0.0217829,2.67035,4.96252,402.667,-44.7364,0,-4.5666,0
1.51,-0.225809,-0.0219034,2.67764,36.3496,530.92,-40.8445,0,-7.48525,0
1.54,-0.271876,-0.0219857,2.69023,71.2009,634.644,-43.3654,0,-10.4603,0
1.58,-0.336591,-0.0219658,2.6931,138.351,704.462,-46.5882,0,-13.0901,0
1.63,-0.416659,-0.0240314,2.7687,139.041,482.402,-30.5655,0,-3.18845,0
1.85,-0.0136445,-0.000563869,0.081058,4.61865,7.80161,-0.490165,0,0.0881779,0
1.91,0.00230896,-2.11239e-05,-0.0173951,-2.47385,-6.59182,0.566089,0,0.222992,0
1.95,0.00585284,0.000333128,-0.0360807,-0.946795,-0.745434,-0.0107421,0,-0.181602,0
1.99,-0.0136455,0.000797148,-0.366793,4.35208,-35.6957,-2.68895,0,0.640841,0
2.04,0.0145888,-0.0105082,0.665172,9.1969,29.5479,7.85404,0,-1.06281,0
2.14,0.105806,-0.0232723,2.82368,-169.585,676.118,-29.4673,0,0.708625,0
2.31,-0.127897,-0.0222082,2.72264,-4.15893,400.324,-43.5425,0,-1.65227,0
2.51,-0.394955,-0.0219363,2.71071,153.456,714.4,-54.6545,0,-17.5455,0
2.56,-0.432533,-0.0240314,2.56976,138.476,466.513,-32.193,0,-8.63073,0
2.61,-0.196944,-0.0140578,1.1063,48.5735,117.524,-6.5443,0,-0.297263,0
2.68,0.0299837,8.66065e-05,-0.166593,-11.6951,-30.2213,1.90416,0,0.665583,0
2.78,-0.0151353,-0.000563869,0.0805304,4.13952,7.29413,-0.325624,0,-0.00713256,0
2.83,0.00285243,-0.000210443,-0.0175833,-2.25134,-7.29469,0.555291,0,0.26184,0
2.88,0.00488901,0.000333128,-0.0276098,-0.651946,-0.159526,-0.0575049,0,-0.110182,0
2.92,-0.0138611,0.00216671,-0.355976,1.53483,-26.6724,-3.33605,0,1.09725,0
2.96,0.00567653,-0.0055221,0.381348,15.8385,-17.1851,2.54709,0,0.0907213,0
3,0.0541253,-0.0152618,1.54101,-16.5625,174.561,17.7884,0,-6.63333,0
3.06,0.0853834,-0.0231986,2.73769,-129.564,568.277,3.98054,0,-10.6803,0
3.14,-0.038543,-0.021348,2.60308,-89.8668,640.535,-37.7763,0,-3.92737,0
3.31,-0.229299,-0.0217829,2.68062,18.5132,446.262,-40.7986,0,-2.12525,0
3.41,-0.388495,-0.0219892,2.69527,171.804,711.839,-31.7766,0,-13.1415,0
3.45,-0.499641,-0.0249958,2.94253,186.153,588.352,-17.9606,0,-10.4429,0
3.53,-0.153779,-0.00902848,0.812433,31.0693,56.684,1.81535,0,-0.179644,0
3.66,-0.00818054,-3.52915e-05,0.0427637,6.41922,15.4362,-0.351166,0,-0.426894,0
3.87,0.0531562,-0.0130058,1.28332,1.3994,116.801,14.6988,0,-2.4574,0
3.96,0.164194,-0.0232586,2.87451,-179.718,732.956,-42.9606,0,19.1616,0
4.08,0.00104631,-0.0218908,2.683,-39.2916,453.435,-56.9595,0,5.0205,0
4.28,-0.250268,-0.0219921,2.72464,119.978,633.311,-50.4011,0,-19.342,0
4.33,-0.330645,-0.0226863,2.80742,126.393,452.038,-36.9903,0,-12.3271,0
4.38,-0.182692,-0.0115261,1.42257,54.1451,142.896,-11.6193,0,-1.89667,0
4.47,0.0255999,0.0015082,-0.186387,-8.71942,-17.9595,1.48442,0,0.449468,0
4.53,-0.00642729,-0.000350342,0.0436814,4.6797,11.5612,-1.13121,0,-0.704899,0
4.58,-0.00710497,-0.000400211,0.0492111,0.848734,-1.08361,0.226331,0,0.260143,0
4.62,0.00425468,0.000259582,-0.032202,-2.23729,-5.6151,0.532234,0,0.262701,0
4.65,0.00480881,0.000296288,-0.0365388,-1.10845,-1.59445,0.115163,0,-0.0444517,0
4.68,0.00049903,0.00358472,-0.0057235,0.645262,2.09949,-0.200904,0,-0.185041,0
4.72,-0.0153755,-0.00113876,-0.0729581,10.5095,-44.8685,-0.948653,0,0.149315,0
4.78,0.103271,-0.0151968,1.54906,-22.0425,180.11,14.4697,0,-3.83135,0
4.89,0.127361,-0.0222637,2.75101,-152.728,743.399,-41.5777,0,2.90971,0
4.95,0.0258124,-0.0213524,2.58285,-60.8086,569.116,-55.8242,0,1.75759,0
5.01,-0.0428446,-0.0222353,2.69801,-6.45834,419.024,-45.862,0,-2.37913,0
5.07,-0.106215,-0.0218793,2.68048,-1.23155,407.912,-41.5954,0,-3.32321,0
5.12,-0.1649,-0.0218211,2.66657,30.3495,488.531,-38.2378,0,-7.06997,0
5.16,-0.221058,-0.0219684,2.6884,74.2423,601.359,-41.0407,0,-10.1689,0
5.2,-0.295547,-0.0219796,2.69698,140.827,675.927,-42.7193,0,-15.3836,0
5.24,-0.376639,-0.0249839,2.93971,153.752,551.658,-31.708,0,-8.40218,0
5.32,-0.108901,-0.00902848,0.807799,26.138,50.9601,-1.20953,0,2.32435,0
5.45,-0.0074651,-3.52915e-05,0.0433086,5.36545,13.7309,-0.909756,0,-0.541376,0
5.62,-0.0178694,-0.00103393,-0.245346,7.58049,-44.4449,-1.72222,0,0.286088,0
5.72,0.152813,-0.0219247,2.32625,-91.9659,414.924,8.60681,0,-1.18488,0
5.8,0.101154,-0.0218723,2.75607,-135.289,687.15,-48.3019,0,4.09072,0
5.87,-0.026073,-0.0217014,2.6112,-38.7398,525.275,-58.36,0,3.02292,0
5.96,-0.100782,-0.0219591,2.72806,-2.51676,386.688,-46.2714,0,1.39865,0
6.02,-0.181553,-0.0218211,2.69142,41.8494,451.782,-51.2605,0,-5.02345,0
6.06,-0.23985,-0.0219684,2.70342,85.3481,586.234,-47.1817,0,-11.6712,0
6.1,-0.307205,-0.0219796,2.70883,151.177,700.446,-36.5612,0,-19.7922,0
6.23,-0.0856196,-0.00665859,0.551611,16.8756,25.0821,-0.509095,0,1.71377,0
6.33,0.0068154,0.000764558,-0.042937,2.02448,10.8797,-0.285099,0,-0.851708,0
6.51,-0.0150142,-0.000954104,-0.0870875,12.12,-48.4061,-1.17266,0,-0.300373,0
6.57,0.115702,-0.0153441,1.56536,-23.687,197.261,13.3836,0,-2.16124,0
6.68,0.15318,-0.0222393,2.75761,-170.721,741.087,-41.0096,0,7.74968,0
6.84,-0.0428487,-0.0220496,2.71519,-17.3718,410.469,-42.5496,0,-1.25865,0
6.94,-0.178173,-0.0219404,2.6902,57.5106,569.59,-43.6964,0,-7.86631,0
6.98,-0.242565,-0.0219892,2.69913,122.546,641.803,-46.8183,0,-14.307,0
7.03,-0.357204,-0.0249839,2.94708,144.494,518.333,-32.9649,0,-8.62038,0
7.14,-0.0182724,-0.00262765,0.130812,-5.14323,-20.6463,2.03464,0,2.13539,0
7.26,-0.01216,-0.000563869,0.0813783,4.42809,9.33836,-0.247914,0,-0.110858,0
7.32,0.00233658,-2.11239e-05,-0.017619,-2.28988,-6.59108,0.432791,0,0.306893,0
7.36,0.00495839,0.000333128,-0.0361275,-0.947512,-1.55,-0.0546921,0,-0.121313,0
7.4,-0.0189637,0.000797148,-0.254671,6.09349,-39.0501,-1.50089,0,-0.0952169,0
7.45,0.0456971,-0.0105082,0.968293,9.40686,52.3587,9.72839,0,-2.03154,0
7.51,0.155235,-0.0219247,2.53841,-110.392,489.658,-9.08522,0,7.15655,0
7.62,0.0539486,-0.0212476,2.62049,-101.354,643.026,-69.6938,0,11.0582,0
7.77,-0.117385,-0.0218191,2.70446,0.0254323,413.349,-53.6423,0,-3.01342,0
7.82,-0.18141,-0.0218616,2.70154,38.6408,533.689,-56.7572,0,-8.66191,0
7.86,-0.246633,-0.0219857,2.72025,96.3832,659.051,-62.9222,0,-17.4888,0
7.89,-0.296878,-0.0219796,2.72392,142.145,688.208,-61.7967,0,-20.9267,0
8.03,-0.0184303,-0.00450142,0.132581,-2.82788,-19.1273,2.09248,0,2.38545,0
8.14,-0.010309,-3.52915e-05,0.0697378,5.28172,13.1759,-1.21516,0,-0.458558,0
8.19,-0.00385863,-0.000559519,0.0256623,-0.382885,-4.07828,0.452567,0,0.472423,0
8.23,0.00547608,0.000141667,-0.0399035,-2.29936,-5.6639,0.519728,0,0.10773,0
