time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.0621976,0.0854123,-0.0936956,-0.0639372,0.878192,2.57291,0.358259,-0.0837959,0.0188097,-1.22305,-0.0825289,-6.82369e-07,0,0.124474,0.134649,-0.0216202,-0.325369,0.0701029,-3.9895e-07,0,-0.280838,-0.137226,0.0357594,0.105199,-0.22001,0.183708,0.904126,1.62225,-1.38611e-07,1.19124e-09,0.44514,-0.125351,0.503623,2.81127,1.36316,9.34194e-08,7.92223e-09
0.94,0.0488747,0.0881203,-0.104059,-0.0669987,0.885026,2.57292,0.479266,-0.0726621,0.0102428,-1.08285,-0.0142977,-6.51957e-07,0,0.0215911,0.137058,-0.0705916,-0.247835,0.0666067,-3.16454e-07,0,-0.271467,-0.14004,0.0274511,0.0528929,-0.234348,0.180333,0.774864,1.62691,-6.13118e-08,3.25708e-07,0.447454,-0.125247,0.499137,2.81109,1.36482,-7.26288e-08,1.68086e-07
0.98,0.0342575,0.108532,-0.0917773,-0.0689823,0.885594,2.57213,0.548911,-0.0931686,-0.00848388,-0.829343,-0.00142402,-1.65982e-07,0,-0.0728206,0.160578,-0.103232,-0.183714,0.054361,1.60453e-07,0,-0.261006,-0.156318,0.0055929,-0.00857795,-0.243012,0.156124,0.651928,1.62371,-1.63532e-08,1.63864e-07,0.458468,-0.130096,0.488287,2.81001,1.36487,-2.39413e-07,3.77103e-07
1.03,0.0392138,0.134638,-0.0658452,-0.0680362,0.878685,2.57221,0.548567,-0.130023,-0.040606,-0.434031,-0.0235092,2.03062e-07,0,-0.224898,0.190979,-0.100769,-0.101505,0.0256005,2.99985e-07,0,-0.268143,-0.177617,-0.0276847,-0.0700847,-0.236456,0.0914272,0.484675,1.61381,1.21788e-07,4.8349e-08,0.470137,-0.13868,0.479712,2.81119,1.36224,-2.29445e-07,2.81268e-07
1.08,0.0614694,0.138872,-0.0148126,-0.0639222,0.86628,2.57369,0.494426,-0.151118,-0.109199,-0.157461,-0.0479826,2.33318e-07,0,-0.37148,0.170722,-0.0674748,-0.0755424,-0.0263339,4.31849e-07,0,-0.290417,-0.171319,-0.0785068,-0.115725,-0.229573,0.0277349,0.347875,1.60841,1.61819e-07,5.3946e-10,0.473842,-0.154892,0.46093,2.81602,1.35417,-9.85271e-08,2.76535e-07
1.18,0.110842,0.0824959,0.0889741,-0.0445858,0.847035,2.5832,0.405306,-0.106335,-0.165096,-0.297869,-0.0918175,-3.93004e-07,0,-0.464241,0.0249042,0.0594826,-0.343585,-0.265956,4.04888e-07,0,-0.325533,-0.0885085,-0.145845,-0.148173,-0.234589,-0.0335872,0.209461,1.60831,-2.45059e-07,1.80257e-07,0.424283,-0.178728,0.387294,2.83368,1.33406,2.2309e-07,3.62223e-07
1.29,0.0817731,-0.0758586,0.091537,-0.0506681,0.858392,2.59676,0.332911,0.0993393,-0.0811113,-0.452599,0.0115667,-2.32557e-07,0,0.0505898,-0.0956815,0.0871092,-1.11602,-0.471562,-4.21898e-07,0,-0.303688,0.0679659,-0.0692417,0.0591428,-0.245661,-0.0162218,0.229241,1.66247,2.43917e-07,-1.50028e-07,0.268804,-0.204979,0.18455,2.77746,1.29374,-2.63406e-07,7.81519e-08
1.35,0.0516268,-0.0922467,0.0960364,-0.0632725,0.873162,2.60229,0.197177,0.134492,-0.0952708,-0.348224,0.0886753,-1.3002e-07,0,0.319951,-0.0720417,0.107068,-1.1811,-0.233938,-5.29944e-07,0,-0.286611,0.0706777,-0.0619735,0.190845,-0.221981,0.0165255,0.381002,1.69608,-1.06757e-07,-1.53496e-09,0.100795,-0.252133,0.0523153,2.73387,1.29598,-9.83331e-08,2.21086e-07
1.4,0.0296116,-0.0947747,0.0965404,-0.0716264,0.879297,2.60603,0.0723902,0.148218,-0.115712,-0.244988,0.111131,-1.28941e-07,0,0.455222,-0.0627293,0.130224,-0.991284,-0.110119,-1.92604e-07,0,-0.267447,0.0597946,-0.0583149,0.263038,-0.194016,0.0414952,0.582192,1.70586,1.61839e-07,-2.52531e-07,-0.0511986,-0.265813,-0.0574063,2.70859,1.30297,1.7762e-08,3.56861e-07
1.46,0.022334,-0.105078,0.0684426,-0.0781107,0.873169,2.60885,-0.0847276,0.171023,-0.12769,-0.15063,0.138197,-1.45376e-07,0,0.521026,-0.0945626,0.116846,-0.61233,-0.0934243,1.24688e-07,0,-0.260509,0.0559908,-0.0175464,0.311532,-0.186584,0.0808273,0.903519,1.7031,-5.05339e-08,-3.57692e-07,-0.204353,-0.239827,-0.174456,2.68418,1.29976,-2.2012e-07,2.46741e-07
1.51,0.0328045,-0.111629,0.0212952,-0.0803152,0.860465,2.60956,-0.216868,0.174604,-0.117425,-0.120527,0.178523,-1.16389e-07,0,0.512243,-0.138305,0.0718576,-0.289893,-0.120305,1.57813e-07,0,-0.271133,0.0528077,0.0423978,0.340704,-0.190856,0.119107,1.16654,1.69481,-1.19146e-07,2.32802e-08,-0.289222,-0.206887,-0.231771,2.65158,1.29155,-3.34879e-07,1.59878e-07
1.54,0.0419103,-0.11149,-0.00785523,-0.0796494,0.851928,2.60805,-0.286935,0.159237,-0.10579,-0.129642,0.195819,1.90657e-07,0,0.495253,-0.156838,0.0494161,-0.173898,-0.130818,1.4678e-07,0,-0.277606,0.0493192,0.0787569,0.351483,-0.196932,0.140969,1.29788,1.69109,-4.5043e-07,1.08631e-07,-0.323838,-0.189537,-0.245354,2.62672,1.28885,-2.5571e-07,9.3515e-08
1.58,0.0568798,-0.10219,-0.0353655,-0.0755415,0.841866,2.60328,-0.366374,0.119768,-0.0781231,-0.17612,0.196486,3.90019e-07,0,0.467714,-0.15813,0.0236657,-0.143678,-0.14181,3.69544e-07,0,-0.282697,0.0380149,0.11041,0.345227,-0.206809,0.17085,1.43634,1.68833,-1.54625e-07,-9.04598e-09,-0.350808,-0.17221,-0.243214,2.5913,1.2897,-2.81415e-09,1.41027e-07
1.63,0.0796448,-0.0607548,-0.0429434,-0.067921,0.837856,2.59334,-0.40651,0.0489876,-0.0318743,-0.327361,0.117681,5.73067e-07,0,0.447333,-0.109652,-0.0145912,-0.280423,-0.178823,3.18832e-07,0,-0.292656,-0.00164434,0.112616,0.29453,-0.217979,0.202902,1.53844,1.68466,-1.27571e-07,-2.15389e-08,-0.347991,-0.168683,-0.225041,2.53885,1.29865,-6.97638e-08,-1.19932e-07
1.85,0.0173544,0.115214,-0.109432,-0.0812045,0.878557,2.57029,0.447947,-0.0737026,0.0735553,-1.14622,-0.0519542,-5.94167e-07,0,0.0504575,0.130314,-0.0842959,-0.213078,0.0470846,-1.44641e-07,0,-0.227165,-0.174279,0.0239601,0.0495285,-0.23108,0.257904,1.00093,1.71331,-1.8529e-07,1.20292e-07,-0.0863772,-0.237944,-0.202883,2.40509,1.40071,-2.95907e-07,1.717e-07
