time,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l,pelvis_tilt_reserve,pelvis_list_reserve,pelvis_rotation_reserve,pelvis_tx_reserve,pelvis_ty_reserve,pelvis_tz_reserve,hip_flexion_r_reserve,hip_adduction_r_reserve,hip_rotation_r_reserve,knee_angle_r_reserve,ankle_angle_r_reserve,subtalar_angle_r_reserve,mtp_angle_r_reserve,hip_flexion_l_reserve,hip_adduction_l_reserve,hip_rotation_l_reserve,knee_angle_l_reserve,ankle_angle_l_reserve,subtalar_angle_l_reserve,mtp_angle_l_reserve,lumbar_extension_reserve,lumbar_bending_reserve,lumbar_rotation_reserve,arm_flex_r_reserve,arm_add_r_reserve,arm_rot_r_reserve,elbow_flex_r_reserve,pro_sup_r_reserve,wrist_flex_r_reserve,wrist_dev_r_reserve,arm_flex_l_reserve,arm_add_l_reserve,arm_rot_l_reserve,elbow_flex_l_reserve,pro_sup_l_reserve,wrist_flex_l_reserve,wrist_dev_l_reserve
0.9,215.304,19.5586,0.951342,73.9549,61.0556,30.3291,0.237606,0.135889,0.156907,59.4124,108.518,0.109671,0.0866873,0.086612,0.0873576,0.108645,150.528,0.262052,0.0980871,0.3173,0.332125,0.0694448,190.793,176.218,0.277702,0.658263,1.51083,266.814,0.28267,0.272603,0.290885,560.062,268.776,845.833,362.691,74.4298,70.8409,0.924394,0.179729,0.201065,0.26166,0.28806,0.50765,515.02,246.345,119.033,136.866,127.973,103.162,272.13,41.4518,126.788,114.637,24.9182,0.0732136,0.0831102,0.0766788,0.0991419,0.503858,48.8756,0.131324,0.0743929,159.065,154.633,0.102201,0.406538,0.339,0.081949,0.147824,6.86921,0.309363,0.463616,0.433123,0.463529,22.5228,3.02827,0.71766,0.246158,0.247171,0.288876,0.777436,168.216,352.534,62.2521,123.651,2.8929,48.2477,201.448,34.61,0.271171,0.375131,8.43807,-17.0386,53.5294,6.82015,-37.9202,-18.5954,3.28943,5.99728,-12.3503,1.83013,-2.87646,-5.65679,11.5778,0.811847,-5.90819,-11.1429,11.1754,-5.01674,1.08935,-14.5053,-0.672447,1.57853,-0.542373,-3.21152,-0.69131,-0.579397,-0.0670807,0.179634,-0.0137755,0.0205399,-0.00338717,2.15186,-1.44432,-0.116509,1.32932,-0.0246053,0.0607022,-0.187505
0.95,165.166,0.225336,0.38952,65.281,40.0068,0.057632,0.109944,0.157556,0.144515,30.7122,122.759,0.0761267,0.391244,0.420279,0.456445,0.408568,176.529,0.369656,0.420635,0.195645,0.233888,0.45912,257.48,243.972,0.433036,0.690688,0.674772,392.4,2.7383,2.76397,2.81992,567.125,273.678,907.07,370.161,73.2023,77.1177,0.35098,0.503249,0.574802,0.289393,0.245854,0.276433,287.683,170.888,166.455,26.0897,45.082,73.2408,233.57,28.3665,106.998,121.575,47.058,0.0546143,0.128805,0.159576,0.23087,0.268619,56.8356,0.172756,0.305604,144.554,148.876,0.607753,0.746315,0.635308,13.3999,25.1316,75.1141,0.132691,0.244306,0.230063,0.247524,27.3131,3.82399,0.652892,0.351158,0.353552,0.377317,0.72178,168.114,350.044,64.8181,121.965,3.005,50.3495,193.706,41.5027,0.599405,0.504383,9.66162,4.70257,40.8511,31.307,-36.7874,19.29,13.3919,11.6287,-11.6486,3.80698,0.380598,-8.39906,9.59131,0.842421,1.35203,-9.77102,-7.95594,-5.79874,1.92058,-14.796,-0.652613,1.04607,0.456494,-2.41303,-1.19452,-1.67642,-0.137861,-0.0248443,-0.00750665,0.00393296,0.0299552,2.30539,-2.21938,-0.259967,1.26974,-0.0434544,0.00328965,-0.205171
0.99,0.130066,0.112352,0.0907773,0.211429,0.124861,0.34859,1.93481,55.4774,1.32802,1.32114,0.133104,1219.48,728.24,581.814,453.351,282.031,0.267395,273.8,194.18,0.153374,0.231762,185.682,438.773,450.882,45.4684,0.376342,0.120731,122.731,190.065,202.247,264.772,673.34,526.978,2422.67,3689.27,708.247,611.322,1459.62,0.026037,0.0279241,0.0522441,0.0935006,70.4828,0.071602,0.210884,134.673,0.0838449,0.11092,0.287072,8.79286,64.1475,123.581,4.99272,0.335262,535.944,337.378,348.041,233.48,89.7756,0.220294,138.557,137.138,3.03044,52.2045,437.996,136.224,200.334,483.396,171.768,195.705,69.8109,20.1423,21.3628,25.5034,2.37464,54.0569,140.548,1604.02,312.311,262.318,814.579,0.0609729,0.064876,0.0836121,0.182337,60.8613,75.3548,126.441,38.8586,0.00264277,0.36996,0.952822,59.6252,118.207,-55.7836,-53.4711,-22.6728,27.1887,8.83092,25.5274,23.2873,2.03302,-2.97352,135.806,6.94202,6.00718,13.7858,-30.1302,0.29363,4.29177,56.8002,2.88093,0.658392,-0.190565,-1.73856,-1.17866,-1.65481,-0.120779,0.00808843,-0.0106799,0.013858,0.0400249,2.12807,-2.04395,-0.249259,1.23635,-0.0428034,-0.00145561,-0.204484
1.16,31.5283,69.3163,142.799,9.88732,25.7371,46.5108,10.2909,20.263,30.7255,24.0803,36.1332,320.663,116.854,86.0758,44.6576,32.243,28.6244,46.7643,44.3271,65.5322,48.3688,53.5105,222.578,237.273,136.866,81.948,114.663,122.732,91.8619,97.4655,140.935,1.99037,2.06781,1019.95,1775.55,36.2932,27.5966,927.459,31.1097,28.1285,125.787,293.238,131.775,69.0529,47.6452,131.948,40.4952,38.4771,35.341,10.729,6.65522,8.2141,16.9678,31.4425,65.3681,10.6804,11.6293,8.87592,11.5151,56.2637,17.7411,11.119,40.4727,64.2805,60.5832,98.9561,123.402,108.785,35.5717,108.577,272.033,163.838,178.735,198.269,17.4236,32.8096,128.018,963.93,89.3822,81.0052,400.267,19.1971,21.5689,14.5643,17.6231,24.6696,248.029,149.462,77.685,6.37709,10.136,15.8862,36.9368,0.458263,-3.25475,36.1868,-63.5852,6.22417,3.25401,4.39364,-9.00195,-2.6309,0.436078,6.39969,-1.81699,2.58994,0.876949,-6.01636,2.158,2.53433,10.7214,0.738419,4.52502,-0.266968,0.176784,-0.081934,-2.5237,-0.369228,0.289865,-0.0134791,-0.0460351,-0.0199207,0.949557,-0.619933,-0.0691276,0.819975,-0.0189246,0.0231233,-0.119853
1.38,129.147,61.314,31.0465,38.3666,35.2318,28.2319,95.0982,20.2906,41.3214,64.0947,19.234,0.32519,0.365022,0.359822,0.430374,0.994396,17.1279,0.562883,0.570904,37.1483,34.8471,0.549678,2.07262,1.76574,0.454313,0.712377,7.13719,0.702877,0.645323,0.626764,0.561617,9.98232,6.33924,1.73594,2.49277,1.62872,1.66228,21.1396,20.7185,37.5515,11.9162,32.5491,6.059,241.054,135.752,117.464,80.1326,83.1711,81.5228,0.326139,0.183494,0.240907,83.7224,118.585,0.0955822,0.0869105,0.0918994,0.0970964,0.136536,150.458,0.191465,0.105729,20.2523,1.33931,0.103956,144.484,136.079,0.385394,3.46632,64.8796,193.136,0.442933,0.43749,0.521945,429.99,193.545,650.616,116.882,24.3347,29.9101,0.445289,1.93813,4.80587,0.469985,0.395165,0.440687,203.683,3.27797,0.769093,11.6144,53.5533,0.391187,-2.10472,-3.41457,7.54307,-12.257,3.79854,19.1178,-0.944597,-3.41484,1.98743,-2.33535,0.857393,-1.77616,-0.14647,5.25726,-14.7822,-3.82324,-4.3912,-4.26072,1.60216,0.315065,0.976071,0.541496,2.83894,1.12842,-0.88401,-0.0172889,0.655082,-0.00745754,0.0356491,-0.0587168,-0.951022,0.363732,0.110131,0.370251,-0.00669483,0.0690175,-0.00893313
1.52,1017.82,420.048,93.0393,315.521,289.4,213.323,0.445092,0.214769,0.272646,12.2948,183.548,0.111711,0.114595,0.106073,0.123284,0.255392,297.864,0.210532,0.113663,131.385,50.1603,0.148848,1.89843,1.11766,0.17831,0.355887,3.5101,295.91,46.4264,54.2036,59.9855,0.366945,0.350265,0.318803,0.317873,0.311998,0.324902,125.539,396.745,637.129,205.107,549.816,79.4801,180.811,1.86659,0.73335,74.8321,47.9192,7.43413,0.617311,0.534033,0.525962,29.8931,102.356,0.736066,0.625734,0.613014,0.611161,0.627657,156.897,1.09751,0.59514,0.673477,0.828123,0.47755,243.257,233.664,0.737216,1.26389,0.647589,389.647,2.50099,2.41183,2.56339,486.303,229.089,829.487,207.476,46.1582,53.406,0.889293,1.69814,2.53216,0.739882,0.664508,0.798673,140.669,79.488,0.00750348,41.4009,0.938138,0.592827,17.1172,-141.019,-2.19376,-20.3726,14.3981,-22.3489,0.0848185,-30.7598,19.9642,-0.572791,13.7705,-34.8574,-3.27537,7.50493,-10.5328,4.64741,-1.40848,-6.20107,5.03244,0.547955,1.82956,0.57974,0.635501,2.77741,-1.53809,-0.115466,1.37122,-0.0421584,-0.011236,-0.215211,-1.6758,-1.17156,0.0840914,0.00626537,0.00713937,0.0552583,0.0500602
1.57,462.66,222.232,125.947,121.058,119.611,105.397,0.597459,0.307132,0.567821,3.52783,75.5128,0.125024,0.136512,0.218976,0.125757,0.268968,120.116,0.251065,0.133331,127.283,110.308,0.152918,0.770084,0.714175,0.180253,0.793784,31.3366,215.341,68.3197,73.463,92.5994,0.433692,0.383645,0.433486,0.433569,0.442706,0.455979,123.823,179.909,354.782,101.652,290.319,41.7911,4.06754,0.48497,0.891331,3.07505,0.738924,0.387843,0.453109,0.409904,0.462063,3.18988,12.4436,222.597,109.295,78.4051,48.8072,3.60898,34.0881,55.2856,16.0255,0.61823,0.582656,0.797582,213.591,213.779,2.96346,1.19334,0.724672,254.487,45.349,50.2671,56.1331,253.968,142.287,730.334,638.614,141.73,127.71,179.356,0.252337,0.197337,0.345506,0.498416,5.62826,170.982,114.465,0.526733,51.8707,1.82774,0.772586,23.0171,-93.9631,4.27129,-21.9815,-18.93,-19.2726,-2.53713,-14.0212,5.88597,1.42221,8.58504,-16.8209,-1.65935,5.78619,2.29617,6.15574,0.752761,-2.52265,24.3624,1.47374,1.6121,-0.64428,2.55924,2.50496,-1.8052,-0.0796007,1.29101,-0.04077,-0.0295786,-0.224168,-1.60546,-2.02122,-0.222135,0.125558,-0.0151241,-0.00349667,0.020474
1.63,1.00532,0.0355681,4.15397,1.21678,1.58281,2.31384,13.755,23.6292,55.4179,2.80145,0.584076,192.244,134.132,109.868,113.023,98.6955,0.44887,48.6192,48.0605,3.83969,35.2597,178.653,0.321906,1.62055,85.2744,13.4622,7.31275,51.4232,168.49,178.473,228.02,75.6835,116.006,418.074,1285.8,255.426,220.934,570.886,0.0892538,0.119548,0.0840853,0.0653776,42.2501,0.695418,1.77126,87.9942,0.862748,1.00556,2.62604,0.174831,10.8616,33.4228,3.73424,2.2886,422.018,257.081,234.724,182.364,115.075,0.7125,95.9759,80.1496,7.53891,18.4154,249.73,100.139,123.157,201.486,62.3645,97.5371,35.9032,49.2098,54.1515,63.6132,76.6547,118.675,550.069,1396.92,273.46,239.247,654.399,0.148116,0.164673,0.154952,0.325628,42.5477,218.993,191.523,1.04911,67.8236,3.10478,1.18344,3.09292,-5.86705,56.0023,18.6552,-44.9921,18.2909,-5.48277,-0.153856,-3.01549,-0.225246,-1.95492,46.3397,2.46994,1.11331,11.5536,-10.6055,-1.52123,0.159023,48.5383,2.73886,2.68181,-0.790994,2.77542,2.12618,-1.51485,-0.068776,1.07052,-0.0410124,-0.0354267,-0.186046,-0.959467,-2.40439,-0.423124,0.203277,-0.0220526,-0.0467319,0.0116125
1.68,711.608,290.199,188.67,189.373,185.253,157.476,0.269467,0.164165,0.220705,1.02849,137.856,0.0909447,0.0925984,0.0961916,0.108517,0.191101,253.054,0.182573,0.0934499,130.998,98.3694,0.130551,5.18029,2.79027,0.200777,0.65681,49.1127,488.369,101.508,108.492,154.026,0.375335,0.224604,0.6442,0.524469,0.46939,0.554766,40.5136,128.907,272.082,69.1477,178.574,22.6315,527.936,144.86,2.20691,158.284,132.547,77.6197,0.461223,0.229317,0.215559,30.6067,121.078,0.129561,0.124325,0.114352,0.120809,0.165369,212,0.297957,0.135778,1.40696,0.522703,0.105748,160.18,131.286,0.185158,0.450139,1.31315,349.343,7.53996,6.59398,8.96717,0.179689,0.191275,0.259874,0.19013,0.188063,0.196754,22.6526,300.383,605.537,186.685,383.621,29.7984,223.079,201.864,0.367197,59.9329,0.111448,0.231182,33.6477,14.7184,-22.3757,28.1232,-57.0597,15.2772,-0.961474,-25.7314,5.1943,-1.10968,2.62207,-11.1703,-1.01565,4.06476,-18.0633,9.59481,-1.23842,12.9863,-30.0672,-1.97506,1.50403,-1.72046,3.51418,1.71941,-0.858215,-0.0384114,0.789656,-0.0264049,-0.0101108,-0.120436,-0.557509,-2.63921,-0.516895,0.264171,-0.0225297,-0.0624527,-0.00417889
1.75,320.461,151.079,85.3342,89.8022,88.4245,75.7777,0.868766,0.353126,0.537222,7.81639,61.2819,0.195694,0.202221,0.205534,0.221762,0.371026,106.458,0.313606,0.235126,74.6008,72.1165,0.256487,1.8317,1.32637,0.3817,0.763648,22.7113,177.007,29.581,31.4378,45.1433,80.708,49.9526,159.14,245.134,52.5342,46.9401,69.8244,0.331658,0.511695,0.563597,0.921599,4.8349,0.502383,4.89793,32.024,0.914751,1.66348,4.79469,2.01657,2.01274,3.39655,3.96513,2.64962,67.601,36.3122,35.3152,21.3313,6.32228,3.07175,17.2256,11.9391,8.52583,12.766,34.575,45.3004,51.5131,65.2402,25.3784,35.4184,89.7927,38.9382,42.2033,48.3882,20.6512,28.3816,106.293,346.519,73.3739,64.3662,155.538,0.26955,0.248006,0.317556,2.51554,11.7459,71.8267,216.105,0.358523,0.17492,0.63665,0.670877,7.254,-24.4229,4.5971,21.5484,-53.6388,-2.30971,-0.956973,-11.8382,2.69702,0.479514,-0.599576,9.05126,0.54056,2.49839,1.69335,-4.37033,0.898453,-0.193169,12.6599,0.763678,1.72288,-0.847757,0.0322022,0.592962,0.422435,0.0298401,0.521253,-0.00676565,0.0527903,-0.0649694,-0.598063,-2.12208,-0.33994,0.262981,-0.0162767,-0.0309083,-0.00619368
