time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.047476,-0.0808854,0.0150796,-0.0662851,0.864951,2.59788,-0.210067,0.135052,-0.158486,-0.136473,0.19695,-2.33057e-07,0,0.467034,-0.129394,0.00699508,-0.248071,-0.0936199,7.39668e-08,0,-0.22805,0.0475853,0.045457,0.346929,-0.17181,0.12356,0.445489,1.71904,2.28105e-08,-8.85377e-08,-0.0970996,-0.18807,0.0337064,0.332554,1.34985,1.09851e-07,3.24736e-08
0.95,0.0617689,-0.0824314,0.00877761,-0.0590352,0.856658,2.58993,-0.282867,0.116289,-0.153971,-0.176626,0.205413,-1.13734e-07,0,0.441825,-0.124824,0.0135877,-0.183555,-0.10742,2.22873e-07,0,-0.23245,0.0522322,0.0503041,0.367389,-0.171762,0.142716,0.505035,1.71787,-2.63703e-08,2.27141e-08,-0.144473,-0.171593,0.0260189,0.283829,1.36294,1.8409e-07,-1.2358e-08
0.99,0.081078,-0.0680184,0.0039524,-0.0499085,0.853248,2.5812,-0.329422,0.080209,-0.132178,-0.24951,0.197443,-1.89184e-08,0,0.402617,-0.101,0.00969926,-0.218788,-0.127631,9.49037e-08,0,-0.239812,0.0407714,0.0478325,0.35391,-0.175954,0.155002,0.564177,1.71588,1.23262e-07,1.70601e-07,-0.175631,-0.160075,0.0168623,0.258285,1.37312,1.51119e-07,4.64811e-08
1.16,0.108096,0.0720141,-0.0513612,-0.0326007,0.875659,2.54756,0.0536932,-0.126998,-0.0220656,-1.09232,-0.187293,-9.9997e-07,0,0.177365,0.0871791,-0.0173474,-0.314475,-0.0595931,-3.69557e-08,0,-0.256605,-0.0985864,0.0280766,0.219731,-0.162128,0.122333,0.616802,1.66043,-1.15191e-07,1.57858e-07,-0.109234,-0.167876,-0.0264749,0.288936,1.4588,6.3178e-08,-5.19126e-09
1.38,0.0504619,0.114453,-0.0965316,-0.0451234,0.871576,2.54147,0.490882,-0.131013,-0.109983,-0.537963,0.0472404,-2.54791e-07,0,-0.152041,0.164655,-0.100873,-0.108055,0.0785124,6.66306e-08,0,-0.204408,-0.131552,-0.00112923,0.0417217,-0.194056,0.0596301,0.388969,1.62476,-9.02555e-08,-1.30681e-07,0.216085,-0.290044,0.0357733,0.520315,1.53688,-2.74533e-07,1.07237e-07
1.52,0.0510467,0.113953,-0.0465564,-0.0360433,0.853065,2.55842,0.422927,-0.107962,-0.17319,-0.148664,-0.0596175,2.24371e-07,0,-0.302936,0.129961,-0.0286763,-0.211063,0.11289,-1.77654e-07,0,-0.205703,-0.120887,0.00795687,-0.0758509,-0.174539,-0.0084378,0.17484,1.59545,7.916e-08,1.42493e-07,0.363762,-0.287586,0.0848564,0.640735,1.57362,1.19775e-07,2.68358e-08
1.57,0.0696223,0.0698307,-0.0212826,-0.0240376,0.854417,2.56819,0.381875,-0.0680713,-0.16338,-0.251735,-0.0986706,2.31439e-07,0,-0.323801,0.0643033,0.0132008,-0.341331,0.0225102,-5.84414e-08,0,-0.213843,-0.0708394,0.00361397,-0.090124,-0.165278,-0.0129502,0.121112,1.60193,-1.76822e-09,4.78022e-07,0.329736,-0.275217,0.0850644,0.693502,1.58272,6.31289e-08,2.79013e-07
1.63,0.0903477,-0.00907626,0.0097788,-0.0152575,0.863924,2.58014,0.306952,0.0177285,-0.161249,-0.322289,-0.0917317,3.4746e-08,0,-0.220882,-0.0330605,0.0425408,-0.654283,-0.240462,1.53898e-07,0,-0.23127,0.0158144,-0.000180914,-0.0709459,-0.164726,-0.0093415,0.112302,1.6248,6.26607e-08,9.7083e-08,0.250192,-0.251816,0.057396,0.756711,1.59646,-6.69284e-08,-9.4669e-08
1.68,0.0873421,-0.0585042,0.0371849,-0.0163858,0.87287,2.58842,0.230971,0.0809502,-0.177465,-0.299464,-0.0431492,-1.6122e-08,0,-0.0365571,-0.0839274,0.0639739,-0.946679,-0.394941,-2.59886e-07,0,-0.234086,0.069707,-0.0040689,-0.0248359,-0.16959,-0.00702466,0.14544,1.63967,1.76126e-07,-4.56773e-08,0.18801,-0.22886,0.0379612,0.771198,1.60763,8.91876e-08,-1.90628e-07
1.75,0.0657436,-0.0792872,0.081536,-0.0256518,0.881415,2.59672,0.129027,0.118315,-0.224407,-0.229891,0.0133124,-1.05921e-07,0,0.231833,-0.0796362,0.107142,-1.15005,-0.304138,-7.65457e-07,0,-0.22558,0.0921374,-0.0089828,0.0707191,-0.176776,-0.00395258,0.208326,1.64863,2.15681e-07,-3.80946e-07,0.12389,-0.210416,0.0451564,0.727739,1.62047,-3.20707e-08,2.22253e-07
