time,ground_pelvis_on_pelvis_in_ground_fx,ground_pelvis_on_pelvis_in_ground_fy,ground_pelvis_on_pelvis_in_ground_fz,ground_pelvis_on_pelvis_in_ground_mx,ground_pelvis_on_pelvis_in_ground_my,ground_pelvis_on_pelvis_in_ground_mz,hip_r_on_femur_r_in_ground_fx,hip_r_on_femur_r_in_ground_fy,hip_r_on_femur_r_in_ground_fz,hip_r_on_femur_r_in_ground_mx,hip_r_on_femur_r_in_ground_my,hip_r_on_femur_r_in_ground_mz,knee_r_on_tibia_r_in_ground_fx,knee_r_on_tibia_r_in_ground_fy,knee_r_on_tibia_r_in_ground_fz,knee_r_on_tibia_r_in_ground_mx,knee_r_on_tibia_r_in_ground_my,knee_r_on_tibia_r_in_ground_mz,ankle_r_on_talus_r_in_ground_fx,ankle_r_on_talus_r_in_ground_fy,ankle_r_on_talus_r_in_ground_fz,ankle_r_on_talus_r_in_ground_mx,ankle_r_on_talus_r_in_ground_my,ankle_r_on_talus_r_in_ground_mz,subtalar_r_on_calcn_r_in_ground_fx,subtalar_r_on_calcn_r_in_ground_fy,subtalar_r_on_calcn_r_in_ground_fz,subtalar_r_on_calcn_r_in_ground_mx,subtalar_r_on_calcn_r_in_ground_my,subtalar_r_on_calcn_r_in_ground_mz,mtp_r_on_toes_r_in_ground_fx,mtp_r_on_toes_r_in_ground_fy,mtp_r_on_toes_r_in_ground_fz,mtp_r_on_toes_r_in_ground_mx,mtp_r_on_toes_r_in_ground_my,mtp_r_on_toes_r_in_ground_mz,hip_l_on_femur_l_in_ground_fx,hip_l_on_femur_l_in_ground_fy,hip_l_on_femur_l_in_ground_fz,hip_l_on_femur_l_in_ground_mx,hip_l_on_femur_l_in_ground_my,hip_l_on_femur_l_in_ground_mz,knee_l_on_tibia_l_in_ground_fx,knee_l_on_tibia_l_in_ground_fy,knee_l_on_tibia_l_in_ground_fz,knee_l_on_tibia_l_in_ground_mx,knee_l_on_tibia_l_in_ground_my,knee_l_on_tibia_l_in_ground_mz,ankle_l_on_talus_l_in_ground_fx,ankle_l_on_talus_l_in_ground_fy,ankle_l_on_talus_l_in_ground_fz,ankle_l_on_talus_l_in_ground_mx,ankle_l_on_talus_l_in_ground_my,ankle_l_on_talus_l_in_ground_mz,subtalar_l_on_calcn_l_in_ground_fx,subtalar_l_on_calcn_l_in_ground_fy,subtalar_l_on_calcn_l_in_ground_fz,subtalar_l_on_calcn_l_in_ground_mx,subtalar_l_on_calcn_l_in_ground_my,subtalar_l_on_calcn_l_in_ground_mz,mtp_l_on_toes_l_in_ground_fx,mtp_l_on_toes_l_in_ground_fy,mtp_l_on_toes_l_in_ground_fz,mtp_l_on_toes_l_in_ground_mx,mtp_l_on_toes_l_in_ground_my,mtp_l_on_toes_l_in_ground_mz,back_on_torso_in_ground_fx,back_on_torso_in_ground_fy,back_on_torso_in_ground_fz,back_on_torso_in_ground_mx,back_on_torso_in_ground_my,back_on_torso_in_ground_mz,acromial_r_on_humerus_r_in_ground_fx,acromial_r_on_humerus_r_in_ground_fy,acromial_r_on_humerus_r_in_ground_fz,acromial_r_on_humerus_r_in_ground_mx,acromial_r_on_humerus_r_in_ground_my,acromial_r_on_humerus_r_in_ground_mz,elbow_r_on_ulna_r_in_ground_fx,elbow_r_on_ulna_r_in_ground_fy,elbow_r_on_ulna_r_in_ground_fz,elbow_r_on_ulna_r_in_ground_mx,elbow_r_on_ulna_r_in_ground_my,elbow_r_on_ulna_r_in_ground_mz,radioulnar_r_on_radius_r_in_ground_fx,radioulnar_r_on_radius_r_in_ground_fy,radioulnar_r_on_radius_r_in_ground_fz,radioulnar_r_on_radius_r_in_ground_mx,radioulnar_r_on_radius_r_in_ground_my,radioulnar_r_on_radius_r_in_ground_mz,radius_hand_r_on_hand_r_in_ground_fx,radius_hand_r_on_hand_r_in_ground_fy,radius_hand_r_on_hand_r_in_ground_fz,radius_hand_r_on_hand_r_in_ground_mx,radius_hand_r_on_hand_r_in_ground_my,radius_hand_r_on_hand_r_in_ground_mz,acromial_l_on_humerus_l_in_ground_fx,acromial_l_on_humerus_l_in_ground_fy,acromial_l_on_humerus_l_in_ground_fz,acromial_l_on_humerus_l_in_ground_mx,acromial_l_on_humerus_l_in_ground_my,acromial_l_on_humerus_l_in_ground_mz,elbow_l_on_ulna_l_in_ground_fx,elbow_l_on_ulna_l_in_ground_fy,elbow_l_on_ulna_l_in_ground_fz,elbow_l_on_ulna_l_in_ground_mx,elbow_l_on_ulna_l_in_ground_my,elbow_l_on_ulna_l_in_ground_mz,radioulnar_l_on_radius_l_in_ground_fx,radioulnar_l_on_radius_l_in_ground_fy,radioulnar_l_on_radius_l_in_ground_fz,radioulnar_l_on_radius_l_in_ground_mx,radioulnar_l_on_radius_l_in_ground_my,radioulnar_l_on_radius_l_in_ground_mz,radius_hand_l_on_hand_l_in_ground_fx,radius_hand_l_on_hand_l_in_ground_fy,radius_hand_l_on_hand_l_in_ground_fz,radius_hand_l_on_hand_l_in_ground_mx,radius_hand_l_on_hand_l_in_ground_my,radius_hand_l_on_hand_l_in_ground_mz
0.9,-2.84217e-14,3.87246e-13,-3.55271e-15,0,1.77636e-15,-4.26326e-14,-458.968,-1267.62,227.597,3.90768e-14,4.25905e-15,-1.12496e-14,-414.929,-1777.52,-62.5921,-4.06889,6.37773,2.26772,-637.123,-2598.25,-56.6062,14.1838,-2.47223,4.31542,-638.08,-2601.04,-55.9543,18.43,-1.11632,-101.936,132.24,-21.9374,59.4491,-0.459373,-0.900198,1.42334,160.472,-1910.41,-484.96,-5.49996e-14,-5.81506e-14,-2.16743e-14,224.761,-621.654,-66.3351,56.52,-0.240099,-1.69694,479.848,-505.931,-30.7537,37.26,-14.0231,-2.38888,481.582,-504.987,-29.9229,39.2127,-9.69915,-42.8937,119.418,-2.08236,-30.8493,-0.0515781,-1.63864,-0.722337,-109.428,404.035,-146.611,3.18725e-13,-1.98793e-14,1.59525e-13,-2.60034,1.20699,-3.26274,1.56206e-15,5.94446e-17,5.66877e-16,0.0511802,1.52571,0.568789,-0.246834,-0.10106,0.126215,0.110852,1.20146,0.677901,-0.19388,-0.110749,0.110239,-0.120384,0.540155,0.6229,-0.0484697,-0.0216491,0.0102157,3.70576,19.4199,-0.355905,5.77546e-15,-5.04577e-16,1.49382e-15,1.59872,8.6297,1.9732,-0.176493,0.0151829,-0.0460864,0.270529,5.62714,1.411,-0.264695,0.0141399,-0.138401,-0.707369,2.51134,0.70156,-0.0496958,0.00608343,-0.0660429
0.95,0,2.84217e-14,7.10543e-15,-1.42109e-14,-7.10543e-15,1.42109e-14,-642.684,-1496.67,177.211,-3.58146e-14,1.80333e-14,-7.29997e-15,-587.562,-1938.22,-60.2667,-4.70512,8.11738,1.04023,-905.48,-2632.47,-33.2346,9.5776,-1.27024,3.21276,-905.936,-2634.93,-31.8906,14.3653,-1.3746,-107.335,134.977,-27.7072,63.092,-0.594801,-1.06448,1.89943,316.688,-1446.78,-424.077,-5.80177e-14,-4.34408e-14,4.00461e-15,218.757,-600.254,-63.507,32.5129,20.0504,1.0138,512.518,-489.695,-13.2997,13.1437,6.8521,-2.44719,513.17,-488.964,-11.1127,16.0663,11.3367,-43.5245,120.859,2.21389,-21.4311,0.131964,-1.83664,-0.773571,-42.1821,490.811,-138.709,-9.17999e-14,2.67017e-14,1.52423e-13,-3.0715,10.6337,-4.08724,-1.98639e-16,9.72347e-16,4.20016e-16,-1.80735,4.70467,0.0217995,-0.16136,-0.079631,0.0890239,-1.31835,3.03051,0.312676,-0.0903127,-0.0634001,0.0293473,-0.930279,1.10102,0.475438,-0.0307761,-0.0155376,-0.0185288,7.64748,28.6043,0.625666,-2.48883e-16,1.38173e-16,3.25266e-16,2.85699,12.6814,2.4219,-0.159076,0.0261475,-0.039896,1.03544,8.19886,1.69974,-0.306167,0.0400964,-0.132534,-0.449295,3.59635,0.841596,-0.0584985,0.011733,-0.0705519
0.99,-7.10543e-15,5.68434e-14,-2.84217e-14,-2.84217e-14,-2.84217e-14,-7.10543e-15,-1834.01,-3841.09,2106.11,-4.90826e-13,1.17437e-13,-3.03301e-14,-783.677,-2458.61,-116.118,250.561,-33.2612,39.9149,-2974.29,-9943.33,335.501,154.372,-33.1181,49.3828,-2976.68,-9946.97,338.064,171.065,-53.6604,-422.637,1129.05,-573.962,541.015,-6.38442,-6.405,5.50322,991.936,-2595.47,-2047.47,3.92553e-14,5.45654e-14,2.61599e-14,257.791,-591.638,-71.7864,-131.926,-8.63296,5.45351,1519.04,-2970.52,-343.05,-99.0564,14.1195,6.85878,1519.99,-2971.15,-339.367,-91.916,39.0657,-174.39,608.753,-20.579,-135.458,1.24196,3.70291,2.03833,186.438,586.433,-214.814,-2.38966e-13,1.37095e-13,-2.49774e-13,-1.19768,19.7055,-6.14447,-6.62358e-16,-7.12354e-16,3.88644e-16,-4.21503,7.51752,-0.0859219,-0.104865,-0.0586086,0.0610166,-2.96291,4.68461,0.189052,-0.0092901,-0.00573845,-0.0219721,-1.68503,1.69043,0.377354,-0.0152529,-0.00578763,-0.0342979,19.8551,58.7646,1.47642,-4.0364e-16,3.6143e-16,-5.21847e-16,6.00589,26.4108,4.71378,-0.337175,0.0757391,-0.0817259,2.58273,16.9673,3.42078,-0.658082,0.109031,-0.206089,-0.270519,7.37678,1.85121,-0.133074,0.0314769,-0.111745
1.16,0,1.7053e-13,1.24345e-14,2.22045e-16,-8.88178e-16,-1.77636e-14,-139.219,-1565.15,1010.94,-3.55277e-15,-5.33103e-16,-2.58696e-14,86.2258,-646.018,22.8004,41.5494,-5.75999,6.20359,-3056.49,-3057.1,78.7355,13.8231,16.2597,3.6903,-3058.2,-3055.52,77.2522,4.41908,19.533,-231.88,101.595,-469.791,97.0005,0.637497,0.502933,-3.2322,202.114,-1607.53,-599.666,-8.27585e-16,3.45609e-15,-6.93656e-14,381.836,-1470.91,58.7915,-19.8762,3.50566,-2.10306,452.24,-2315.49,-131.195,-22.7034,14.4608,-1.26901,452.181,-2316.51,-130.28,-5.24438,25.0071,-125.602,199.105,-57.158,-27.6998,0.617852,1.03518,0.284416,71.3844,847.633,-20.9657,-2.56737e-15,4.72114e-17,2.82923e-16,-0.785466,35.5334,-4.74523,1.81586e-15,3.75541e-16,-7.44563e-16,-4.7011,13.0706,-1.67885,0.0317447,0.0319117,-0.0187119,-4.26498,7.71505,-0.725441,0.121905,0.0948039,-0.250198,-3.14305,2.37772,0.242576,-0.00684671,0.00679086,-0.125447,9.81339,39.7914,5.71349,1.76559e-16,-9.80895e-17,-1.35821e-16,2.49468,18.4249,2.64506,0.0974581,-0.0163031,0.022585,0.899197,11.9291,1.61927,-0.160288,0.0108527,-0.0630001,-0.539336,5.22533,0.576488,-0.024202,0.00413182,-0.0653996
1.38,0,2.59348e-13,2.13163e-14,-3.55271e-15,-8.88178e-16,-1.77636e-14,22.8261,-455.257,110.945,-8.46444e-16,9.10563e-17,-2.14497e-14,65.5473,-217.394,21.363,-11.2603,1.35055,-1.18399,45.3187,-123.742,13.2182,-3.81565,2.2008,-0.891187,46.1548,-124.997,12.6101,-2.54081,1.91398,-8.00583,34.5507,-6.62166,17.4138,0.103807,0.309652,-0.227613,-343.545,-1654.79,-486.469,5.44429e-16,1.61847e-15,-1.65002e-14,-281.767,-1622.41,1.1013,19.7848,4.72755,2.3673,-370.744,-1929.58,-11.6263,-8.55004,12.4102,-0.813537,-371.159,-1930.84,-11.6866,-0.203102,11.3122,-85.2624,54.8567,-4.74375,-12.4437,0.0520002,0.482241,0.877828,-41.6706,446.236,31.0106,1.8522e-14,-3.85711e-15,-6.92402e-14,1.95008,17.5795,-2.41554,-1.68764e-16,2.33794e-17,3.52514e-18,-0.25474,8.15931,-1.62943,0.0261296,0.00652241,-0.00780896,-0.705508,5.29032,-1.05463,0.12888,0.0163711,-0.0790402,-0.96672,2.30806,-0.40961,0.0198021,-0.000566816,-0.0489183,-1.78167,18.6651,4.84395,3.20838e-16,1.01798e-16,6.72543e-18,-2.37179,8.00155,1.80895,0.0382348,0.00468804,0.0146745,-2.20872,4.99561,0.930594,-0.0441996,-0.0143923,-0.104464,-1.79558,1.87083,0.0729364,0.00686628,0.00645977,-0.064173
1.52,2.13163e-14,-3.41061e-13,-3.55271e-14,2.84217e-14,3.55271e-15,3.55271e-14,-377.035,-3365.72,421.111,3.92077e-14,-1.76415e-14,1.20606e-14,487.118,-1073.02,-27.3534,-113.763,9.98534,-29.7169,1423.76,-1556.59,148.067,-91.8959,33.2679,-17.2852,1421.74,-1556.64,145.775,-76.7232,35.7108,-136.318,581.488,-10.9047,246.892,0.188334,6.27857,-5.46623,-614.142,-1204.16,-310.015,1.23281e-13,-1.32545e-14,6.4364e-17,-583.521,-1651.29,3.53155,3.62293,-7.98757,1.25184,-940.518,-2136.88,-46.3423,-4.3036,-2.07038,1.07897,-942.051,-2140.62,-48.302,6.90942,-4.93943,-97.9099,92.5436,-32.2407,-24.0518,0.292837,0.75003,1.24376,63.012,543.779,278.717,3.11165e-14,-1.46728e-14,1.21712e-13,12.1157,56.4411,-1.36644,2.96033e-15,-2.58429e-17,9.86285e-16,4.12255,25.0071,-6.43828,0.562654,-0.115814,-0.125785,1.76817,15.9214,-4.78503,0.859918,-0.128792,-0.177537,-0.175835,6.8756,-2.81346,0.183496,-0.0448003,-0.086392,-1.02348,6.96728,6.3125,-1.48826e-15,1.06473e-16,6.51398e-17,-1.75328,3.25645,-0.397274,0.212532,0.133163,0.110929,-1.04982,2.25296,-0.530009,0.13027,0.116475,0.0930979,-0.666503,0.800381,-0.464686,0.0320817,0.023136,-0.00107525
1.57,4.26326e-14,1.42109e-13,7.10543e-15,4.26326e-14,5.32907e-15,-3.55271e-14,-4.94106,-2129.16,326.73,-9.45721e-14,3.98896e-15,1.78872e-14,408.413,-982.814,-18.8342,-52.1302,-1.55133,-11.0573,736.679,-1265.86,24.0265,-28.4291,9.10174,-5.12723,735.551,-1266.39,22.4512,-23.0113,10.5909,-86.9349,311.045,-56.7359,106.36,0.393359,3.38807,-2.94428,-563.103,-953.988,-435.43,-1.70351e-13,-3.25931e-15,2.76102e-14,-338.048,-1002.09,10.0341,-40.4875,1.67732,0.575481,-1110.08,-2209.05,-126.509,-25.2283,-0.734362,4.47659,-1111.75,-2211.48,-127.912,-8.77136,-2.23906,-114.661,204.302,-168.937,-58.388,1.17436,0.965739,1.70585,62.956,709.914,198.928,2.0549e-13,9.28683e-15,4.81729e-15,12.113,58.7289,-3.18184,-1.97054e-16,3.23557e-16,1.32327e-16,4.99219,26.0092,-5.95414,0.368018,-0.0959628,-0.0822535,2.69181,16.5107,-4.30593,0.704406,-0.134636,-0.0830472,0.583269,7.08045,-2.46865,0.151189,-0.0430563,-0.0545554,-2.45063,20.8451,7.7725,-4.36225e-15,-1.81125e-15,-6.34687e-16,-4.01151,7.29196,1.05673,0.111385,0.0644222,0.0547485,-3.07334,4.28207,0.301459,0.0312641,0.0334966,-0.0769697,-1.98561,1.09263,-0.330424,0.0236358,0.0180823,-0.0653589
1.63,-1.42109e-14,5.68434e-14,8.52651e-14,-1.59872e-14,7.10543e-15,-8.16014e-15,395.18,-1338.78,544.48,-5.67137e-15,-7.58434e-15,-3.29531e-15,485.966,-1384.25,-59.5055,65.4494,22.6823,10.9617,860.943,-3416.63,108.771,51.2236,7.37386,13.8737,861.47,-3417.94,108.867,58.7587,3.30035,-173.156,476.868,-94.5649,158.047,-1.48671,-3.26651,1.81019,-174.483,-1426.79,-1263.4,1.97446e-16,5.08912e-16,9.19666e-15,-155.773,-449.6,5.79867,-87.111,29.4178,-1.21027,-1963.74,-2669.55,-305.251,-52.0645,4.41434,8.32203,-1965.4,-2669.87,-304.749,-19.5194,1.34322,-173.874,212.578,-497.485,-91.5425,3.41653,0.75598,2.61252,-56.7169,688.982,-23.6514,4.04188e-14,3.91054e-14,2.1369e-14,2.30931,18.2561,-4.15761,1.23855e-15,-2.3075e-16,-7.5387e-16,1.69268,8.47994,-1.03609,-0.199152,0.0452764,0.0473468,1.03949,5.48491,-0.516468,-0.0546459,0.0143062,0.0415996,0.366542,2.41879,-0.0375264,-0.0161956,0.00450718,-0.00322987,-2.54811,22.7595,4.03713,-6.0466e-16,-3.25826e-16,4.81688e-16,-2.99377,7.18617,1.92082,-0.0269008,-0.0339386,-0.0179917,-2.86959,3.83609,0.901165,-0.0515479,-0.048675,-0.212798,-2.13524,0.64984,-0.143404,0.0134296,0.00814379,-0.102572
1.68,0,7.10543e-14,-3.90799e-14,3.55271e-15,0,0,-9.24489,-3013.02,797.757,5.15921e-14,8.54849e-15,-2.28779e-14,427.07,-1727.75,-89.2462,-53.3507,2.43389,-6.80445,438.166,-1215.6,12.4944,-16.0228,5.89256,-2.04889,437.495,-1217.03,12.126,-15.242,5.29386,-73.5899,188.598,-51.6195,47.4921,0.440536,2.16228,-1.41411,-457.175,-1866.76,-389.874,-8.38088e-14,3.19451e-14,9.9216e-14,-149.829,-710.123,6.69036,52.3066,-9.80471,4.35196,-788.841,-1294.16,66.6635,32.1794,-3.66536,-5.69011,-791.786,-1291.58,66.2119,43.1624,-14.9147,-92.6604,24.6331,-413.852,-47.4666,-4.49659,-0.955183,-3.63827,69.4343,869.617,-14.275,-3.28703e-15,4.73853e-15,9.73712e-14,6.65487,43.2646,-6.53172,1.5127e-16,-1.17011e-16,-4.52062e-16,2.13177,20.0434,-3.35515,-0.0902048,0.0112112,0.0234145,1.17687,12.876,-2.18062,0.212715,-0.0158004,0.0176294,0.244637,5.65252,-0.98093,0.0407897,-0.00738922,-0.0227397,0.292267,38.9683,7.10195,1.6115e-16,-5.56929e-16,2.94941e-16,-4.8807,12.6715,2.76139,-0.0244922,-0.0390065,-0.016889,-4.70354,7.01222,1.30767,-0.0930906,-0.0810236,-0.322158,-3.59467,1.50567,-0.190781,0.017268,0.00677531,-0.163539
1.75,-8.88178e-16,-1.42109e-14,-1.77636e-15,-3.55271e-15,-3.10862e-15,4.44089e-15,-69.2686,-1622.68,391.155,1.03436e-15,3.53228e-16,1.00563e-14,81.566,-1054.96,-18.8062,-13.4785,3.20085,-0.994162,77.7336,-1192.09,36.339,11.4218,-0.923691,2.56536,77.7999,-1192.64,36.4158,14.1328,-2.49386,-55.2245,96.5417,-18.9013,33.5358,-0.287123,-0.630412,0.517074,62.8282,-321.17,-315.361,-7.63326e-14,1.04159e-14,-1.08057e-14,35.4746,-262.406,-5.58062,-19.8839,-0.372968,0.282446,-516.373,-609.034,-74.8575,-15.7199,-2.03217,3.18421,-517.019,-608.556,-74.1706,-8.74259,-2.44587,-41.8444,40.1471,-143.367,-27.3235,0.983252,0.131715,0.756868,-26.3693,528.8,29.4064,3.19853e-15,-1.48551e-15,-2.35248e-14,1.50162,29.9157,-3.84112,5.32266e-16,-7.19081e-18,2.37852e-16,0.0476001,14.1424,-2.60191,0.00607607,0.00123573,-0.00208257,-0.370572,9.15045,-1.70688,0.203612,0.00573547,-0.0526,-0.680169,4.05522,-0.757823,0.0366445,-0.00351142,-0.0422382,1.02478,19.6297,3.93481,3.28143e-16,-5.32144e-17,2.41625e-16,-1.81566,7.26418,1.18945,0.0346501,0.00185471,0.00880361,-2.03673,4.3208,0.522103,-0.0297603,-0.0177476,-0.140054,-1.90073,1.26677,-0.123488,0.0106643,0.0036078,-0.0838061
