time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
4.18,0.0299814,-0.0219119,0.60436,7.36114,21.2094,-4.02141,0,1.64237,0
4.23,0.123236,-0.0219119,1.9682,-20.2834,223.052,-0.110716,0,-0.472693,0
4.34,0.0960053,-0.0219119,2.47484,-80.232,586.873,46.6172,0,-17.148,0
4.47,-0.00329796,-0.0219119,2.50425,-21.4124,490.696,40.844,0,-8.51693,0
4.5,-0.0190875,-0.0219119,2.47538,-21.5777,484.299,40.6318,0,-8.72958,0
4.53,-0.0381114,-0.0219119,2.45463,-20.0356,495.107,41.9559,0,-8.89338,0
4.58,-0.069094,-0.0219119,2.46703,-7.22649,546.85,44.4279,0,-7.17302,0
4.61,-0.0944192,-0.0219119,2.47602,10.2539,584.601,42.5057,0,-3.60375,0
4.64,-0.126887,-0.0219119,2.47486,30.3133,614.665,40.6623,0,0.409808,0
4.68,-0.166827,-0.0219119,2.4681,58.6538,649.709,48.05,0,3.43244,0
4.72,-0.200873,-0.0219119,2.46586,97.558,642.203,53.066,0,7.43281,0
4.79,-0.241247,-0.0219119,2.12299,82.6342,316.649,19.3111,0,7.77463,0
4.84,-0.0976729,-0.0219119,0.751342,22.6678,54.6365,-1.31699,0,2.6896,0
4.89,0.009385,-0.0219119,-0.100435,-7.0085,-25.0654,-2.38165,0,-0.621551,0
4.96,0.00137353,-0.0219119,0.00373446,2.13668,10.4105,1.53625,0,0.121238,0
5.02,-0.00688125,-0.0219119,0.0452293,0.999134,-0.698406,-0.739932,0,0.182504,0
5.06,0.00295104,-0.0219119,-0.0292001,-1.60922,-5.48298,-0.431856,0,-0.149221,0
5.09,0.00431036,-0.0219119,-0.033434,-0.983681,-1.83303,0.174929,0,-0.125757,0
5.13,-0.00024174,-0.0219119,0.00363,0.630556,2.12588,0.267558,0,0.0538234,0
5.17,-0.0259862,-0.0219119,-0.334407,-1.03612,-23.099,0.620136,0,-0.400709,0
5.2,0.00042722,-0.0219119,0.114181,4.47275,-20.8202,-0.682395,0,0.162127,0
5.24,0.078314,-0.0219119,1.17123,6.44972,80.8082,-4.13275,0,2.26037,0
5.29,0.168215,-0.0219119,2.36288,-35.7578,294.205,7.99003,0,-2.96286,0
5.4,0.0983118,-0.0219119,2.41927,-74.1987,597.303,44.7574,0,-16.153,0
5.61,-0.042499,-0.0219119,2.45812,-10.1422,526.876,41.6724,0,-6.93922,0
5.7,-0.126736,-0.0219119,2.47393,37.5899,629.501,40.8944,0,0.879348,0
5.74,-0.164368,-0.0219119,2.47111,58.6804,648.705,47.7816,0,2.8983,0
5.79,-0.214287,-0.0219119,2.47094,96.6848,595.04,49.5017,0,7.19286,0
5.86,-0.210807,-0.0219119,1.87114,63.5989,232.407,16.7855,0,4.95384,0
5.93,-0.0180265,-0.0219119,0.12471,-0.985339,-13.3246,-2.80986,0,-0.0849872,0
6.04,-0.00744529,-0.0219119,0.0636894,3.29201,9.41529,0.807224,0,0.286431,0
6.09,-0.00374795,-0.0219119,0.0241161,-0.0148556,-2.94432,-0.629569,0,0.0135583,0
6.14,0.00444235,-0.0219119,-0.0377545,-1.23954,-2.95693,-0.0959275,0,-0.105256,0
6.17,0.00201499,-0.0219119,-0.0157145,-0.0334251,0.754264,0.242882,0,-0.00197734,0
6.2,-0.0012843,-0.0219119,0.0104603,0.696398,1.81368,0.180802,0,0.0629148,0
6.24,-0.0230604,-0.0219119,-0.394974,-1.71783,-23.4079,0.910307,0,-0.490099,0
6.28,0.00214605,-0.0219119,0.108048,7.18282,-21.9751,-2.04291,0,0.793706,0
6.31,0.0565557,-0.0219119,0.890552,4.8894,66.587,-4.67986,0,1.91353,0
6.37,0.159436,-0.0219119,2.38275,-54.3425,366.44,9.49685,0,-3.8104,0
6.43,0.137158,-0.0219119,2.63352,-89.1637,580.228,27.6913,0,-8.3383,0
6.49,0.0541109,-0.0219119,2.42124,-51.0976,572.813,43.6452,0,-10.4573,0
6.55,0.016759,-0.0219119,2.5081,-20.577,505.885,40.5006,0,-7.94903,0
6.6,-0.00733616,-0.0219119,2.51075,-17.7998,488.417,36.6817,0,-6.28817,0
6.64,-0.0327191,-0.0219119,2.46996,-14.0254,507.473,37.7762,0,-5.80928,0
6.67,-0.0529378,-0.0219119,2.46492,-7.32911,536.806,40.058,0,-5.61034,0
6.7,-0.0768082,-0.0219119,2.47723,5.54716,572.034,41.8507,0,-4.54433,0
