time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.991245,2.69985,1.09408,1.28376,0.449263,-1.77438,12.549,-9.30727,-1.39142,-26.7222,-14.7704,0.00010456,0,-5.04087,9.05511,10.858,-75.2447,-0.0146732,-9.69062e-05,0,0.813973,-0.97156,-5.89052,-11.5698,0.984509,-6.61518,2.85739,-0.578429,-3.66139e-05,0.000120918,1.53018,0.910627,6.37897,12.2144,-5.01551,-2.81187e-06,-3.14533e-05
0.95,3.40873,10.9035,-1.41096,1.60443,2.3668,-1.18536,14.9582,-14.0389,10.4707,-31.6059,-18.7954,-1.8425e-06,0,-11.1569,13.2018,-2.95788,-46.4298,-0.923663,-0.000127549,0,-1.72993,-11.1705,-2.45063,-18.0905,-1.53842,-3.2182,4.54097,-1.59761,7.22589e-05,-1.52154e-06,6.41681,-1.48295,-3.102,8.50465,1.09465,-3.70796e-05,3.59248e-05
0.99,-0.315099,14.0365,-3.66156,-0.3658,3.04269,-0.418102,35.0134,-15.5052,8.3744,-48.3691,-42.8214,-0.000111522,0,-4.53412,15.0061,-2.10622,-14.9616,4.75498,8.75031e-06,0,-1.59305,-15.6002,1.39202,-13.7486,0.0612622,-5.83764,-2.46574,-4.94124,-0.000102733,-0.000177023,14.3809,-2.9544,-4.43459,5.82197,5.70759,-3.37763e-05,1.83303e-07
1.16,-3.13973,-5.41985,-3.12657,-0.597634,-1.42633,1.38423,-9.47758,12.5042,-0.750958,71.1364,51.4924,0.00024624,0,-1.25206,-7.17425,-8.53073,11.4362,-7.83023,-6.55867e-05,0,4.66006,5.11671,4.91498,-1.89585,-4.72479,4.98332,-5.7457,3.18709,-3.61334e-05,-2.39009e-05,6.07176,-3.0996,2.75085,3.43119,-0.734619,8.67852e-06,5.83133e-05
1.38,0.428985,-1.67283,1.21058,0.860979,-0.0212529,1.57322,-12.1228,6.09854,2.58238,-15.1323,-11.7545,-8.84759e-05,0,5.08721,-6.16372,3.5685,-13.4013,-5.36104,-0.000106784,0,-0.102614,0.525555,6.51767,0.0805622,4.94612,1.61556,-7.30691,0.418118,2.11053e-05,-1.0828e-05,-3.53597,7.60655,-1.25637,-3.61216,-0.955703,0.00013383,-1.36807e-05
1.52,4.81362,-10.76,-1.47972,1.65849,2.88342,0.64636,-5.44493,8.34173,-3.80234,-30.7983,0.147919,-8.86311e-05,0,15.7806,-8.98824,1.15595,-29.1372,-30.3534,4.8825e-05,0,-2.21067,10.7431,-0.000458445,8.30917,-0.594978,3.24792,11.6831,4.22704,-4.0252e-05,-5.0589e-05,-24.1246,1.88798,-4.07628,2.02128,0.195397,-0.000125162,1.33912e-05
1.57,-0.870629,-6.42586,0.0904961,-2.31468,2.59383,-0.0613432,-8.36019,10.2293,-6.15882,22.4121,16.4744,-0.000119959,0,43.5502,-3.23136,-7.42802,-48.0049,-41.9117,-7.96268e-06,0,-2.99267,6.4714,1.26884,12.9851,-3.36556,2.6942,19.3711,4.36471,5.32289e-05,-0.000246002,-10.9276,3.07071,-7.90595,-1.53751,0.912227,-2.13611e-06,-0.000182796
1.63,-7.98375,9.39146,0.5853,-3.56949,0.0339611,-0.853643,-4.74437,-6.66977,-5.90914,30.6202,15.2257,-2.129e-05,0,34.6756,15.4935,-1.00767,0.818908,40.0534,-0.000202434,0,4.20948,-10.3116,0.592343,12.2455,-1.99649,-0.206084,14.7424,-2.34022,2.45539e-05,0.00012547,4.42138,0.912427,3.12674,-17.0911,-0.434187,0.000106196,0.000169887
1.68,-4.88145,13.274,1.22264,-1.89389,-1.26322,-0.84946,1.07286,-14.041,-6.03643,9.56432,-2.90079,-2.15254e-05,0,0.854463,19.7686,3.46392,59.6548,85.5337,-1.35616e-05,0,4.02518,-14.7431,0.579338,7.7255,0.352495,-0.0440689,3.89755,-3.53004,-2.39897e-05,6.73994e-05,6.44158,-3.6153,9.47863,-18.2919,-0.837695,-2.8272e-05,0.000202271
1.75,0.86976,3.28291,-12.2033,0.646323,-1.38479,0.379661,2.68811,-2.66306,3.79176,-4.68993,-7.41315,5.00294e-05,0,-26.4923,-2.81707,-16.0973,78.6199,9.44908,0.000174139,0,0.288493,-6.32038,6.62451,3.89491,2.62853,3.77278,-1.41107,0.804684,-0.000105913,0.000242753,-6.05149,-4.00014,-1.04039,-8.95505,-1.91433,5.10407e-05,-0.000221607
