time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,-0.203042,-0.0219119,2.6882,30.7546,612.529,-46.1169,0,-7.19339,0
0.95,-0.257445,-0.0219119,2.68467,69.071,654.421,-55.5611,0,-8.80936,0
0.99,-0.355093,-0.0219119,3.11539,102.994,601.865,-48.6584,0,-5.07043,0
1.16,0.0236085,8.66065e-05,-0.184117,-5.76069,-16.3104,0.673987,0,-0.356142,0
1.38,-0.000521489,0.000225947,0.00406901,0.60047,2.01428,-0.207237,0,-0.0635836,0
1.52,0.0628822,-0.0151731,1.23979,1.86119,88.6309,10.6597,0,-1.00073,0
1.57,0.137722,-0.0227817,2.50374,-70.9634,362.465,-5.31961,0,-3.2356,0
1.63,0.114036,-0.0222637,2.78661,-121.303,604.139,-40.3047,0,-0.99369,0
1.68,0.0519385,-0.0212552,2.58536,-87.0973,606.997,-48.4377,0,-0.268762,0
1.75,-0.00802191,-0.0222353,2.67202,-21.7919,511.799,-43.9469,0,-1.56081,0
1.81,-0.0566553,-0.0218793,2.68224,-10.8354,493.091,-42.8968,0,-2.49837,0
1.85,-0.0914229,-0.0217895,2.65752,-1.80958,506.949,-41.1062,0,-3.45104,0
1.89,-0.117042,-0.0219404,2.67357,8.61945,528.788,-40.6264,0,-4.45806,0
1.92,-0.137685,-0.0219921,2.69227,17.789,555.999,-42.9123,0,-5.07644,0
1.96,-0.170027,-0.0219507,2.70012,34.3981,602.673,-47.0968,0,-5.72564,0
1.99,-0.196033,-0.0219161,2.69701,47.7063,633.771,-49.7996,0,-6.12968,0
2.03,-0.230997,-0.0219119,2.69359,75.0875,657.889,-52.0057,0,-8.41441,0
2.06,-0.259137,-0.0219119,2.69109,102.659,633.192,-46.9313,0,-10.5099,0
2.11,-0.314688,-0.0249713,2.77447,98.017,427.886,-24.2324,0,-4.51888,0
2.16,-0.170746,-0.0165272,1.40767,39.7386,134.571,-4.12922,0,0.841837,0
2.29,0.00575607,0.00114209,-0.0424316,1.38814,6.51879,-0.859742,0,-0.59247,0
2.41,0.00478855,0.000141667,-0.0395673,-1.48682,-4.22994,0.0962055,0,0.0373584,0
2.45,0.00207594,0.000296288,-0.0167126,0.125225,0.697623,-0.166832,0,-0.131457,0
2.48,-0.0015228,4.72351e-05,0.0113869,0.755944,1.87265,-0.0692731,0,-0.0585849,0
2.52,-0.031063,0.00198206,-0.415162,-2.22741,-16.2082,-2.06252,0,0.0474892,0
2.56,0.0108627,-0.0053932,0.112045,7.43115,-24.3418,1.25224,0,0.460278,0
2.59,0.0599189,-0.0128096,0.937964,7.93442,44.1618,7.89453,0,0.0422253,0
