time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.215823,-0.0883214,-0.102932,0.109739,-0.17507,-0.124708,-1.65932,-0.138145,0.100277,-0.202465,0.456538,2.62776e-07,0,-0.218883,-0.0905937,-0.259415,3.11046,-0.48304,6.86319e-06,0,-0.0650539,0.119532,0.225048,0.67648,-0.0424358,0.50058,1.00519,-0.0374737,4.79324e-08,-1.69115e-06,-0.958148,0.298534,-0.250826,-1.23406,0.379385,2.65381e-06,1.05764e-06
0.95,0.28747,0.100691,-0.118574,0.180082,-0.136018,-0.192954,-1.08864,-0.614059,0.137385,-1.47381,-0.256614,2.89236e-06,0,-0.63231,0.317766,0.166275,-0.104208,-0.245799,-4.33489e-07,0,-0.037929,-0.0178922,-0.0209588,0.0750643,-0.00044328,0.214918,1.23859,-0.0435965,2.60568e-06,2.9488e-06,-0.900583,0.294219,-0.121156,-0.657864,0.179245,-1.20152e-06,1.32321e-06
0.99,0.547583,0.617869,-0.19374,0.231762,-0.0352711,-0.230979,-0.65703,-1.22517,0.735956,-2.70417,-0.859728,7.45129e-09,0,-1.21466,0.881153,-0.0694349,-1.43537,-0.364687,-4.21368e-06,0,-0.272222,-0.566818,-0.0622829,-0.619623,-0.110123,0.238446,1.57101,-0.117847,1.32586e-06,2.16626e-06,-0.537137,0.250848,-0.310247,-0.543369,0.340211,-2.36414e-06,3.76609e-07
1.16,-0.20456,0.250515,-0.605041,-0.0608817,0.165077,-0.0969245,3.81513,-0.11632,0.599413,-3.43317,0.953118,-6.18437e-06,0,-1.87045,0.427988,-0.571407,1.29372,1.04232,4.90173e-07,0,0.130438,-0.26931,-0.126021,-0.326749,0.152262,-0.00233981,-1.12147,-0.142752,7.99195e-06,-9.14697e-08,1.10351,-0.352531,0.100853,0.836913,0.360556,4.89276e-07,-1.06425e-06
1.38,-0.0466708,0.223953,0.155069,-0.00363899,-0.154334,0.038258,-0.17637,-0.165964,-1.32632,6.06945,-0.596124,7.15997e-06,0,-1.38675,0.313794,0.323514,0.110478,0.825046,1.1439e-06,0,0.0136623,-0.139236,-0.0256642,-1.00324,-0.0765666,-0.822667,-1.36595,-0.351324,2.24291e-06,-3.7105e-07,1.52963,-0.348915,0.574214,1.04067,0.408141,-5.16538e-06,-1.80231e-06
1.52,0.295405,-0.539875,0.56628,0.18708,-0.0466302,0.1716,-0.782974,0.501207,0.580511,-1.70126,-0.628235,4.02187e-06,0,-0.77528,-1.00147,0.940857,-1.93902,-0.760511,3.47032e-06,0,-0.192091,0.667561,-0.0684152,-0.424757,0.177166,-0.167664,-1.34289,-0.00600527,-4.79057e-07,8.42105e-06,0.0033632,0.265771,0.151913,0.914258,0.152805,5.105e-06,6.05571e-06
1.57,0.400345,-1.18247,0.529792,0.225437,0.0879889,0.202209,-0.977272,1.11776,0.000150748,-1.99264,-0.557964,-2.54574e-06,0,0.378483,-1.58722,0.744328,-3.66835,-2.9766,1.86594e-06,0,-0.221956,1.31773,-0.106023,-0.00624191,0.113231,-0.029987,-0.698651,0.256303,-1.36429e-07,3.50033e-06,-1.1009,0.278273,-0.191563,1.16297,0.217427,-3.33841e-06,2.38636e-06
1.63,0.158151,-1.28291,0.516225,0.0695383,0.192581,0.191546,-1.42398,1.53378,-0.110158,-0.272039,0.645378,-2.84178e-06,0,2.89717,-1.45189,0.343888,-5.92281,-4.53219,4.86128e-09,0,-0.168558,1.3874,-0.0685197,0.628614,-0.0545668,0.104047,0.341564,0.416537,9.67924e-07,-8.73876e-06,-1.46852,0.422694,-0.560514,0.728104,0.232363,-1.98335e-06,-8.21738e-06
1.68,-0.21243,-0.694308,0.596421,-0.0900457,0.159494,0.144128,-1.58134,1.00036,-0.395556,0.893566,1.15727,2.46998e-06,0,4.09947,-0.570694,0.533221,-5.12028,-1.42124,-1.00815e-05,0,0.0360597,0.754124,-0.0930658,1.15198,-0.111952,0.0332506,0.872985,0.209298,1.98631e-06,-3.5005e-06,-1.06822,0.4387,-0.207049,-0.176624,0.205504,4.73476e-06,-4.65865e-07
1.75,-0.326477,-0.0285904,0.419627,-0.149681,0.0814862,0.11058,-1.33161,0.224803,-0.786114,0.915894,0.446355,-2.15559e-06,0,3.24061,0.357162,0.375787,-0.434384,2.76325,-3.42615e-06,0,0.127849,-0.0125194,0.0748512,1.58102,-0.0691729,0.0993283,0.894968,0.0941668,-2.2266e-06,-2.88873e-06,-0.944982,0.102906,0.255628,-0.948545,0.136233,-6.03429e-06,5.39389e-06
1.81,-0.242339,-0.0357763,-0.344775,-0.108215,0.00205936,0.136665,-1.2607,0.308759,-0.367983,0.626537,0.312438,2.74773e-06,0,1.88803,-0.142974,-0.562888,3.15022,1.80549,3.50404e-06,0,0.0852246,-0.160763,0.496513,1.75072,0.0268609,0.278421,0.842981,0.153087,-2.53145e-06,6.18556e-06,-1.33478,-0.0184263,0.0367439,-1.26753,0.0149435,2.31818e-07,-5.34474e-06
1.85,0.0438959,-0.0358645,-0.719364,-0.0540018,-0.0460144,0.131341,-1.7862,0.313187,0.277366,0.851055,0.77182,2.31282e-06,0,0.775024,-0.511444,-1.06539,4.75102,1.5548,5.76503e-06,0,-0.123047,-0.202873,0.765179,1.72,0.0322487,0.657211,0.79844,0.189555,-1.92695e-06,6.64277e-06,-1.15733,0.151418,-0.279039,-2.14722,0.049841,3.39678e-06,-1.829e-06
1.89,0.223189,-0.0894825,-0.612429,-3.18285e-05,-0.0961232,0.0887543,-2.04781,0.278451,0.571484,0.795817,0.936867,-2.99666e-06,0,-0.0612879,-0.57539,-1.11035,5.67796,0.995523,6.20151e-06,0,-0.184016,-0.0947223,0.673457,1.4987,0.0645324,0.860347,0.800164,0.170859,1.72004e-07,-8.73485e-07,-1.04137,0.285873,-0.449239,-2.54206,0.102438,5.5634e-07,3.60577e-06
1.92,0.148716,-0.178711,-0.317359,0.0202456,-0.139095,0.039954,-1.81432,0.269884,0.403541,0.447572,0.734063,-2.08334e-06,0,-0.21569,-0.432705,-0.915076,5.65962,0.147901,5.64444e-06,0,-0.0329123,0.0743133,0.414069,1.24921,0.104807,0.748459,0.853115,0.12556,6.49915e-08,-2.46848e-06,-1.1205,0.307098,-0.449323,-2.22006,0.0619498,-7.6165e-07,6.34312e-06
1.96,-0.00394185,-0.168481,-0.0892536,0.0268815,-0.166181,-0.0233349,-1.29038,0.0803961,-0.0190707,-0.226645,0.402191,-1.27822e-06,0,-0.285831,-0.0835285,-0.594726,4.72958,-0.963483,2.22342e-06,0,0.11927,0.138003,0.153135,0.864487,0.0715426,0.648587,1.11909,0.108089,2.15274e-06,-5.02154e-06,-1.09944,0.347658,-0.534444,-1.69957,-0.0888351,-9.822e-07,2.2381e-06
1.99,-0.0314238,-0.0701672,-0.095843,0.0510138,-0.153952,-0.0659809,-1.04629,-0.174976,-0.155118,-0.64424,0.239904,1.08701e-07,0,-0.3472,0.151877,-0.351953,3.0677,-1.11669,1.35113e-06,0,0.153276,0.0685043,0.110105,0.563958,0.00468043,0.586248,1.15328,0.10472,2.61116e-06,-2.55505e-06,-1.00395,0.378432,-0.546032,-1.38411,-0.15038,6.1557e-07,-4.07715e-06
2.03,0.216033,0.270209,-0.233966,0.127947,-0.101367,-0.118176,-1.06647,-0.770021,0.198404,-1.24274,-0.0916514,4.43293e-06,0,-0.664426,0.519641,-0.186335,0.128147,-0.512753,3.29569e-07,0,-0.037018,-0.265897,0.112275,0.0157583,-0.104224,0.558291,1.31726,0.0893226,1.78364e-06,4.81787e-07,-0.854022,0.365713,-0.479817,-0.988915,-0.0884002,1.53621e-06,-7.05621e-06
2.06,0.435757,0.58047,-0.284052,0.201809,-0.0453269,-0.149499,-1.07348,-1.21862,0.672069,-1.72852,-0.455327,2.78551e-06,0,-0.87883,0.812098,-0.188312,-1.49999,-0.212931,-2.51071e-06,0,-0.177697,-0.590952,0.0281272,-0.512684,-0.137326,0.48432,1.49257,0.0466267,5.91088e-07,-3.76116e-07,-0.781447,0.282031,-0.398104,-0.643226,-0.0101384,1.08533e-06,-5.33075e-06
2.11,0.44342,1.01943,-0.306479,0.240752,0.0570854,-0.178762,0.0886692,-1.74224,1.19347,-3.44735,-2.03169,-7.51455e-07,0,-0.912181,1.28902,0.197608,-2.09879,-0.30311,-5.55225e-06,0,-0.168682,-1.06879,-0.0565811,-1.32252,-0.176694,0.0363842,1.63601,-0.125123,-1.19356e-06,6.02146e-06,-0.385272,0.0724914,-0.338331,-0.0949865,0.00442528,1.07311e-06,2.1549e-06
2.16,0.141147,1.00704,-0.281776,0.13033,0.138553,-0.158925,2.4114,-1.56568,1.01481,-5.8117,-3.73494,-9.80369e-06,0,-1.12212,1.36299,0.668928,-0.803741,0.3779,5.84238e-07,0,-0.0775031,-1.07381,-0.064151,-1.43036,-0.0792336,-0.498946,0.885489,-0.368718,3.19045e-06,1.6863e-06,0.47813,-0.145024,-0.196394,0.314331,0.0157175,-8.23489e-07,7.93335e-06
2.29,-0.415814,0.140222,-0.478084,-0.0948141,0.0676238,-0.0531278,3.69901,0.133568,0.425325,-1.36569,2.81048,2.25792e-06,0,-1.3842,0.296014,-0.700392,1.11844,0.673323,2.31889e-06,0,0.285032,-0.136287,-0.203726,-0.35602,0.0600322,0.0967083,-1.91494,-0.156025,-4.03872e-07,2.47907e-06,1.55397,-0.535579,0.667264,0.999253,0.338851,-1.4359e-06,-4.61931e-06
