time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1.85,10.9765,4.68509,-2.01492,28.9668,-15.5258,-11.1038,1.98662,-48.1439,5.12981,7.02552,-24.4249,9.65879,0.0309049,7.12307,-14.6136,10.8558,-2.25429,3.9746,-12.7529,0.0475884,8.09232,-4.33655,-2.50776,-0.0282586,0.195307,0.0629894,0.26434,0.00277349,0.0502669,-0.0195599,0.555604,-1.20748,-0.217032,0.671781,-0.0256316,-0.00403668,-0.0625204
1.89,4.03459,0.890163,7.71098,-5.69332,2.26494,-4.96011,7.85757,-42.6097,4.2046,-0.674808,-37.8975,16.3227,0.0196579,-2.80479,-4.33618,2.31338,-8.47826,0.996243,-0.75085,0.0385961,8.8248,-3.3607,-0.448454,-0.220226,0.337056,0.0806346,0.195212,0.00323868,0.0599806,-0.0039235,0.475513,-1.27116,-0.182493,0.896333,-0.0294219,0.0110701,-0.121434
1.92,-12.8867,-2.96381,13.2542,-36.1443,6.45659,4.98664,12.8341,-38.9576,4.14474,-6.00137,-50.3197,25.1219,0.0153163,-17.7703,1.58663,-3.05024,-14.8119,0.0207862,2.83737,0.0197428,5.64054,-3.67839,-2.04679,-0.267117,-0.0872179,0.0452599,0.194221,0.00158363,0.0470348,-0.00732064,1.17969,-1.39115,-0.206348,1.1099,-0.0392668,0.00380984,-0.158299
1.96,-21.8674,-0.236729,12.4438,-42.9123,-9.47574,4.69972,20.4304,-39.8998,4.78031,-7.87009,-63.5067,30.3219,0.0156018,-31.7729,0.731558,-1.07477,-21.1739,0.0733743,-0.28711,-0.00516951,4.67321,-3.74083,-4.25193,-0.361631,-0.817037,-0.0684296,0.0410823,-0.00610211,0.0124913,0.0204326,1.54292,-1.67498,-0.176404,1.18931,-0.0372771,-3.22714e-05,-0.179505
1.99,-13.5383,57.5246,-1.067,-23.3407,-18.7798,1.48232,29.0352,-42.3925,5.56473,-5.00539,-70.3029,29.439,0.0143987,-32.1598,-44.871,31.6734,-17.3515,2.7432,-28.7074,-0.0186726,3.49846,-2.86637,-5.81119,-0.409337,-1.19294,-0.101656,0.0477853,-0.00681154,0.00449394,0.0164446,2.25065,-1.9301,-0.18809,1.32612,-0.0416285,-0.0171145,-0.200743
2.03,2.42442,69.142,21.6193,-9.34251,7.7642,3.13835,36.668,-41.6285,8.33408,-0.596517,-77.7498,27.6219,0.0169132,-18.7541,-59.6519,10.3032,-13.0775,6.10276,-47.5145,-0.0106015,2.52707,-2.12,-6.63124,-0.732907,-1.36337,-0.0999843,-0.0327018,-0.00570531,0.0110152,0.0344809,2.45379,-2.21622,-0.183097,1.31763,-0.042738,-0.0354792,-0.204502
2.06,9.19193,-61.4877,23.4506,-36.973,-1.48919,13.6722,38.416,-34.6051,10.5001,1.33107,-77.0833,24.6636,0.00383854,-11.828,64.1925,-42.5307,-15.8129,-0.806287,40.0902,0.0127404,1.15854,-1.22294,-6.67342,-0.733146,-1.44916,-0.138393,0.0374442,-0.0132884,0.0068499,0.0274474,2.5193,-2.43144,-0.189041,1.33945,-0.047063,-0.0510976,-0.215162
2.11,20.9905,-51.5363,-17.8601,-36.7886,-24.8814,29.8756,47.0702,25.3139,6.4105,10.8326,-61.8522,49.8894,0.00531486,-15.7715,87.2044,-22.9291,4.61954,4.33159,73.4969,0.0613145,2.41802,2.06629,-5.74597,-0.473252,-1.78446,-0.290171,0.106494,-0.0284546,-0.0269855,0.0320574,2.52883,-2.31798,-0.175972,1.40184,-0.0509552,-0.0554971,-0.230001
2.16,-16.9815,-81.1696,71.1287,19.7516,-15.8016,13.9995,14.7147,-172.177,15.3864,16.2928,18.2027,-172.659,0.0850606,-31.939,-103.644,22.1627,19.5883,13.4695,-81.7044,0.0642403,8.75762,5.79886,-5.54926,-0.34664,-1.95095,-0.3434,0.0614421,-0.0216831,-0.0446382,0.0521376,2.01333,-1.75481,-0.113829,1.23955,-0.0366741,-0.0357939,-0.201765
2.29,15.3703,-22.9904,12.8791,19.0287,-60.9088,19.3121,8.67287,-22.8799,10.914,9.41662,4.78321,-17.8883,0.082056,3.97802,-37.466,-0.76621,17.5539,-10.0146,3.92167,0.0149141,7.09898,6.3444,0.218943,0.285123,-2.15226,-0.292912,0.452929,-0.0166858,-0.0298506,-0.0543614,0.871248,-0.749759,-0.105133,0.753344,-0.0264678,-0.0014155,-0.104972
2.41,15.3954,-1.07537,0.630532,24.0958,-2.84656,11.9716,2.04608,5.46633,-8.43903,-5.62522,-2.07796,9.05491,0.0315692,12.9164,-23.1516,-3.82662,-3.26928,-46.7503,15.7775,0.0231011,7.63258,5.48005,4.14301,1.28364,-1.11415,-0.0964266,0.714112,-0.0180236,0.00860278,-0.0909561,-0.631656,0.246628,0.0136989,0.452574,-0.0219351,0.0543655,-0.0471003
2.45,5.09761,-10.2194,1.78808,0.824247,4.45921,12.5387,-7.31371,-4.08775,2.48051,-9.35854,1.65627,-1.67849,0.0394954,16.5055,-32.178,-3.27009,-8.20789,-56.8017,12.649,0.0183323,5.56293,5.11661,4.33291,1.76707,-1.23693,-0.113779,0.808702,-0.0239662,-0.00232534,-0.106662,-0.814233,0.129563,0.0484239,0.412661,-0.0181594,0.0605463,-0.0376679
2.48,-9.87726,-8.87416,-0.607723,-26.7128,-4.65412,11.5751,-21.9568,-5.06799,5.52861,-16.3002,2.20063,-2.59756,0.0327174,17.437,-38.2585,-3.0108,-11.3998,-61.8953,9.71431,0.0175686,5.87801,5.10761,3.7842,2.38383,-1.36708,-0.125466,1.0348,-0.0321226,-0.00990106,-0.146825,-0.846865,-0.0695361,0.0783628,0.323756,-0.00974289,0.0618266,-0.016307
2.52,-14.3414,48.9632,-9.51227,-32.0643,-17.1373,4.40613,-34.3997,41.9026,-27.8433,-37.6519,-16.9111,23.8067,-0.00443816,25.3304,-39.1969,-2.25893,-9.74047,-66.2674,11.1212,0.0173461,6.27404,5.91115,5.27987,3.29495,-1.72849,-0.129679,1.29914,-0.0418203,-0.0278835,-0.193101,-0.806466,-0.394913,0.0785866,0.307981,-0.00419925,0.0575825,-0.00848522
2.56,1.73186,58.8193,16.6791,-22.543,4.8199,-10.9382,-29.1156,66.385,-11.1529,-41.3038,-28.5633,48.5317,-0.0248094,34.9536,-38.8597,-1.00042,-4.46674,-70.2126,12.8465,0.0124619,6.20022,4.75715,6.53191,3.14759,-1.93441,-0.104002,1.23224,-0.0410283,-0.0379397,-0.193132,-1.24205,-1.08669,0.0152023,0.187311,-0.00298937,0.0454122,0.00673426
