time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.12,0.0476291,0.0900495,-0.114804,-0.0840672,0.87589,2.58092,0.188353,-0.128135,0.0373669,-1.13519,-0.0409595,-2.20276e-07,0,0.172215,0.110567,-0.100234,-0.252967,0.0227058,-3.99677e-07,0,-0.198912,-0.133252,0.13267,0.204753,-0.164628,0.184463,0.48422,1.51992,2.39692e-07,-6.41701e-07,0.00219714,-0.0867309,1.50918,-0.184857,0.536883,-2.35768e-08,-6.6617e-07
0.13,0.0512181,0.0878239,-0.108948,-0.0841958,0.877583,2.57893,0.210323,-0.12119,0.0356784,-1.15342,-0.038904,-7.34884e-07,0,0.154922,0.112802,-0.110335,-0.254042,0.0218166,-2.0817e-07,0,-0.204437,-0.127828,0.116152,0.194362,-0.162203,0.185563,0.480879,1.52105,-4.37912e-07,-3.86153e-08,0.015427,-0.087289,1.50471,-0.182338,0.534565,8.57358e-07,-6.43398e-07
0.14,0.0525759,0.0864895,-0.112309,-0.0839594,0.87928,2.57761,0.229029,-0.117763,0.0342084,-1.1501,-0.0378058,-7.45198e-07,0,0.138904,0.114543,-0.113353,-0.258531,0.0217004,-1.26225e-07,0,-0.205353,-0.126309,0.105628,0.186204,-0.164798,0.185258,0.476823,1.52103,-7.95048e-08,4.97794e-08,0.0247917,-0.0902382,1.50432,-0.183537,0.534023,5.61176e-07,-1.64973e-07
0.15,0.0538035,0.0824779,-0.104295,-0.0862124,0.880331,2.57706,0.261201,-0.110139,0.0222366,-1.17271,-0.030356,-8.44258e-07,0,0.119458,0.110148,-0.126745,-0.241317,0.022233,-3.89625e-07,0,-0.212427,-0.123085,0.0963526,0.179963,-0.164149,0.187168,0.47009,1.52296,2.36384e-07,2.65105e-07,0.053214,-0.0960272,1.4991,-0.183832,0.530919,-8.22908e-07,-9.91622e-07
0.16,0.0561614,0.0812521,-0.107637,-0.0864439,0.881563,2.57538,0.281325,-0.106952,0.0207299,-1.16612,-0.028849,-6.19686e-07,0,0.103909,0.113674,-0.129195,-0.24547,0.0222598,8.09092e-09,0,-0.213756,-0.119798,0.0876901,0.170125,-0.164633,0.187503,0.465225,1.52305,-2.85601e-07,-6.27815e-07,0.0622558,-0.0980272,1.49902,-0.184734,0.530578,-3.55827e-08,-3.6718e-07
0.17,0.0543455,0.0783287,-0.0998931,-0.0888166,0.882456,2.57473,0.310923,-0.100925,0.00856803,-1.16767,-0.0207624,-8.46107e-07,0,0.0874942,0.111898,-0.138758,-0.227456,0.0238147,3.40477e-09,0,-0.217826,-0.117028,0.0841071,0.162625,-0.163354,0.189187,0.456734,1.52445,8.50703e-07,5.71285e-07,0.0940784,-0.102284,1.49702,-0.185714,0.528987,5.42529e-07,-1.59297e-08
0.18,0.0506289,0.0740397,-0.101141,-0.0890765,0.882841,2.57366,0.338165,-0.10055,-0.00796529,-1.15955,-0.00674837,4.75071e-08,0,0.0689805,0.108968,-0.143525,-0.209628,0.0263003,4.68412e-07,0,-0.21316,-0.11159,0.0866777,0.151945,-0.168337,0.189276,0.44233,1.52659,3.5955e-07,2.1696e-07,0.115983,-0.104335,1.4911,-0.182019,0.527004,4.34605e-07,-5.1957e-07
0.19,0.0529939,0.0730588,-0.105723,-0.0891048,0.883287,2.57224,0.358364,-0.0980369,-0.00911278,-1.1492,-0.00501577,-3.39803e-07,0,0.0535224,0.112435,-0.145142,-0.214362,0.0265096,2.3111e-07,0,-0.214084,-0.107963,0.0770111,0.141589,-0.169452,0.189218,0.437119,1.5266,-3.27882e-08,7.83304e-08,0.125925,-0.106494,1.49115,-0.183005,0.526693,1.31018e-07,-1.32066e-07
0.2,0.0486583,0.072574,-0.100668,-0.0913689,0.883613,2.57174,0.381692,-0.09498,-0.018835,-1.12438,0.00334348,-5.68907e-07,0,0.04129,0.113144,-0.150651,-0.199697,0.0290182,-1.43051e-08,0,-0.214415,-0.107924,0.0735123,0.135372,-0.169881,0.188839,0.430121,1.5273,2.60239e-08,-7.20357e-08,0.157692,-0.110713,1.4895,-0.184092,0.525201,1.11459e-07,-1.13785e-07
0.21,0.044458,0.0718874,-0.0972793,-0.0920877,0.88355,2.57079,0.403007,-0.0946183,-0.0295027,-1.09757,0.0136976,-3.96907e-07,0,0.0266749,0.114381,-0.153868,-0.186495,0.0322023,-4.67578e-07,0,-0.210616,-0.10535,0.0717166,0.123187,-0.172835,0.186831,0.418959,1.5275,1.92716e-07,-1.61208e-07,0.182918,-0.112516,1.48625,-0.182527,0.523503,-4.81199e-07,-6.62401e-09
